robot,generation,condition,run,seed,max_iterations,learning_rate,schedule,mirror_loss_coeff,value_loss_coeff,warmup_iterations,min_abs_command_velocity,reward_auc_first_10000,reward_auc_full,final_reward_mean,final_reward_std,reward_30_iteration,reward_35_iteration,event_path,agent_path
go2,60D,No TRS,2026-07-07_00-11-14_no_trs,42,10000,0.001,adaptive,0.0,0.0,500,0.2,3.7302751420006333,3.7302751420006333,5.49070658826828,0.29965543220288093,,,unitree_go2_symm_flat/2026-07-07_00-11-14_no_trs/events.out.tfevents.1783354280.National_Grid_6.15764.0,unitree_go2_symm_flat/2026-07-07_00-11-14_no_trs/params/agent.yaml
go2,60D,TRS 0.10/0.05,2026-07-13_01-30-42_more_trs_lr1e4_fixed_zero_lateral,42,10000,0.0001,fixed,0.1,0.05,500,0.0,3.362412961721862,3.362412961721862,4.740079013109207,0.2662183096141449,,,unitree_go2_symm_flat/2026-07-13_01-30-42_more_trs_lr1e4_fixed_zero_lateral/events.out.tfevents.1783877448.National_Grid_6.46676.0,unitree_go2_symm_flat/2026-07-13_01-30-42_more_trs_lr1e4_fixed_zero_lateral/params/agent.yaml
go2,72D,No TRS,2026-07-19_10-32-57_go2_no_trs_pitch0p50_pterm1p20,42,20000,0.001,adaptive,0.0,0.0,500,0.0,24.087280957078573,29.506275168468694,37.05881290435791,1.119295918252176,8661,17239,unitree_go2_symm_flat/2026-07-19_10-32-57_go2_no_trs_pitch0p50_pterm1p20/events.out.tfevents.1784453583.National_Grid_6.40932.0,unitree_go2_symm_flat/2026-07-19_10-32-57_go2_no_trs_pitch0p50_pterm1p20/params/agent.yaml
go2,72D,TRS 0.10/0.05,2026-07-19_17-37-55_go2_trs_m0p1_v0p05_w500_minv0_pitch0p50_pterm1p20,42,20000,0.001,adaptive,0.1,0.05,500,0.0,23.6353934188501,28.309422726228316,34.44867018890381,0.9459119674367533,8173,,unitree_go2_symm_flat/2026-07-19_17-37-55_go2_trs_m0p1_v0p05_w500_minv0_pitch0p50_pterm1p20/events.out.tfevents.1784389081.National_Grid_6.4812.0,unitree_go2_symm_flat/2026-07-19_17-37-55_go2_trs_m0p1_v0p05_w500_minv0_pitch0p50_pterm1p20/params/agent.yaml
go2,72D,TRS 0.20/0.10,2026-07-20_16-23-32_go2_trs_m0p20_v0p10_w500,42,20000,0.001,adaptive,0.2,0.1,500,0.0,20.592726404813497,25.61287672027643,32.385487825393675,1.159682192736259,13563,,unitree_go2_symm_flat/2026-07-20_16-23-32_go2_trs_m0p20_v0p10_w500/events.out.tfevents.1784535818.National_Grid_6.20904.0,unitree_go2_symm_flat/2026-07-20_16-23-32_go2_trs_m0p20_v0p10_w500/params/agent.yaml
x1,60D,No TRS,2026-07-11_02-59-13_no_trs,42,10000,0.001,adaptive,0.0,0.0,500,0.2,5.9199863888357465,5.9199863888357465,7.2972633161544795,0.45313339808076186,,,dobot_x1_symm_flat/2026-07-11_02-59-13_no_trs/events.out.tfevents.1783709963.National_Grid_6.39728.0,dobot_x1_symm_flat/2026-07-11_02-59-13_no_trs/params/agent.yaml
x1,60D,TRS 0.10/0.05,2026-07-13_01-31-40_more_trs_lr1e4_fixed_zero_lateral,42,10000,0.0001,fixed,0.1,0.05,500,0.0,5.28572298528363,5.28572298528363,7.326400795936585,0.4349264171406898,,,dobot_x1_symm_flat/2026-07-13_01-31-40_more_trs_lr1e4_fixed_zero_lateral/events.out.tfevents.1783877505.National_Grid_6.47980.0,dobot_x1_symm_flat/2026-07-13_01-31-40_more_trs_lr1e4_fixed_zero_lateral/params/agent.yaml
x1,72D,No TRS,2026-07-19_10-33-04_x1_no_trs_pitch0p35,42,20000,0.001,adaptive,0.0,0.0,500,0.0,26.061025194070524,32.24299625406024,39.61168308639527,0.8658602402138426,6302,9232,dobot_x1_symm_flat/2026-07-19_10-33-04_x1_no_trs_pitch0p35/events.out.tfevents.1784453591.National_Grid_6.41688.0,dobot_x1_symm_flat/2026-07-19_10-33-04_x1_no_trs_pitch0p35/params/agent.yaml
x1,72D,TRS 0.10/0.05,2026-07-19_17-46-27_x1_trs_m0p1_v0p05_w500_pitch0p35_pterm0p70,42,20000,0.001,adaptive,0.1,0.05,500,0.0,25.924665404965637,31.88235771585072,39.57540412902832,0.6925528895583479,6444,11189,dobot_x1_symm_flat/2026-07-19_17-46-27_x1_trs_m0p1_v0p05_w500_pitch0p35_pterm0p70/events.out.tfevents.1784429192.National_Grid_6.29420.0,dobot_x1_symm_flat/2026-07-19_17-46-27_x1_trs_m0p1_v0p05_w500_pitch0p35_pterm0p70/params/agent.yaml
x1,72D,TRS 0.20/0.10,2026-07-20_16-24-19_x1_trs_m0p20_v0p10_w500,42,20000,0.001,adaptive,0.2,0.1,500,0.0,24.869635879969966,30.29453807693701,37.69921323776245,0.7954745810364412,8322,13612,dobot_x1_symm_flat/2026-07-20_16-24-19_x1_trs_m0p20_v0p10_w500/events.out.tfevents.1784535866.National_Grid_6.40940.0,dobot_x1_symm_flat/2026-07-20_16-24-19_x1_trs_m0p20_v0p10_w500/params/agent.yaml
