cell_id,gait_index,gait_name,family,velocity_mps,velocity_sign,seed,status,reason,relative_output_dir,sample_count,measurement_start_s,measurement_stop_s,measurement_duration_s,complete_cycles,phase_boundary_trimmed,gait_period_s,effort_limit_source,effort_limit_min_nm,effort_limit_max_nm,command_x_mean_mps,measured_x_mean_mps,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,signed_directed_progress_m,integrated_body_x_progress_m,position_vs_integrated_progress_difference_m,directed_progress_definition,positive_directed_progress,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_total_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_utilization_total_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_utilization_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_total_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_total_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,trot,-1.5,backward,42,valid,,cells/gait_00_trot/vx_neg_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.490341380983591,0.0392809982620336,0.0299978270490018,0.425,0.05,True,True,True,14.277599334716797,14.307277257442475,-0.029677922725678485,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1644.7755697491095,1175.2341162332311,2820.0096859823407,16.650348963333975,16.650348963333975,293.7510089564938,197.51287452963652,1.6447755697491094e-15,1.1752341162332308e-15,2.82000968598234e-15,16.650348963333986,16.650348963333986,2.9375100895649377e-16,1.9751287452963649e-16,584.4210989108367,451.2667533858743,1035.687852296711,12.856609762264103,12.856609762264103,107.8841512809074,72.5393553927779,920.1652435030411,770.6060027677651,1690.7712462708062,8.845622437993693,8.845622437993693,176.12200481987566,118.42125602723698
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,trot,-1.0,backward,42,valid,,cells/gait_00_trot/vx_neg_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9764397282153368,0.04134314558037145,0.0293373608885224,0.3,0.05,True,True,True,9.351402282714844,9.373821390867233,-0.022419108152389455,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1164.2246807359331,913.459009037726,2077.6836897736594,12.06948261337727,12.06948261337727,216.42538435142285,222.1788376716565,1.1642246807359328e-15,9.134590090377258e-16,2.077683689773659e-15,12.069482613377266,12.069482613377266,2.1642538435142281e-16,2.2217883767165643e-16,330.68036034647406,282.91740616089623,613.5977665073704,7.7840821451236675,7.7840821451236675,63.916434011184414,65.61558875951108,895.6395992481152,810.0324339776192,1705.6720332257346,5.0189698607297535,5.0189698607297535,177.6741701276807,182.39746100737247
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,trot,-0.5,backward,42,valid,,cells/gait_00_trot/vx_neg_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.47905111118775456,0.03251294332572186,0.01788745869923941,0.175,0.05,True,True,True,4.548299789428711,4.560566578507424,-0.012266789078712925,commanded-sign world-x displacement across the same sample intervals as effort integration,True,801.2497302535548,754.6513358439757,1555.9010660975305,2.9949458500247674,2.9949458500247674,163.43498593461456,342.0841057385444,8.012497302535548e-16,7.546513358439757e-16,1.5559010660975304e-15,2.994945850024769,2.994945850024769,1.6343498593461456e-16,3.4208410573854443e-16,132.93245574406697,135.60463739917236,268.5370931432393,-0.9950884713271372,0.9950884713271372,28.207677851180602,59.04120343328752,826.0286289627353,871.0167395210273,1697.0453684837626,-2.65096687417891,2.65096687417891,178.2610681180423,373.11642746770656
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,trot,0.5,forward,42,valid,,cells/gait_00_trot/vx_pos_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.5045590420730975,0.025404657180051155,0.016447345093752053,0.175,0.05,True,True,True,4.791008234024048,4.803402080535888,-0.0123938465118405,commanded-sign world-x displacement across the same sample intervals as effort integration,True,887.7540295714823,877.6445122125526,1765.398541784035,0.5726478820308439,0.5726478820308439,185.44102329664233,368.4816338337301,8.877540295714823e-16,8.776445122125527e-16,1.765398541784035e-15,0.5726478820308422,0.5726478820308422,1.8544102329664235e-16,3.684816338337301e-16,149.6867492020352,158.96206753757798,308.64881673961315,-3.005136528149323,3.005136528149323,32.42109419533752,64.42251853121401,828.3124178218842,882.7711783137213,1711.0835961356056,-3.1827060124256583,3.1827060124256583,179.7356718629838,357.14478300915755
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,trot,1.0,forward,42,valid,,cells/gait_00_trot/vx_pos_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,1.002435790374875,0.02486643031513368,0.022829345563896198,0.3,0.05,True,True,True,9.59622573852539,9.6233835875988,-0.02715784907340968,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1177.6792689463025,1129.228081674192,2306.9073506204945,2.100265849821773,2.100265849821773,240.3028490229682,240.39736178350748,1.1776792689463023e-15,1.129228081674192e-15,2.3069073506204943e-15,2.1002658498217666,2.1002658498217666,2.4030284902296817e-16,2.403973617835074e-16,320.59046333875784,363.7834212420245,684.3738845807823,-6.311310071354456,6.311310071354456,71.28894631049816,71.31698474258141,819.6416626644135,896.9038218227385,1716.545484487152,-4.501026034938327,4.501026034938327,178.806821300745,178.87714725132403
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,trot,1.5,forward,42,valid,,cells/gait_00_trot/vx_pos_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.503789633512497,0.02621305129762734,0.019898245148571803,0.425,0.05,True,True,True,14.40076732635498,14.43638048171997,-0.03561315536498988,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1525.0368399932206,1455.3194937197857,2980.3563337130063,2.339228550788061,2.339228550788061,310.4537847617715,206.95816175424403,1.5250368399932203e-15,1.4553194937197855e-15,2.980356333713006e-15,2.339228550788058,2.339228550788058,3.1045378476177146e-16,2.0695816175424398e-16,482.3982431661477,594.3036549613555,1076.7018981275032,-10.393351399289157,10.393351399289157,112.15644772161492,74.76698107308636,787.7983429553174,927.8000200156478,1715.5983629709651,-8.160515892419268,8.160515892419268,178.70816280947554,119.132427049997
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,bound,-1.5,backward,42,valid,,cells/gait_01_bound/vx_neg_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.5077860422432423,0.03953189568543978,0.02910235236351094,0.425,0.05,True,True,True,14.350812911987305,14.474746005535126,-0.12393309354782112,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2966.714351282182,1618.9991837781918,4585.713535060374,29.389432139621146,29.389432139621146,477.6784932354556,319.54381700773934,2.9667143512821822e-15,1.6189991837781915e-15,4.585713535060373e-15,29.389432139621153,29.389432139621153,4.776784932354556e-16,3.1954381700773927e-16,1410.7871272612745,763.2577015823458,2174.04482884362,29.78454800416196,29.78454800416196,226.46300300454376,151.49279989760228,849.5780535131083,689.2744149710783,1538.8524684841866,10.417089475765906,10.417089475765906,160.29713213376945,107.23103129570977
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,-1.0,backward,42,valid,,cells/gait_01_bound/vx_neg_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9940884197751682,0.045422488676148315,0.023413606770192733,0.3,0.05,True,True,True,9.37055778503418,9.543248829841614,-0.17269104480743458,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2496.9315339864265,1159.8232704891534,3656.75480447558,36.565433970600324,36.565433970600324,380.9119587995396,390.2387550841235,2.4969315339864268e-15,1.1598232704891535e-15,3.65675480447558e-15,36.565433970600324,36.565433970600324,3.8091195879953963e-16,3.902387550841235e-16,1439.678856792301,599.1579464829866,2038.8368032752878,41.225511966384964,41.225511966384964,212.37883367450917,217.57902251363694,834.137088588921,720.5820513396777,1554.7191399285987,7.30389395311994,7.30389395311994,161.94991040922903,165.91532495660584
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,-0.5,backward,42,valid,,cells/gait_01_bound/vx_neg_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.4956786632537842,0.03741880712061152,0.023585238034743577,0.175,0.05,True,True,True,4.609061002731323,4.718860874176025,-0.10979987144470194,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2071.353277493351,892.5338912340105,2963.8871687273613,39.77274839262872,39.77274839262872,311.33268579068925,643.0566154301204,2.071353277493351e-15,8.925338912340106e-16,2.9638871687273613e-15,39.77274839262871,39.77274839262871,3.113326857906892e-16,6.430566154301204e-16,1530.5893745364394,435.0314115001203,1965.6207860365598,55.73597770327721,55.73597770327721,206.4727716424958,426.4688154206975,832.4083577564652,745.3830367689288,1577.791394525394,5.515641756539934,5.515641756539934,165.73439018123887,342.32382552333263
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,0.5,forward,42,valid,,cells/gait_01_bound/vx_pos_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.49462866269740735,0.03064961249030192,0.021666508575289536,0.175,0.05,True,True,True,4.657446384429932,4.708864868879318,-0.05141848444938635,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2611.393427285924,1160.2901247151287,3771.6835520010527,38.473622788447294,38.473622788447294,396.1852470589341,809.8179218144031,2.6113934272859242e-15,1.1602901247151289e-15,3.771683552001053e-15,38.473622788447294,38.473622788447294,3.9618524705893416e-16,8.098179218144031e-16,2706.094171547778,473.4247718186176,3179.5189433663954,70.22035218212179,70.22035218212179,333.9830822863861,682.6742985159595,786.7294184821126,821.5926014995575,1608.32201998167,-2.1676742955892805,2.1676742955892805,168.9413886535368,345.3227127548625
