scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,1,1.0,True,16.650348963333975,16.650348963333975,16.650348963333975,16.650348963333975,16.650348963333975,16.650348963333975,16.650348963333975,16.650348963333975,2820.0096859823407,2820.0096859823407,2820.0096859823407,2820.0096859823407,293.7510089564938,293.7510089564938,293.7510089564938,293.7510089564938,197.51287452963652,197.51287452963652,197.51287452963652,197.51287452963652,16.650348963333986,16.650348963333986,16.650348963333986,16.650348963333986,16.650348963333986,16.650348963333986,16.650348963333986,16.650348963333986,2.82000968598234e-15,2.82000968598234e-15,2.82000968598234e-15,2.82000968598234e-15,2.9375100895649377e-16,2.9375100895649377e-16,2.9375100895649377e-16,2.9375100895649377e-16,1.9751287452963649e-16,1.9751287452963649e-16,1.9751287452963649e-16,1.9751287452963649e-16,12.856609762264103,12.856609762264103,12.856609762264103,12.856609762264103,12.856609762264103,12.856609762264103,12.856609762264103,12.856609762264103,1035.687852296711,1035.687852296711,1035.687852296711,1035.687852296711,107.8841512809074,107.8841512809074,107.8841512809074,107.8841512809074,72.5393553927779,72.5393553927779,72.5393553927779,72.5393553927779,8.845622437993693,8.845622437993693,8.845622437993693,8.845622437993693,8.845622437993693,8.845622437993693,8.845622437993693,8.845622437993693,1690.7712462708062,1690.7712462708062,1690.7712462708062,1690.7712462708062,176.12200481987566,176.12200481987566,176.12200481987566,176.12200481987566,118.42125602723698,118.42125602723698,118.42125602723698,118.42125602723698
family_velocity,trot,-1.0,1,1,1.0,True,1,1.0,True,12.06948261337727,12.06948261337727,12.06948261337727,12.06948261337727,12.06948261337727,12.06948261337727,12.06948261337727,12.06948261337727,2077.6836897736594,2077.6836897736594,2077.6836897736594,2077.6836897736594,216.42538435142285,216.42538435142285,216.42538435142285,216.42538435142285,222.1788376716565,222.1788376716565,222.1788376716565,222.1788376716565,12.069482613377266,12.069482613377266,12.069482613377266,12.069482613377266,12.069482613377266,12.069482613377266,12.069482613377266,12.069482613377266,2.077683689773659e-15,2.077683689773659e-15,2.077683689773659e-15,2.077683689773659e-15,2.1642538435142281e-16,2.1642538435142281e-16,2.1642538435142281e-16,2.1642538435142281e-16,2.2217883767165643e-16,2.2217883767165643e-16,2.2217883767165643e-16,2.2217883767165643e-16,7.7840821451236675,7.7840821451236675,7.7840821451236675,7.7840821451236675,7.7840821451236675,7.7840821451236675,7.7840821451236675,7.7840821451236675,613.5977665073704,613.5977665073704,613.5977665073704,613.5977665073704,63.916434011184414,63.916434011184414,63.916434011184414,63.916434011184414,65.61558875951108,65.61558875951108,65.61558875951108,65.61558875951108,5.0189698607297535,5.0189698607297535,5.0189698607297535,5.0189698607297535,5.0189698607297535,5.0189698607297535,5.0189698607297535,5.0189698607297535,1705.6720332257346,1705.6720332257346,1705.6720332257346,1705.6720332257346,177.6741701276807,177.6741701276807,177.6741701276807,177.6741701276807,182.39746100737247,182.39746100737247,182.39746100737247,182.39746100737247
family_velocity,trot,-0.5,1,1,1.0,True,1,1.0,True,2.9949458500247674,2.9949458500247674,2.9949458500247674,2.9949458500247674,2.9949458500247674,2.9949458500247674,2.9949458500247674,2.9949458500247674,1555.9010660975305,1555.9010660975305,1555.9010660975305,1555.9010660975305,163.43498593461456,163.43498593461456,163.43498593461456,163.43498593461456,342.0841057385444,342.0841057385444,342.0841057385444,342.0841057385444,2.994945850024769,2.994945850024769,2.994945850024769,2.994945850024769,2.994945850024769,2.994945850024769,2.994945850024769,2.994945850024769,1.5559010660975304e-15,1.5559010660975304e-15,1.5559010660975304e-15,1.5559010660975304e-15,1.6343498593461456e-16,1.6343498593461456e-16,1.6343498593461456e-16,1.6343498593461456e-16,3.4208410573854443e-16,3.4208410573854443e-16,3.4208410573854443e-16,3.4208410573854443e-16,-0.9950884713271372,0.9950884713271372,-0.9950884713271372,0.9950884713271372,-0.9950884713271372,0.9950884713271372,-0.9950884713271372,0.9950884713271372,268.5370931432393,268.5370931432393,268.5370931432393,268.5370931432393,28.207677851180602,28.207677851180602,28.207677851180602,28.207677851180602,59.04120343328752,59.04120343328752,59.04120343328752,59.04120343328752,-2.65096687417891,2.65096687417891,-2.65096687417891,2.65096687417891,-2.65096687417891,2.65096687417891,-2.65096687417891,2.65096687417891,1697.0453684837626,1697.0453684837626,1697.0453684837626,1697.0453684837626,178.2610681180423,178.2610681180423,178.2610681180423,178.2610681180423,373.11642746770656,373.11642746770656,373.11642746770656,373.11642746770656
family_velocity,trot,0.5,1,1,1.0,True,1,1.0,True,0.5726478820308439,0.5726478820308439,0.5726478820308439,0.5726478820308439,0.5726478820308439,0.5726478820308439,0.5726478820308439,0.5726478820308439,1765.398541784035,1765.398541784035,1765.398541784035,1765.398541784035,185.44102329664233,185.44102329664233,185.44102329664233,185.44102329664233,368.4816338337301,368.4816338337301,368.4816338337301,368.4816338337301,0.5726478820308422,0.5726478820308422,0.5726478820308422,0.5726478820308422,0.5726478820308422,0.5726478820308422,0.5726478820308422,0.5726478820308422,1.765398541784035e-15,1.765398541784035e-15,1.765398541784035e-15,1.765398541784035e-15,1.8544102329664235e-16,1.8544102329664235e-16,1.8544102329664235e-16,1.8544102329664235e-16,3.684816338337301e-16,3.684816338337301e-16,3.684816338337301e-16,3.684816338337301e-16,-3.005136528149323,3.005136528149323,-3.005136528149323,3.005136528149323,-3.005136528149323,3.005136528149323,-3.005136528149323,3.005136528149323,308.64881673961315,308.64881673961315,308.64881673961315,308.64881673961315,32.42109419533752,32.42109419533752,32.42109419533752,32.42109419533752,64.42251853121401,64.42251853121401,64.42251853121401,64.42251853121401,-3.1827060124256583,3.1827060124256583,-3.1827060124256583,3.1827060124256583,-3.1827060124256583,3.1827060124256583,-3.1827060124256583,3.1827060124256583,1711.0835961356056,1711.0835961356056,1711.0835961356056,1711.0835961356056,179.7356718629838,179.7356718629838,179.7356718629838,179.7356718629838,357.14478300915755,357.14478300915755,357.14478300915755,357.14478300915755
family_velocity,trot,1.0,1,1,1.0,True,1,1.0,True,2.100265849821773,2.100265849821773,2.100265849821773,2.100265849821773,2.100265849821773,2.100265849821773,2.100265849821773,2.100265849821773,2306.9073506204945,2306.9073506204945,2306.9073506204945,2306.9073506204945,240.3028490229682,240.3028490229682,240.3028490229682,240.3028490229682,240.39736178350748,240.39736178350748,240.39736178350748,240.39736178350748,2.1002658498217666,2.1002658498217666,2.1002658498217666,2.1002658498217666,2.1002658498217666,2.1002658498217666,2.1002658498217666,2.1002658498217666,2.3069073506204943e-15,2.3069073506204943e-15,2.3069073506204943e-15,2.3069073506204943e-15,2.4030284902296817e-16,2.4030284902296817e-16,2.4030284902296817e-16,2.4030284902296817e-16,2.403973617835074e-16,2.403973617835074e-16,2.403973617835074e-16,2.403973617835074e-16,-6.311310071354456,6.311310071354456,-6.311310071354456,6.311310071354456,-6.311310071354456,6.311310071354456,-6.311310071354456,6.311310071354456,684.3738845807823,684.3738845807823,684.3738845807823,684.3738845807823,71.28894631049816,71.28894631049816,71.28894631049816,71.28894631049816,71.31698474258141,71.31698474258141,71.31698474258141,71.31698474258141,-4.501026034938327,4.501026034938327,-4.501026034938327,4.501026034938327,-4.501026034938327,4.501026034938327,-4.501026034938327,4.501026034938327,1716.545484487152,1716.545484487152,1716.545484487152,1716.545484487152,178.806821300745,178.806821300745,178.806821300745,178.806821300745,178.87714725132403,178.87714725132403,178.87714725132403,178.87714725132403
family_velocity,trot,1.5,1,1,1.0,True,1,1.0,True,2.339228550788061,2.339228550788061,2.339228550788061,2.339228550788061,2.339228550788061,2.339228550788061,2.339228550788061,2.339228550788061,2980.3563337130063,2980.3563337130063,2980.3563337130063,2980.3563337130063,310.4537847617715,310.4537847617715,310.4537847617715,310.4537847617715,206.95816175424403,206.95816175424403,206.95816175424403,206.95816175424403,2.339228550788058,2.339228550788058,2.339228550788058,2.339228550788058,2.339228550788058,2.339228550788058,2.339228550788058,2.339228550788058,2.980356333713006e-15,2.980356333713006e-15,2.980356333713006e-15,2.980356333713006e-15,3.1045378476177146e-16,3.1045378476177146e-16,3.1045378476177146e-16,3.1045378476177146e-16,2.0695816175424398e-16,2.0695816175424398e-16,2.0695816175424398e-16,2.0695816175424398e-16,-10.393351399289157,10.393351399289157,-10.393351399289157,10.393351399289157,-10.393351399289157,10.393351399289157,-10.393351399289157,10.393351399289157,1076.7018981275032,1076.7018981275032,1076.7018981275032,1076.7018981275032,112.15644772161492,112.15644772161492,112.15644772161492,112.15644772161492,74.76698107308636,74.76698107308636,74.76698107308636,74.76698107308636,-8.160515892419268,8.160515892419268,-8.160515892419268,8.160515892419268,-8.160515892419268,8.160515892419268,-8.160515892419268,8.160515892419268,1715.5983629709651,1715.5983629709651,1715.5983629709651,1715.5983629709651,178.70816280947554,178.70816280947554,178.70816280947554,178.70816280947554,119.132427049997,119.132427049997,119.132427049997,119.132427049997
family,trot,,6,6,1.0,True,6,1.0,True,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,2251.0427779951774,2251.0427779951774,2251.0427779951774,2251.0427779951774,234.9681727206522,234.9681727206522,234.9681727206522,234.9681727206522,262.93549588521984,262.93549588521984,262.93549588521984,262.93549588521984,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,6.121153284896114,2.2510427779951773e-15,2.2510427779951773e-15,2.2510427779951773e-15,2.2510427779951773e-15,2.3496817272065217e-16,2.3496817272065217e-16,2.3496817272065217e-16,2.3496817272065217e-16,2.6293549588521983e-16,2.6293549588521983e-16,2.6293549588521983e-16,2.6293549588521983e-16,-0.010699093788717232,6.890929729584641,-0.010699093788717232,6.890929729584641,-0.010699093788717232,6.890929729584641,-0.010699093788717232,6.890929729584641,664.5912185658699,664.5912185658699,664.5912185658699,664.5912185658699,69.31245856178717,69.31245856178717,69.31245856178717,69.31245856178717,67.95043865540971,67.95043865540971,67.95043865540971,67.95043865540971,-0.7717704192064527,5.393301185447601,-0.7717704192064527,5.393301185447601,-0.7717704192064527,5.393301185447601,-0.7717704192064527,5.393301185447601,1706.119348595671,1706.119348595671,1706.119348595671,1706.119348595671,178.21798317313383,178.21798317313383,178.21798317313383,178.21798317313383,221.5149169687991,221.5149169687991,221.5149169687991,221.5149169687991
family_velocity,bound,-1.5,1,1,1.0,True,1,1.0,True,29.389432139621146,29.389432139621146,29.389432139621146,29.389432139621146,29.389432139621146,29.389432139621146,29.389432139621146,29.389432139621146,4585.713535060374,4585.713535060374,4585.713535060374,4585.713535060374,477.6784932354556,477.6784932354556,477.6784932354556,477.6784932354556,319.54381700773934,319.54381700773934,319.54381700773934,319.54381700773934,29.389432139621153,29.389432139621153,29.389432139621153,29.389432139621153,29.389432139621153,29.389432139621153,29.389432139621153,29.389432139621153,4.585713535060373e-15,4.585713535060373e-15,4.585713535060373e-15,4.585713535060373e-15,4.776784932354556e-16,4.776784932354556e-16,4.776784932354556e-16,4.776784932354556e-16,3.1954381700773927e-16,3.1954381700773927e-16,3.1954381700773927e-16,3.1954381700773927e-16,29.78454800416196,29.78454800416196,29.78454800416196,29.78454800416196,29.78454800416196,29.78454800416196,29.78454800416196,29.78454800416196,2174.04482884362,2174.04482884362,2174.04482884362,2174.04482884362,226.46300300454376,226.46300300454376,226.46300300454376,226.46300300454376,151.49279989760228,151.49279989760228,151.49279989760228,151.49279989760228,10.417089475765906,10.417089475765906,10.417089475765906,10.417089475765906,10.417089475765906,10.417089475765906,10.417089475765906,10.417089475765906,1538.8524684841866,1538.8524684841866,1538.8524684841866,1538.8524684841866,160.29713213376945,160.29713213376945,160.29713213376945,160.29713213376945,107.23103129570977,107.23103129570977,107.23103129570977,107.23103129570977
family_velocity,bound,-1.0,1,1,1.0,True,1,1.0,True,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,3656.75480447558,3656.75480447558,3656.75480447558,3656.75480447558,380.9119587995396,380.9119587995396,380.9119587995396,380.9119587995396,390.2387550841235,390.2387550841235,390.2387550841235,390.2387550841235,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,36.565433970600324,3.65675480447558e-15,3.65675480447558e-15,3.65675480447558e-15,3.65675480447558e-15,3.8091195879953963e-16,3.8091195879953963e-16,3.8091195879953963e-16,3.8091195879953963e-16,3.902387550841235e-16,3.902387550841235e-16,3.902387550841235e-16,3.902387550841235e-16,41.225511966384964,41.225511966384964,41.225511966384964,41.225511966384964,41.225511966384964,41.225511966384964,41.225511966384964,41.225511966384964,2038.8368032752878,2038.8368032752878,2038.8368032752878,2038.8368032752878,212.37883367450917,212.37883367450917,212.37883367450917,212.37883367450917,217.57902251363694,217.57902251363694,217.57902251363694,217.57902251363694,7.30389395311994,7.30389395311994,7.30389395311994,7.30389395311994,7.30389395311994,7.30389395311994,7.30389395311994,7.30389395311994,1554.7191399285987,1554.7191399285987,1554.7191399285987,1554.7191399285987,161.94991040922903,161.94991040922903,161.94991040922903,161.94991040922903,165.91532495660584,165.91532495660584,165.91532495660584,165.91532495660584
family_velocity,bound,-0.5,1,1,1.0,True,1,1.0,True,39.77274839262872,39.77274839262872,39.77274839262872,39.77274839262872,39.77274839262872,39.77274839262872,39.77274839262872,39.77274839262872,2963.8871687273613,2963.8871687273613,2963.8871687273613,2963.8871687273613,311.33268579068925,311.33268579068925,311.33268579068925,311.33268579068925,643.0566154301204,643.0566154301204,643.0566154301204,643.0566154301204,39.77274839262871,39.77274839262871,39.77274839262871,39.77274839262871,39.77274839262871,39.77274839262871,39.77274839262871,39.77274839262871,2.9638871687273613e-15,2.9638871687273613e-15,2.9638871687273613e-15,2.9638871687273613e-15,3.113326857906892e-16,3.113326857906892e-16,3.113326857906892e-16,3.113326857906892e-16,6.430566154301204e-16,6.430566154301204e-16,6.430566154301204e-16,6.430566154301204e-16,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,1965.6207860365598,1965.6207860365598,1965.6207860365598,1965.6207860365598,206.4727716424958,206.4727716424958,206.4727716424958,206.4727716424958,426.4688154206975,426.4688154206975,426.4688154206975,426.4688154206975,5.515641756539934,5.515641756539934,5.515641756539934,5.515641756539934,5.515641756539934,5.515641756539934,5.515641756539934,5.515641756539934,1577.791394525394,1577.791394525394,1577.791394525394,1577.791394525394,165.73439018123887,165.73439018123887,165.73439018123887,165.73439018123887,342.32382552333263,342.32382552333263,342.32382552333263,342.32382552333263
