cell_id,gait_index,gait_name,family,velocity_mps,velocity_sign,seed,status,reason,relative_output_dir,sample_count,measurement_start_s,measurement_stop_s,measurement_duration_s,complete_cycles,phase_boundary_trimmed,gait_period_s,effort_limit_source,effort_limit_min_nm,effort_limit_max_nm,command_x_mean_mps,measured_x_mean_mps,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,signed_directed_progress_m,integrated_body_x_progress_m,position_vs_integrated_progress_difference_m,directed_progress_definition,positive_directed_progress,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_total_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_utilization_total_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_utilization_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_total_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_total_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,trot,-1.5,backward,42,valid,,cells/gait_00_trot/vx_neg_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.491533601284027,0.033052765954681124,0.024828547572051333,0.425,0.05,True,True,True,14.299460411071777,14.31872257232666,-0.01926216125488267,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1325.8502596695234,1181.701058352661,2507.551318022184,5.7486042371631,5.7486042371631,261.20326229397756,175.35985596216196,1.3258502596695239e-15,1.181701058352661e-15,2.507551318022185e-15,5.7486042371631125,5.7486042371631125,2.612032622939776e-16,1.7535985596216202e-16,551.8290414046863,387.7328366765129,939.5618780811992,17.46518335368135,17.46518335368135,97.87102896679158,65.70610715868102,829.2326213604258,810.032609339792,1639.2652307002177,1.1712571987165545,1.1712571987165545,170.756794864606,114.63825791852736
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,trot,-1.0,backward,42,valid,,cells/gait_00_trot/vx_neg_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9841416099419197,0.03582502060934327,0.026641536554072733,0.3,0.05,True,True,True,9.433926105499268,9.447759455442428,-0.013833349943160655,commanded-sign world-x displacement across the same sample intervals as effort integration,True,996.4529938844972,1011.3357119687483,2007.7887058532456,-0.7412492181504943,0.7412492181504943,209.14465685971308,212.8264185451756,9.964529938844973e-16,1.0113357119687483e-15,2.007788705853246e-15,-0.7412492181504865,0.7412492181504865,2.0914465685971312e-16,2.1282641854517562e-16,309.4705884604515,234.60316128846193,544.0737497489134,13.760529194165388,13.760529194165388,56.67434893217848,57.672038519758964,813.9430671024656,860.243016244095,1674.1860833465607,-2.7655198906611105,2.7655198906611105,174.39438368193342,177.4644050233377
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,trot,-0.5,backward,42,valid,,cells/gait_00_trot/vx_neg_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.48307201297593716,0.03111560495758554,0.02666118809649218,0.175,0.05,True,True,True,4.590322732925415,4.598845563530922,-0.008522830605507181,commanded-sign world-x displacement across the same sample intervals as effort integration,True,712.164978565184,768.115067141886,1480.28004570707,-3.779696195930068,3.779696195930068,155.49160143981828,322.4784251201629,7.121649785651839e-16,7.681150671418859e-16,1.4802800457070699e-15,-3.7796961959300677,3.7796961959300677,1.5549160143981827e-16,3.224784251201629e-16,113.42255130148493,108.76256364538916,222.18511494687408,2.097344665600123,2.097344665600123,23.33877257845316,48.4029398092616,799.3453552966795,899.3538519859314,1698.699207282611,-5.887357588706617,5.887357588706617,178.43479068094655,370.06095347026485
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,trot,0.5,forward,42,valid,,cells/gait_00_trot/vx_pos_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.5051360187911186,0.026376748698096572,0.01495285916850717,0.175,0.05,True,True,True,4.800536394119263,4.808894898891449,-0.008358504772186137,commanded-sign world-x displacement across the same sample intervals as effort integration,True,670.7229634261234,796.8368164293116,1467.559779855435,-8.593438900022955,8.593438900022955,154.15543906044485,305.7074583692814,6.707229634261234e-16,7.968368164293117e-16,1.467559779855435e-15,-8.593438900022957,8.593438900022957,1.5415543906044488e-16,3.057074583692815e-16,107.44837269875309,119.90496966555507,227.35334236430816,-5.478959243467679,5.478959243467679,23.881653609696237,47.359987238680205,846.103107680303,849.0848768587257,1695.1879845390285,-0.17589607793459877,0.17589607793459877,178.065964762503,353.1247021927929
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,trot,1.0,forward,42,valid,,cells/gait_00_trot/vx_pos_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,1.0010434828698636,0.030068209877887372,0.01829499262585101,0.3,0.05,True,True,True,9.592975616455078,9.61001743555069,-0.017041819095611643,commanded-sign world-x displacement across the same sample intervals as effort integration,True,846.2157255683184,1087.8117692347632,1934.0274948030815,-12.491861895223142,12.491861895223142,201.461197375321,201.60871580717816,8.462157255683184e-16,1.0878117692347632e-15,1.9340274948030814e-15,-12.491861895223137,12.491861895223137,2.0146119737532098e-16,2.0160871580717815e-16,240.5086140253947,280.5700543294032,521.0786683547979,-7.688175075463082,7.688175075463082,54.27902795362478,54.31877335964226,806.2284628796721,890.1598706145965,1696.3883334942684,-4.947652968235175,4.947652968235175,176.70711807231964,176.83651051759267
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,trot,1.5,forward,42,valid,,cells/gait_00_trot/vx_pos_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.5018926933407784,0.03294979250939543,0.02163293313930391,0.425,0.05,True,True,True,14.397958278656006,14.418169856071472,-0.02021157741546631,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1126.4403854763998,1336.7446053738436,2463.1849908502436,-8.537897911794714,8.537897911794714,256.5817698802337,171.07876986292897,1.1264403854763998e-15,1.3367446053738432e-15,2.4631849908502428e-15,-8.537897911794705,8.537897911794705,2.5658176988023366e-16,1.710787698629289e-16,394.5913764733306,490.5549319515069,885.1463084248376,-10.841547274704025,10.841547274704025,92.20274046092058,61.47721026091642,749.0053596621545,911.6878887682504,1660.693248430405,-9.796061329198176,9.796061329198176,172.98888004483385,115.34227397312783
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,bound,-1.5,backward,42,valid,,cells/gait_01_bound/vx_neg_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.4996011475721995,0.03255583253704127,0.028824740972736913,0.425,0.05,True,True,True,14.32744312286377,14.396171016693115,-0.06872789382934563,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2368.399232784428,2102.407271831256,4470.806504615684,5.949529702941977,5.949529702941977,465.7090108974671,312.0449661727263,2.3683992327844283e-15,2.102407271831256e-15,4.470806504615684e-15,5.949529702941979,5.949529702941979,4.657090108974671e-16,3.120449661727262e-16,1242.315068188507,1506.702451315563,2749.01751950407,-9.6175226695082,9.6175226695082,286.3559916150073,191.87076828224718,831.9972285153161,781.1731145028689,1613.1703430181851,3.1505732939124775,3.1505732939124775,168.03857739772764,112.59303765400288
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,-1.0,backward,42,valid,,cells/gait_01_bound/vx_neg_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9906956230600675,0.036212251944215554,0.024271821853221992,0.3,0.05,True,True,True,9.399333953857422,9.510677981376649,-0.11134402751922678,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1916.6870171480443,1988.0905022539368,3904.7775194019814,-1.8286185256677054,1.8286185256677054,406.74765827103977,415.4312995549528,1.9166870171480443e-15,1.9880905022539368e-15,3.904777519401981e-15,-1.8286185256677039,1.8286185256677039,4.0674765827103973e-16,4.1543129955495277e-16,1136.7567390251268,1541.6145485020988,2678.371287527226,-15.115820997721052,15.115820997721052,278.9970091174194,284.9533063380561,797.9473692898518,806.9393790950517,1604.8867483849035,-0.5602893671001413,0.5602893671001413,167.1757029567608,170.7447310908949
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,-0.5,backward,42,valid,,cells/gait_01_bound/vx_neg_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.49059115287636507,0.032383224797075456,0.018435567791950522,0.175,0.05,True,True,True,4.636006593704224,4.670427775382996,-0.034421181678772506,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1253.1011593578744,1908.8338695495152,3161.9350289073896,-20.738335993520714,20.738335993520714,332.1360324482552,682.0385098678141,1.2531011593578743e-15,1.9088338695495154e-15,3.1619350289073897e-15,-20.738335993520725,20.738335993520725,3.3213603244825524e-16,6.820385098678141e-16,725.7381792269595,1551.9858661990497,2277.724045426009,-36.275144420208065,36.275144420208065,239.25672746071524,491.3116492369095,770.9977251261473,829.680224867287,1600.6779499934344,-3.666102837324675,3.666102837324675,168.13844012536077,345.27085275659067
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,0.5,forward,42,valid,,cells/gait_01_bound/vx_pos_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.507261294652434,0.028684858398071108,0.02443118542476026,0.175,0.05,True,True,True,4.711811542510986,4.829127525091171,-0.11731598258018483,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1967.3000317605984,1617.490539523359,3584.7905712839574,9.758157004746549,9.758157004746549,376.5536314373905,760.8094124608335,1.9673000317605985e-15,1.617490539523359e-15,3.5847905712839574e-15,9.758157004746552,9.758157004746552,3.765536314373905e-16,7.608094124608336e-16,1693.2313560049474,1145.999772881624,2839.2311288865712,19.273935734070545,19.273935734070545,298.23856395867347,602.5773958212063,813.7242296083887,784.9899071276188,1598.7141367360075,1.7973396131615413,1.7973396131615413,167.93215722016888,339.2992530180933
