scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,1,1.0,True,5.7486042371631,5.7486042371631,5.7486042371631,5.7486042371631,5.7486042371631,5.7486042371631,5.7486042371631,5.7486042371631,2507.551318022184,2507.551318022184,2507.551318022184,2507.551318022184,261.20326229397756,261.20326229397756,261.20326229397756,261.20326229397756,175.35985596216196,175.35985596216196,175.35985596216196,175.35985596216196,5.7486042371631125,5.7486042371631125,5.7486042371631125,5.7486042371631125,5.7486042371631125,5.7486042371631125,5.7486042371631125,5.7486042371631125,2.507551318022185e-15,2.507551318022185e-15,2.507551318022185e-15,2.507551318022185e-15,2.612032622939776e-16,2.612032622939776e-16,2.612032622939776e-16,2.612032622939776e-16,1.7535985596216202e-16,1.7535985596216202e-16,1.7535985596216202e-16,1.7535985596216202e-16,17.46518335368135,17.46518335368135,17.46518335368135,17.46518335368135,17.46518335368135,17.46518335368135,17.46518335368135,17.46518335368135,939.5618780811992,939.5618780811992,939.5618780811992,939.5618780811992,97.87102896679158,97.87102896679158,97.87102896679158,97.87102896679158,65.70610715868102,65.70610715868102,65.70610715868102,65.70610715868102,1.1712571987165545,1.1712571987165545,1.1712571987165545,1.1712571987165545,1.1712571987165545,1.1712571987165545,1.1712571987165545,1.1712571987165545,1639.2652307002177,1639.2652307002177,1639.2652307002177,1639.2652307002177,170.756794864606,170.756794864606,170.756794864606,170.756794864606,114.63825791852736,114.63825791852736,114.63825791852736,114.63825791852736
family_velocity,trot,-1.0,1,1,1.0,True,1,1.0,True,-0.7412492181504943,0.7412492181504943,-0.7412492181504943,0.7412492181504943,-0.7412492181504943,0.7412492181504943,-0.7412492181504943,0.7412492181504943,2007.7887058532456,2007.7887058532456,2007.7887058532456,2007.7887058532456,209.14465685971308,209.14465685971308,209.14465685971308,209.14465685971308,212.8264185451756,212.8264185451756,212.8264185451756,212.8264185451756,-0.7412492181504865,0.7412492181504865,-0.7412492181504865,0.7412492181504865,-0.7412492181504865,0.7412492181504865,-0.7412492181504865,0.7412492181504865,2.007788705853246e-15,2.007788705853246e-15,2.007788705853246e-15,2.007788705853246e-15,2.0914465685971312e-16,2.0914465685971312e-16,2.0914465685971312e-16,2.0914465685971312e-16,2.1282641854517562e-16,2.1282641854517562e-16,2.1282641854517562e-16,2.1282641854517562e-16,13.760529194165388,13.760529194165388,13.760529194165388,13.760529194165388,13.760529194165388,13.760529194165388,13.760529194165388,13.760529194165388,544.0737497489134,544.0737497489134,544.0737497489134,544.0737497489134,56.67434893217848,56.67434893217848,56.67434893217848,56.67434893217848,57.672038519758964,57.672038519758964,57.672038519758964,57.672038519758964,-2.7655198906611105,2.7655198906611105,-2.7655198906611105,2.7655198906611105,-2.7655198906611105,2.7655198906611105,-2.7655198906611105,2.7655198906611105,1674.1860833465607,1674.1860833465607,1674.1860833465607,1674.1860833465607,174.39438368193342,174.39438368193342,174.39438368193342,174.39438368193342,177.4644050233377,177.4644050233377,177.4644050233377,177.4644050233377
family_velocity,trot,-0.5,1,1,1.0,True,1,1.0,True,-3.779696195930068,3.779696195930068,-3.779696195930068,3.779696195930068,-3.779696195930068,3.779696195930068,-3.779696195930068,3.779696195930068,1480.28004570707,1480.28004570707,1480.28004570707,1480.28004570707,155.49160143981828,155.49160143981828,155.49160143981828,155.49160143981828,322.4784251201629,322.4784251201629,322.4784251201629,322.4784251201629,-3.7796961959300677,3.7796961959300677,-3.7796961959300677,3.7796961959300677,-3.7796961959300677,3.7796961959300677,-3.7796961959300677,3.7796961959300677,1.4802800457070699e-15,1.4802800457070699e-15,1.4802800457070699e-15,1.4802800457070699e-15,1.5549160143981827e-16,1.5549160143981827e-16,1.5549160143981827e-16,1.5549160143981827e-16,3.224784251201629e-16,3.224784251201629e-16,3.224784251201629e-16,3.224784251201629e-16,2.097344665600123,2.097344665600123,2.097344665600123,2.097344665600123,2.097344665600123,2.097344665600123,2.097344665600123,2.097344665600123,222.18511494687408,222.18511494687408,222.18511494687408,222.18511494687408,23.33877257845316,23.33877257845316,23.33877257845316,23.33877257845316,48.4029398092616,48.4029398092616,48.4029398092616,48.4029398092616,-5.887357588706617,5.887357588706617,-5.887357588706617,5.887357588706617,-5.887357588706617,5.887357588706617,-5.887357588706617,5.887357588706617,1698.699207282611,1698.699207282611,1698.699207282611,1698.699207282611,178.43479068094655,178.43479068094655,178.43479068094655,178.43479068094655,370.06095347026485,370.06095347026485,370.06095347026485,370.06095347026485
family_velocity,trot,0.5,1,1,1.0,True,1,1.0,True,-8.593438900022955,8.593438900022955,-8.593438900022955,8.593438900022955,-8.593438900022955,8.593438900022955,-8.593438900022955,8.593438900022955,1467.559779855435,1467.559779855435,1467.559779855435,1467.559779855435,154.15543906044485,154.15543906044485,154.15543906044485,154.15543906044485,305.7074583692814,305.7074583692814,305.7074583692814,305.7074583692814,-8.593438900022957,8.593438900022957,-8.593438900022957,8.593438900022957,-8.593438900022957,8.593438900022957,-8.593438900022957,8.593438900022957,1.467559779855435e-15,1.467559779855435e-15,1.467559779855435e-15,1.467559779855435e-15,1.5415543906044488e-16,1.5415543906044488e-16,1.5415543906044488e-16,1.5415543906044488e-16,3.057074583692815e-16,3.057074583692815e-16,3.057074583692815e-16,3.057074583692815e-16,-5.478959243467679,5.478959243467679,-5.478959243467679,5.478959243467679,-5.478959243467679,5.478959243467679,-5.478959243467679,5.478959243467679,227.35334236430816,227.35334236430816,227.35334236430816,227.35334236430816,23.881653609696237,23.881653609696237,23.881653609696237,23.881653609696237,47.359987238680205,47.359987238680205,47.359987238680205,47.359987238680205,-0.17589607793459877,0.17589607793459877,-0.17589607793459877,0.17589607793459877,-0.17589607793459877,0.17589607793459877,-0.17589607793459877,0.17589607793459877,1695.1879845390285,1695.1879845390285,1695.1879845390285,1695.1879845390285,178.065964762503,178.065964762503,178.065964762503,178.065964762503,353.1247021927929,353.1247021927929,353.1247021927929,353.1247021927929
family_velocity,trot,1.0,1,1,1.0,True,1,1.0,True,-12.491861895223142,12.491861895223142,-12.491861895223142,12.491861895223142,-12.491861895223142,12.491861895223142,-12.491861895223142,12.491861895223142,1934.0274948030815,1934.0274948030815,1934.0274948030815,1934.0274948030815,201.461197375321,201.461197375321,201.461197375321,201.461197375321,201.60871580717816,201.60871580717816,201.60871580717816,201.60871580717816,-12.491861895223137,12.491861895223137,-12.491861895223137,12.491861895223137,-12.491861895223137,12.491861895223137,-12.491861895223137,12.491861895223137,1.9340274948030814e-15,1.9340274948030814e-15,1.9340274948030814e-15,1.9340274948030814e-15,2.0146119737532098e-16,2.0146119737532098e-16,2.0146119737532098e-16,2.0146119737532098e-16,2.0160871580717815e-16,2.0160871580717815e-16,2.0160871580717815e-16,2.0160871580717815e-16,-7.688175075463082,7.688175075463082,-7.688175075463082,7.688175075463082,-7.688175075463082,7.688175075463082,-7.688175075463082,7.688175075463082,521.0786683547979,521.0786683547979,521.0786683547979,521.0786683547979,54.27902795362478,54.27902795362478,54.27902795362478,54.27902795362478,54.31877335964226,54.31877335964226,54.31877335964226,54.31877335964226,-4.947652968235175,4.947652968235175,-4.947652968235175,4.947652968235175,-4.947652968235175,4.947652968235175,-4.947652968235175,4.947652968235175,1696.3883334942684,1696.3883334942684,1696.3883334942684,1696.3883334942684,176.70711807231964,176.70711807231964,176.70711807231964,176.70711807231964,176.83651051759267,176.83651051759267,176.83651051759267,176.83651051759267
family_velocity,trot,1.5,1,1,1.0,True,1,1.0,True,-8.537897911794714,8.537897911794714,-8.537897911794714,8.537897911794714,-8.537897911794714,8.537897911794714,-8.537897911794714,8.537897911794714,2463.1849908502436,2463.1849908502436,2463.1849908502436,2463.1849908502436,256.5817698802337,256.5817698802337,256.5817698802337,256.5817698802337,171.07876986292897,171.07876986292897,171.07876986292897,171.07876986292897,-8.537897911794705,8.537897911794705,-8.537897911794705,8.537897911794705,-8.537897911794705,8.537897911794705,-8.537897911794705,8.537897911794705,2.4631849908502428e-15,2.4631849908502428e-15,2.4631849908502428e-15,2.4631849908502428e-15,2.5658176988023366e-16,2.5658176988023366e-16,2.5658176988023366e-16,2.5658176988023366e-16,1.710787698629289e-16,1.710787698629289e-16,1.710787698629289e-16,1.710787698629289e-16,-10.841547274704025,10.841547274704025,-10.841547274704025,10.841547274704025,-10.841547274704025,10.841547274704025,-10.841547274704025,10.841547274704025,885.1463084248376,885.1463084248376,885.1463084248376,885.1463084248376,92.20274046092058,92.20274046092058,92.20274046092058,92.20274046092058,61.47721026091642,61.47721026091642,61.47721026091642,61.47721026091642,-9.796061329198176,9.796061329198176,-9.796061329198176,9.796061329198176,-9.796061329198176,9.796061329198176,-9.796061329198176,9.796061329198176,1660.693248430405,1660.693248430405,1660.693248430405,1660.693248430405,172.98888004483385,172.98888004483385,172.98888004483385,172.98888004483385,115.34227397312783,115.34227397312783,115.34227397312783,115.34227397312783
family,trot,,6,6,1.0,True,6,1.0,True,-4.732589980659712,6.648791393047412,-4.732589980659712,6.648791393047412,-4.732589980659712,6.648791393047412,-4.732589980659712,6.648791393047412,1976.7320558485433,1976.7320558485433,1976.7320558485433,1976.7320558485433,206.3396544849181,206.3396544849181,206.3396544849181,206.3396544849181,231.50994061114818,231.50994061114818,231.50994061114818,231.50994061114818,-4.732589980659706,6.648791393047411,-4.732589980659706,6.648791393047411,-4.732589980659706,6.648791393047411,-4.732589980659706,6.648791393047411,1.9767320558485435e-15,1.9767320558485435e-15,1.9767320558485435e-15,1.9767320558485435e-15,2.0633965448491808e-16,2.0633965448491808e-16,2.0633965448491808e-16,2.0633965448491808e-16,2.315099406111482e-16,2.315099406111482e-16,2.315099406111482e-16,2.315099406111482e-16,1.552395936635346,9.555289801180274,1.552395936635346,9.555289801180274,1.552395936635346,9.555289801180274,1.552395936635346,9.555289801180274,556.5665103201551,556.5665103201551,556.5665103201551,556.5665103201551,58.0412620836108,58.0412620836108,58.0412620836108,58.0412620836108,55.82284272449008,55.82284272449008,55.82284272449008,55.82284272449008,-3.733538442669854,4.123957508908705,-3.733538442669854,4.123957508908705,-3.733538442669854,4.123957508908705,-3.733538442669854,4.123957508908705,1677.4033479655152,1677.4033479655152,1677.4033479655152,1677.4033479655152,175.22465535119042,175.22465535119042,175.22465535119042,175.22465535119042,217.9111838492739,217.9111838492739,217.9111838492739,217.9111838492739
family_velocity,bound,-1.5,1,1,1.0,True,1,1.0,True,5.949529702941977,5.949529702941977,5.949529702941977,5.949529702941977,5.949529702941977,5.949529702941977,5.949529702941977,5.949529702941977,4470.806504615684,4470.806504615684,4470.806504615684,4470.806504615684,465.7090108974671,465.7090108974671,465.7090108974671,465.7090108974671,312.0449661727263,312.0449661727263,312.0449661727263,312.0449661727263,5.949529702941979,5.949529702941979,5.949529702941979,5.949529702941979,5.949529702941979,5.949529702941979,5.949529702941979,5.949529702941979,4.470806504615684e-15,4.470806504615684e-15,4.470806504615684e-15,4.470806504615684e-15,4.657090108974671e-16,4.657090108974671e-16,4.657090108974671e-16,4.657090108974671e-16,3.120449661727262e-16,3.120449661727262e-16,3.120449661727262e-16,3.120449661727262e-16,-9.6175226695082,9.6175226695082,-9.6175226695082,9.6175226695082,-9.6175226695082,9.6175226695082,-9.6175226695082,9.6175226695082,2749.01751950407,2749.01751950407,2749.01751950407,2749.01751950407,286.3559916150073,286.3559916150073,286.3559916150073,286.3559916150073,191.87076828224718,191.87076828224718,191.87076828224718,191.87076828224718,3.1505732939124775,3.1505732939124775,3.1505732939124775,3.1505732939124775,3.1505732939124775,3.1505732939124775,3.1505732939124775,3.1505732939124775,1613.1703430181851,1613.1703430181851,1613.1703430181851,1613.1703430181851,168.03857739772764,168.03857739772764,168.03857739772764,168.03857739772764,112.59303765400288,112.59303765400288,112.59303765400288,112.59303765400288
family_velocity,bound,-1.0,1,1,1.0,True,1,1.0,True,-1.8286185256677054,1.8286185256677054,-1.8286185256677054,1.8286185256677054,-1.8286185256677054,1.8286185256677054,-1.8286185256677054,1.8286185256677054,3904.7775194019814,3904.7775194019814,3904.7775194019814,3904.7775194019814,406.74765827103977,406.74765827103977,406.74765827103977,406.74765827103977,415.4312995549528,415.4312995549528,415.4312995549528,415.4312995549528,-1.8286185256677039,1.8286185256677039,-1.8286185256677039,1.8286185256677039,-1.8286185256677039,1.8286185256677039,-1.8286185256677039,1.8286185256677039,3.904777519401981e-15,3.904777519401981e-15,3.904777519401981e-15,3.904777519401981e-15,4.0674765827103973e-16,4.0674765827103973e-16,4.0674765827103973e-16,4.0674765827103973e-16,4.1543129955495277e-16,4.1543129955495277e-16,4.1543129955495277e-16,4.1543129955495277e-16,-15.115820997721052,15.115820997721052,-15.115820997721052,15.115820997721052,-15.115820997721052,15.115820997721052,-15.115820997721052,15.115820997721052,2678.371287527226,2678.371287527226,2678.371287527226,2678.371287527226,278.9970091174194,278.9970091174194,278.9970091174194,278.9970091174194,284.9533063380561,284.9533063380561,284.9533063380561,284.9533063380561,-0.5602893671001413,0.5602893671001413,-0.5602893671001413,0.5602893671001413,-0.5602893671001413,0.5602893671001413,-0.5602893671001413,0.5602893671001413,1604.8867483849035,1604.8867483849035,1604.8867483849035,1604.8867483849035,167.1757029567608,167.1757029567608,167.1757029567608,167.1757029567608,170.7447310908949,170.7447310908949,170.7447310908949,170.7447310908949
family_velocity,bound,-0.5,1,1,1.0,True,1,1.0,True,-20.738335993520714,20.738335993520714,-20.738335993520714,20.738335993520714,-20.738335993520714,20.738335993520714,-20.738335993520714,20.738335993520714,3161.9350289073896,3161.9350289073896,3161.9350289073896,3161.9350289073896,332.1360324482552,332.1360324482552,332.1360324482552,332.1360324482552,682.0385098678141,682.0385098678141,682.0385098678141,682.0385098678141,-20.738335993520725,20.738335993520725,-20.738335993520725,20.738335993520725,-20.738335993520725,20.738335993520725,-20.738335993520725,20.738335993520725,3.1619350289073897e-15,3.1619350289073897e-15,3.1619350289073897e-15,3.1619350289073897e-15,3.3213603244825524e-16,3.3213603244825524e-16,3.3213603244825524e-16,3.3213603244825524e-16,6.820385098678141e-16,6.820385098678141e-16,6.820385098678141e-16,6.820385098678141e-16,-36.275144420208065,36.275144420208065,-36.275144420208065,36.275144420208065,-36.275144420208065,36.275144420208065,-36.275144420208065,36.275144420208065,2277.724045426009,2277.724045426009,2277.724045426009,2277.724045426009,239.25672746071524,239.25672746071524,239.25672746071524,239.25672746071524,491.3116492369095,491.3116492369095,491.3116492369095,491.3116492369095,-3.666102837324675,3.666102837324675,-3.666102837324675,3.666102837324675,-3.666102837324675,3.666102837324675,-3.666102837324675,3.666102837324675,1600.6779499934344,1600.6779499934344,1600.6779499934344,1600.6779499934344,168.13844012536077,168.13844012536077,168.13844012536077,168.13844012536077,345.27085275659067,345.27085275659067,345.27085275659067,345.27085275659067
