operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.011110581072382641,30,1.0,0.010479371505337521,30,1.0,0.06057544994068431,30,1.0,0.014811417349536981,30,1.0,0.1913235663950203,30,1.0,3.8176606980793477,30,1.0,1.167941927223929,30,1.0,0.1506422226212093,30,1.0,0.0229479550849489,30,1.0,3.745685601372085,30,1.0,26.804925477212883,30,1.0,40.97211724215985,30,1.0
temporal_reversal,family,bound,3,3,0.00635559837025252,3,1.0,0.004264855969055706,3,1.0,0.03237588691690254,3,1.0,0.03287069024239531,3,1.0,0.2045250756705804,3,1.0,7.40174698479909,3,1.0,1.3001836453668252,3,1.0,0.1576562586097783,3,1.0,0.017635896113762255,3,1.0,3.657605032444669,3,1.0,47.0625651842465,3,1.0,30.714131753570598,3,1.0
temporal_reversal,family,gallop,12,12,0.011999744695109517,12,1.0,0.014200310019345477,12,1.0,0.06940069885626528,12,1.0,0.009922375755659496,12,1.0,0.1901451148203146,12,1.0,2.933586011498454,12,1.0,1.1205419126333036,12,1.0,0.15106493458137613,12,1.0,0.030547251591140967,12,1.0,3.8795181577730466,12,1.0,21.103134388876516,12,1.0,41.76901846411901,12,1.0
temporal_reversal,family,half_bound,12,12,0.008778071318284621,12,1.0,0.010196706664851144,12,1.0,0.053747182586293914,12,1.0,0.017977028980528175,12,1.0,0.2081829147092947,12,1.0,4.292500824217872,12,1.0,1.2197643394312656,12,1.0,0.15563270456454817,12,1.0,0.01927055458685629,12,1.0,3.8713462447621616,12,1.0,32.17186531673752,12,1.0,42.073585209861754,12,1.0
temporal_reversal,family,trot,3,3,0.02163894829999735,3,1.0,0.002940792347533045,3,1.0,0.08078708671970392,3,1.0,0.0036458643082238197,3,1.0,0.11539847016118525,3,1.0,1.87051265312908,3,1.0,1.0180106186141884,3,1.0,0.1219754110186173,3,1.0,0.012572430023737735,3,1.0,2.7957933711353538,3,1.0,7.886690765426252,3,1.0,43.636625972104845,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.011110581072382641,30,1.0,0.010479371505337521,30,1.0,0.06057544994068431,30,1.0,0.014811417349536981,30,1.0,0.1913235663950203,30,1.0,3.8176606980793477,30,1.0,1.167941927223929,30,1.0,0.1506422226212093,30,1.0,0.0229479550849489,30,1.0,3.745685601372085,30,1.0,26.804925477212883,30,1.0,40.97211724215985,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.009555425938884728,10,1.0,0.007704317226077034,10,1.0,0.05084728422619047,10,1.0,0.016048504092863628,10,1.0,0.14607561576810388,10,1.0,3.5373277065678814,10,1.0,1.023009183159631,10,1.0,0.12493917154540828,10,1.0,0.021742238923412628,10,1.0,3.0524768787724543,10,1.0,26.52922123772896,10,1.0,30.5000277050108,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.011884514895051818,10,1.0,0.013070036252691486,10,1.0,0.06370192307692309,10,1.0,0.013745118668446174,10,1.0,0.19695881797638823,10,1.0,3.8020863427106435,10,1.0,1.2192746434589314,10,1.0,0.1554475357842936,10,1.0,0.019314757787119448,10,1.0,3.791750006322304,10,1.0,26.24431807313626,10,1.0,42.23135388031162,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.01189180238321138,10,1.0,0.010663761037244049,10,1.0,0.06717714251893939,10,1.0,0.014640629287301138,10,1.0,0.23093626544056872,10,1.0,4.113568044959519,10,1.0,1.2615419550532248,10,1.0,0.17153996053392592,10,1.0,0.02778686854431463,10,1.0,4.392829919021498,10,1.0,27.64123712077344,10,1.0,50.18497014115712,10,1.0
temporal_reversal,robot,x1,30,30,0.011110581072382641,30,1.0,0.010479371505337521,30,1.0,0.06057544994068431,30,1.0,0.014811417349536981,30,1.0,0.1913235663950203,30,1.0,3.8176606980793477,30,1.0,1.167941927223929,30,1.0,0.1506422226212093,30,1.0,0.0229479550849489,30,1.0,3.745685601372085,30,1.0,26.804925477212883,30,1.0,40.97211724215985,30,1.0
