positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_4242,gait_00_trot__vx_neg_0p5__seed_4242,0,0,trot,0.5,-0.00289136784918168,0.00921528523459154,-0.00289136784918168,-0.00921528523459154,-0.006053326541886611,0.00632391738540986,0.4971086321508183,-0.49078471476540847,0.006323917385409827,0.006323911061498767,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_4242,gait_00_trot__vx_neg_1p0__seed_4242,0,0,trot,1.0,-0.003284996375441551,0.003662000348170598,-0.003284996375441551,-0.003662000348170598,-0.003473498361806075,0.00037700397272904694,0.9967150036245584,-0.9963379996518295,0.00037700397272899533,0.0001885018921135516,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_4242,gait_00_trot__vx_neg_1p5__seed_4242,0,0,trot,1.5,0.0031240637103716533,-0.011392953246831894,0.0031240637103716533,0.011392953246831894,0.007258508478601774,-0.00826888953646024,1.5031240637103715,-1.511392953246832,0.008268889536460433,0.0027562955933882797,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_4242,gait_01_bound__vx_neg_0p5__seed_4242,1,1,bound,0.5,0.0007467022588273056,-0.0031885940487645253,0.0007467022588273056,0.0031885940487645253,0.0019676481537959155,-0.0024418917899372197,0.5007467022588273,-0.5031885940487645,0.002441891789937145,0.0024418893480477972,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_4242,gait_01_bound__vx_neg_1p0__seed_4242,1,1,bound,1.0,0.022508284573753676,0.0028550252318382263,0.022508284573753676,-0.0028550252318382263,0.009826629670957725,0.025363309805591903,1.0225082845737536,-0.9971449747681618,0.02536330980559187,0.012681648561971653,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_4242,gait_01_bound__vx_neg_1p5__seed_4242,1,1,bound,1.5,0.026802952835957208,-0.0056305867930253346,0.026802952835957208,0.0056305867930253346,0.016216769814491272,0.02117236604293187,1.5268029528359572,-1.5056305867930253,0.021172366042931934,0.007057452995159646,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_4242,gait_03_half_bound__vx_neg_0p5__seed_4242,2,3,half_bound,0.5,0.008935390024625954,0.012564932473567353,0.008935390024625954,-0.012564932473567353,-0.0018147712244706996,0.02150032249819331,0.508935390024626,-0.4874350675264326,0.021500322498193336,0.02150030099789234,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_4242,gait_03_half_bound__vx_neg_1p0__seed_4242,2,3,half_bound,1.0,0.010432434206207594,0.00861063947280248,0.010432434206207594,-0.00861063947280248,0.0009108973667025571,0.01904307367901007,1.0104324342062077,-0.9913893605271975,0.019043073679010147,0.009521532078739034,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_4242,gait_03_half_bound__vx_neg_1p5__seed_4242,2,3,half_bound,1.5,0.015588176747163137,-0.011907248695691427,0.015588176747163137,0.011907248695691427,0.013747712721427281,0.0036809280514717106,1.515588176747163,-1.5119072486956915,0.003680928051471577,0.001226975608165323,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_4242,gait_02_half_bound__vx_neg_0p5__seed_4242,3,2,half_bound,0.5,0.011392657496348149,0.02523952002535347,0.011392657496348149,-0.02523952002535347,-0.006923431264502661,0.03663217752170162,0.5113926574963481,-0.47476047997464654,0.03663217752170156,0.036632140889560676,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_4242,gait_02_half_bound__vx_neg_1p0__seed_4242,3,2,half_bound,1.0,0.013568925485014916,0.0201241597533226,0.013568925485014916,-0.0201241597533226,-0.0032776171341538426,0.033693085238337514,1.0135689254850149,-0.9798758402466774,0.03369308523833747,0.01684653419590164,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_4242,gait_02_half_bound__vx_neg_1p5__seed_4242,3,2,half_bound,1.5,0.013301129639148711,0.005703849345445633,0.013301129639148711,-0.005703849345445633,0.0037986401468515394,0.019004978984594342,1.5133011296391488,-1.4942961506545545,0.0190049789845943,0.0063349908832011385,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_4242,gait_05_half_bound__vx_neg_0p5__seed_4242,4,5,half_bound,0.5,-0.0003105389470813655,0.004648350867904535,-0.0003105389470813655,-0.004648350867904535,-0.00247944490749295,0.004337811920823169,0.4996894610529186,-0.49535164913209545,0.004337811920823165,0.004337807583015582,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p0__seed_4242,gait_05_half_bound__vx_neg_1p0__seed_4242,4,5,half_bound,1.0,0.01369231604039669,0.0046077883491913475,0.01369231604039669,-0.0046077883491913475,0.004542263845602672,0.01830010438958804,1.0136923160403968,-0.9953922116508086,0.01830010438958818,0.009150047619770278,1e-06,abs(mean_vx_pos + mean_vx_neg)
