cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_4242,fl,117.2226825719439,420.12085574507717,191.57964630126952,217.4490591430664,277.6313781738281,31,189.5862790999874,218.80474090576172,277.6313781738281,9.364304431792227,10.6446875,11.137775268554687,0.9708333333333333,0.9932126696832579,0.006896551724137931,0.006578947368421052,0.9869281045751634,0.993421052631579,0.9901639344262295,0.3729166666666667,0.3562653958797455,0.35625,0.35625,0.01665127078692119,0.01665127078692119,31,0.017353552964425856,0.005374045821980451,0.016606003046035767,0.005142544669226225,0.03650793433189392,0.011305771928529237,0,0,0.0,0.0,0.0,31,27,0.026109836719654226,0.008085690534007131,0.022939682006835938,0.007103957471943295,0.055648422241210936,0.017233195510927345,3,3,0.18181818181818182,0.1,0.1,30
gait_00_trot__vx_neg_1p5__seed_4242,fr,117.09375831876483,410.4659668958187,194.767251586914,203.40456420898437,210.24407958984375,31,189.6186306861139,203.45016479492188,210.24407958984375,9.689625253985007,10.657845153808594,10.752939147949219,0.9916666666666667,1.0,0.0,0.0,1.0,1.0,1.0,0.3645833333333333,0.3562653958797455,0.35625,0.35625,0.008317937453587831,0.008317937453587831,31,0.025843515511481993,0.0080032162200141,0.02505430579185486,0.007758813865918488,0.053174346685409546,0.01646702414353219,0,0,0.0,0.0,0.0,31,31,0.03336678781817036,0.010333022121448848,0.033382415771484375,0.010337861783815712,0.06150245666503906,0.019046072061429414,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p5__seed_4242,rl,107.35393484066694,418.71834337472916,143.79537506103514,153.9978720092774,223.01690673828125,31,145.40580651067918,164.6840591430664,223.01690673828125,7.813544577321698,8.632036895751952,10.005310668945313,0.95,0.9773755656108597,0.034482758620689655,0.0,0.9382716049382716,1.0,0.9681528662420382,0.40625,0.3562653958797455,0.35625,0.35625,0.04998460412025452,0.04998460412025452,31,0.0180900760235325,0.005602132178514948,0.016713470220565796,0.005175825088600118,0.03546461462974548,0.010982676831069108,0,0,0.0,0.0,0.0,31,31,0.056283704696163055,0.017429929691519158,0.0562896728515625,0.017431777909037213,0.09899234771728516,0.030655936207914944,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p5__seed_4242,rr,112.45344713277984,384.8308793115616,161.4292221069336,227.14437561035174,249.46563720703125,31,164.18459787676412,230.41688537597656,249.46563720703125,8.370259606146043,10.200045700073243,11.243173522949219,0.975,1.0,0.0,0.0,1.0,1.0,1.0,0.35625,0.3562653958797455,0.35625,0.35625,-1.5395879745472296e-05,1.5395879745472296e-05,31,0.021739145440440023,0.006732175478250099,0.01881346106529236,0.005826149955699941,0.04693540930747986,0.014534950900767868,0,0,0.0,0.0,0.0,31,24,0.019815444946289062,0.006136444181925576,0.01251220703125,0.0038747784997046663,0.04556636810302734,0.01411098641464855,6,6,0.3333333333333333,0.2,0.2,30
gait_00_trot__vx_neg_1p0__seed_4242,fl,98.18846173379936,400.77616483807566,160.43731918334962,165.47034698486328,171.09181213378906,25,156.38091247558594,165.72666625976564,171.09181213378906,8.170662265014649,8.827796508789062,8.925990295410157,0.96875,1.0,0.0,0.0,1.0,1.0,1.0,0.425,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.011062729358673085,0.011062729358673085,25,0.013669564723968505,0.005247511440600402,0.014109909534454346,0.00541655226066264,0.02756756544113159,0.010582715540911586,0,0,0.0,0.0,0.0,25,20,0.020496559143066407,0.007868277503203368,0.019853591918945312,0.00762145341387516,0.039496326446533205,0.015161962291781073,4,4,0.2857142857142857,0.16666666666666666,0.16666666666666666,24
gait_00_trot__vx_neg_1p0__seed_4242,fr,98.0887328963474,434.0970870541036,174.181884765625,183.54779357910158,194.95741271972656,27,159.93420198228625,185.89703521728515,194.95741271972656,8.4003714300085,9.98753125,10.369490356445313,0.9541666666666667,0.9841269841269841,0.02681992337164751,0.0,0.9625668449197861,1.0,0.9809264305177112,0.46041666666666664,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.046479396025339736,0.046479396025339736,25,0.017397053241729736,0.0066784303496247475,0.015501677989959717,0.005950828299469156,0.036939132213592525,0.014180299286106533,0,2,0.07407407407407407,0.0,0.07407407407407407,27,25,0.057951126098632816,0.022246443346146807,0.0517120361328125,0.019851363719568003,0.11512908935546874,0.044196082738422106,0,2,0.07407407407407407,0.0,0.07407407407407407,27
gait_00_trot__vx_neg_1p0__seed_4242,rl,99.35168411351052,472.91401638031004,130.66511154174802,222.07116165161128,280.6322937011719,25,149.30790649414064,245.138833618164,280.6322937011719,7.319363537597656,9.149493927001954,10.39721664428711,0.91875,0.9569160997732427,0.07279693486590039,0.0,0.9045226130653267,1.0,0.949868073878628,0.49583333333333335,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.08189606269200644,0.08189606269200644,25,0.020823261737823485,0.007993693025809994,0.01935034990310669,0.007428267435475013,0.04289714097976684,0.016467476661175175,0,0,0.0,0.0,0.0,25,25,0.06420326232910156,0.024646531209957898,0.06333160400390625,0.02431191652937946,0.08889942169189452,0.0341269632070291,0,0,0.0,0.0,0.0,25
gait_00_trot__vx_neg_1p0__seed_4242,rr,90.96941494119578,369.3358246612549,135.52007141113276,150.99371765136718,164.3053436279297,25,135.21576385498048,153.29806518554688,164.3053436279297,6.9221991973876955,7.950724273681639,8.246538543701172,0.975,1.0,0.0,0.0,1.0,1.0,1.0,0.42291666666666666,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.008979396025339759,0.008979396025339759,25,0.020223677158355713,0.007763522789676002,0.017106354236602783,0.0065668359875526265,0.051785933971404984,0.019879731832326542,0,0,0.0,0.0,0.0,25,22,0.026091835715553978,0.010016208210606892,0.026979446411132812,0.010356946732564525,0.04939212799072266,0.018960790774299834,2,2,0.15384615384615385,0.08333333333333333,0.08333333333333333,24
gait_00_trot__vx_neg_0p5__seed_4242,fl,79.58631637383299,383.8172615671158,112.62760162353516,118.04734649658202,118.9305419921875,20,113.65559692382813,118.85783805847169,118.9305419921875,5.574610139846802,6.196622833251953,6.6868417358398435,0.9747899159663865,0.9954233409610984,0.00881057268722467,0.0,0.9905660377358491,1.0,0.9952606635071091,0.5063025210084033,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.02535750009432558,0.02535750009432558,20,0.010956773161888122,0.005213982017245292,0.009321212768554688,0.0044356705241660995,0.024251970648765563,0.011540746255956434,0,0,0.0,0.0,0.0,20,19,0.024963278519479853,0.01187923518803817,0.022569656372070312,0.010740186067619697,0.04502410888671867,0.021425550260948455,0,0,0.0,0.0,0.0,19
gait_00_trot__vx_neg_0p5__seed_4242,fr,84.79827724131503,437.9385442185402,134.02740478515625,141.46225494384765,142.6850128173828,19,135.72531609786185,142.06725158691407,142.6850128173828,7.000851364135743,7.580269790649414,7.7466221618652344,0.9390756302521008,0.9748283752860412,0.048458149779735685,0.0,0.9502262443438914,1.0,0.974477958236659,0.542016806722689,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.06107178580861128,0.06107178580861128,19,0.011485543690229716,0.005465607197878973,0.011200517416000366,0.005329972203312911,0.022633081674575794,0.010770368164284089,1,0,0.05,0.05,0.0,19,20,0.06643815040588379,0.03161581574767416,0.06696891784667969,0.031868391195824824,0.08502264022827148,0.04045958702064897,0,0,0.0,0.0,0.0,20
