scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.044932781024380274,0.030398410221104528,6,0.00789195177120941,6,0.9821343236280179,0.03460512281465931,6,0,1.0,1.0,6,2699.0735393998034,6,1585.9588389828677,6,6.023942801748331,6,6,6,6,6,6
row,gallop_a,6,0,6,0.04430380884049561,0.04380102658271603,6,0.024219597615077804,6,0.8774254810246666,0.08048738966914229,6,3,0.3333333333333333,0.3333333333333333,6,1609.5167224471213,6,1618.0750040796647,6,4.910118221332167,6,5,6,2,6,2
row,gallop_b,6,0,6,0.041824221152860254,0.03930953592917118,6,0.012713974218679258,6,0.9557477853398374,0.05836521937650124,6,0,1.0,1.0,6,1018.3754777182706,6,1651.2971866141634,6,4.471318738761752,6,4,6,6,6,4
row,gallop_c,6,0,6,0.04376128748186703,0.046118315502064855,6,0.01775131058755999,6,0.9029063985836691,0.061492845161455346,6,2,0.6666666666666666,0.6666666666666666,6,1541.286760292469,6,1611.052634969801,6,5.230536469055912,6,4,6,4,6,2
row,gallop_d,6,0,6,0.03377063194800375,0.04285334297607163,6,0.02423444197165037,6,0.9574481375923143,0.04048863863076816,6,0,1.0,1.0,6,961.3337332481273,6,1634.8556010133027,6,4.137511604627215,6,5,6,6,6,5
row,half_bound_front_a,6,0,6,0.05114052201829472,0.04283745953633827,6,0.01494099062541377,6,0.9398181419096082,0.058557183070788305,6,0,1.0,1.0,6,1735.2062371101665,6,1625.972595106472,6,5.207761171928922,6,6,6,6,6,6
row,half_bound_front_b,6,0,6,0.036523816930891795,0.03894166503371773,6,0.01317765794972407,6,0.941515828563327,0.05230123128126316,6,0,1.0,1.0,6,1762.6419264176254,6,1614.954887279471,6,4.944679732712074,6,6,6,6,6,6
row,half_bound_hind_a,6,0,6,0.04637596270322341,0.03772574073458585,6,0.016608073821219545,6,0.932661303731598,0.06311679559818056,6,1,0.8333333333333334,0.8333333333333334,6,1906.0006563135314,6,1600.9310508862138,6,5.170516357143156,6,6,6,5,6,5
row,half_bound_hind_b,6,0,6,0.04017288350496195,0.041575915581084165,6,0.00924485238558818,6,0.9412769529363477,0.04876032384281176,6,1,0.8333333333333334,0.8333333333333334,6,1697.0455604746633,6,1593.9932197056214,6,5.0143806712260295,6,6,6,5,6,5
row,trot,6,0,6,0.035043361897760646,0.029142589900062337,6,0.008160716337415627,6,0.9791227093007729,0.04462321311875439,6,0,1.0,1.0,6,570.9059475922247,6,1673.7946584624299,6,2.9625325694516547,6,6,6,6,6,6
family,bound,6,0,6,0.044932781024380274,0.030398410221104528,6,0.00789195177120941,6,0.9821343236280179,0.03460512281465931,6,0,1.0,1.0,6,2699.0735393998034,6,1585.9588389828677,6,6.023942801748331,6,6,6,6,6,6
family,gallop,24,0,24,0.04091498735580666,0.04302055524750592,24,0.019729831098241855,24,0.9233819506351219,0.06020852320946676,24,5,0.75,0.75,24,1282.628173426497,24,1628.820106669233,24,4.687371258444261,24,18,24,18,24,13
