cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_4242,trot,trot,trot,trot,0.017746679692404538,0.14819469638635413,True,
gait_00_trot__vx_neg_1p0__seed_4242,trot,trot,trot,trot,0.03468492668624503,0.14059402059105264,True,
gait_00_trot__vx_neg_0p5__seed_4242,trot,trot,trot,trot,0.0468478451147716,0.13070436808746397,True,
gait_00_trot__vx_pos_0p5__seed_4242,trot,trot,trot,trot,0.016899563313646004,0.15068019393202928,True,
gait_00_trot__vx_pos_1p0__seed_4242,trot,trot,trot,trot,0.008962578682828246,0.14613188251342313,True,
gait_00_trot__vx_pos_1p5__seed_4242,trot,trot,trot,trot,0.013169959301255437,0.14058794291022408,True,
gait_01_bound__vx_neg_1p5__seed_4242,bound,bound,bound,bound,0.01942355411950547,0.10497746616815373,True,
gait_01_bound__vx_neg_1p0__seed_4242,bound,bound,bound,bound,0.019350212460510496,0.0967351731305261,True,
gait_01_bound__vx_neg_0p5__seed_4242,bound,bound,bound,bound,0.00298635396335691,0.1254247301352378,True,
gait_01_bound__vx_pos_0p5__seed_4242,bound,bound,bound,bound,0.014555252018824091,0.10988046115659397,True,
gait_01_bound__vx_pos_1p0__seed_4242,bound,bound,bound,bound,0.017089401888859008,0.09866882795943202,True,
gait_01_bound__vx_pos_1p5__seed_4242,bound,bound,bound,bound,0.031527049121181226,0.08505406600992452,True,
gait_02_half_bound__vx_neg_1p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.06480045282232692,0.017504553000638218,True,
gait_02_half_bound__vx_neg_1p0__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05566763586370436,0.0346331225623703,True,
gait_02_half_bound__vx_neg_0p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.039400596918981345,0.06391738574595313,True,
gait_02_half_bound__vx_pos_0p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.048757448981590894,0.04232200852150116,True,
gait_02_half_bound__vx_pos_1p0__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.0636694444034396,0.011692840663276319,True,
gait_02_half_bound__vx_pos_1p5__seed_4242,half_bound_front_a,half_bound,unclassified,unclassified,0.06573913717240783,0.003383588671674681,True,
gait_03_half_bound__vx_neg_1p5__seed_4242,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.053968218210084636,0.030453314173741412,True,
gait_03_half_bound__vx_neg_1p0__seed_4242,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.05984015683078025,0.02629756209122871,True,
gait_03_half_bound__vx_neg_0p5__seed_4242,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.05396000849212281,0.044415341212215236,True,
gait_03_half_bound__vx_pos_0p5__seed_4242,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.042838314850604985,0.0611796744605053,True,
gait_03_half_bound__vx_pos_1p0__seed_4242,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.04420985897662644,0.04713783138393779,True,
gait_03_half_bound__vx_pos_1p5__seed_4242,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.037650413140342294,0.059565166722428516,True,
gait_04_half_bound__vx_neg_1p5__seed_4242,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.03547118168743426,0.06114097417403646,True,
gait_04_half_bound__vx_neg_1p0__seed_4242,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.056313307827958015,0.021540688183230614,True,
