cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_4242,touchdown,fl,rr,30,30,0,1.0,0.009333333333333334,0.02,0.030138651529947918,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_4242,touchdown,fr,rl,30,30,0,1.0,0.007999999999999998,0.02,0.0258331298828125,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_4242,liftoff,fl,rr,30,4,26,0.13333333333333333,0.075,0.2549999999999999,0.2421855926513672,0.8234310150146481
gait_00_trot__vx_neg_1p5__seed_4242,liftoff,fr,rl,30,30,0,1.0,0.006,0.02,0.019374847412109375,0.06458282470703125
gait_00_trot__vx_neg_1p0__seed_4242,touchdown,fl,rr,24,24,0,1.0,0.018333333333333333,0.02,0.04775762557983399,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_4242,touchdown,fr,rl,24,24,0,1.0,0.02,0.02,0.052099227905273444,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_4242,liftoff,fl,rr,24,14,10,0.5833333333333334,0.05714285714285715,0.36,0.14885493687220983,0.9377861022949219
gait_00_trot__vx_neg_1p0__seed_4242,liftoff,fr,rl,24,24,0,1.0,0.0033333333333333335,0.02,0.008683204650878908,0.052099227905273444
gait_00_trot__vx_neg_0p5__seed_4242,touchdown,fl,rr,19,19,0,1.0,0.02736842105263158,0.04,0.05751258448550576,0.08405685424804688
gait_00_trot__vx_neg_0p5__seed_4242,touchdown,fr,rl,19,15,4,0.7894736842105263,0.44000000000000017,0.44,0.9246253967285155,0.9246253967285155
gait_00_trot__vx_neg_0p5__seed_4242,liftoff,fl,rr,19,19,0,1.0,0.006315789473684211,0.02,0.01327213488127056,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_4242,liftoff,fr,rl,19,19,0,1.0,0.002105263157894737,0.02,0.00442404496042352,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_4242,touchdown,fl,rr,19,19,0,1.0,0.0010526315789473684,0.0019999999999999575,0.00221202248021176,0.004202842712402254
gait_00_trot__vx_pos_0p5__seed_4242,touchdown,fr,rl,19,19,0,1.0,0.002105263157894737,0.02,0.00442404496042352,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_4242,liftoff,fl,rr,19,19,0,1.0,0.002105263157894737,0.02,0.00442404496042352,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_4242,liftoff,fr,rl,19,19,0,1.0,0.002105263157894737,0.02,0.00442404496042352,0.04202842712402344
gait_00_trot__vx_pos_1p0__seed_4242,touchdown,fl,rr,24,24,0,1.0,0.005833333333333334,0.02,0.015195608139038088,0.052099227905273444
gait_00_trot__vx_pos_1p0__seed_4242,touchdown,fr,rl,24,24,0,1.0,0.0025,0.02,0.0065124034881591806,0.052099227905273444
gait_00_trot__vx_pos_1p0__seed_4242,liftoff,fl,rr,24,9,15,0.375,0.0,0.0,0.0,0.0
gait_00_trot__vx_pos_1p0__seed_4242,liftoff,fr,rl,24,24,0,1.0,0.005,0.02,0.013024806976318361,0.052099227905273444
