positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_4242,gait_00_trot__vx_neg_0p5__seed_4242,0,0,trot,0.5,-0.022986035637494896,-0.010733551024889746,-0.022986035637494896,0.010733551024889746,-0.006126242306302575,-0.03371958666238464,0.4770139643625051,-0.5107335510248897,0.033719586662384615,0.033719552942831674,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_4242,gait_00_trot__vx_neg_1p0__seed_4242,0,0,trot,1.0,-0.018233200535178185,0.0006864978621403376,-0.018233200535178185,-0.0006864978621403376,-0.00945984919865926,-0.01754670267303785,0.9817667994648218,-0.9993135021378596,0.017546702673037817,0.008773346949845433,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_4242,gait_00_trot__vx_neg_1p5__seed_4242,0,0,trot,1.5,-0.00889462356766065,0.0014586163063844044,-0.00889462356766065,-0.0014586163063844044,-0.005176619937022528,-0.007436007261276246,1.4911053764323394,-1.4985413836936157,0.007436007261276245,0.002478668260869328,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_4242,gait_01_bound__vx_neg_0p5__seed_4242,1,1,bound,0.5,-0.014158973861642244,0.002428326223577772,-0.014158973861642244,-0.002428326223577772,-0.008293650042610007,-0.011730647638064471,0.4858410261383578,-0.49757167377642225,0.011730647638064473,0.011730635907428566,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_4242,gait_01_bound__vx_neg_1p0__seed_4242,1,1,bound,1.0,-0.01687069150308768,0.006441004698475202,-0.01687069150308768,-0.006441004698475202,-0.01165584810078144,-0.010429686804612478,0.9831293084969123,-0.9935589953015248,0.010429686804612537,0.005214840794885871,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_4242,gait_01_bound__vx_neg_1p5__seed_4242,1,1,bound,1.5,-0.014256207644939423,-0.005374355365832647,-0.014256207644939423,0.005374355365832647,-0.0044409261395533875,-0.01963056301077207,1.4857437923550605,-1.5053743553658328,0.01963056301077226,0.006543518822417813,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_4242,gait_03_half_bound__vx_neg_0p5__seed_4242,2,3,half_bound,0.5,-0.014263636487371781,0.015227168735836735,-0.014263636487371781,-0.015227168735836735,-0.014745402611604258,0.0009635322484649531,0.4857363635126282,-0.48477283126416326,0.00096353224846496,0.0009635312849336752,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_4242,gait_03_half_bound__vx_neg_1p0__seed_4242,2,3,half_bound,1.0,-0.021978187561035156,0.014221335823337237,-0.021978187561035156,-0.014221335823337237,-0.018099761692186196,-0.007756851737697919,0.9780218124389648,-0.9857786641766627,0.007756851737697912,0.003878423929636991,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_4242,gait_03_half_bound__vx_neg_1p5__seed_4242,2,3,half_bound,1.5,-0.01958008954922358,0.0040598211189111074,-0.01958008954922358,-0.0040598211189111074,-0.011819955334067345,-0.015520268430312473,1.4804199104507765,-1.4959401788810889,0.0155202684303124,0.005173421085630438,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_4242,gait_02_half_bound__vx_neg_0p5__seed_4242,3,2,half_bound,0.5,-0.021146218503723627,0.01101209454927124,-0.021146218503723627,-0.01101209454927124,-0.016079156526497433,-0.010134123954452387,0.4788537814962764,-0.4889879054507288,0.010134123954452401,0.010134113820338582,1e-06,abs(mean_vx_pos + mean_vx_neg)
