robot,protocol,positive_cell_id,negative_cell_id,gait_index,partner_gait_index,gait_name,partner_gait_name,family,direction,speed_mps,seed,phase_alignment,phase_samples,operator,status,reason,paired_velocity_bias,paired_velocity_bias_valid,paired_velocity_bias_reason,paired_yaw_bias,paired_yaw_bias_valid,paired_yaw_bias_reason,paired_contact_pattern_error,paired_contact_pattern_error_valid,paired_contact_pattern_error_reason,paired_touchdown_phase_error,paired_touchdown_phase_error_valid,paired_touchdown_phase_error_reason,paired_joint_position_error,paired_joint_position_error_valid,paired_joint_position_error_reason,paired_joint_velocity_error,paired_joint_velocity_error_valid,paired_joint_velocity_error_reason,paired_actor_mean_consistency_error,paired_actor_mean_consistency_error_valid,paired_actor_mean_consistency_error_reason,paired_normalized_target_consistency_error,paired_normalized_target_consistency_error_valid,paired_normalized_target_consistency_error_reason,paired_torque_pattern_error,paired_torque_pattern_error_valid,paired_torque_pattern_error_reason,paired_work_pattern_error,paired_work_pattern_error_valid,paired_work_pattern_error_reason,paired_value_consistency_error,paired_value_consistency_error_valid,paired_value_consistency_error_reason,paired_grf_pattern_error,paired_grf_pattern_error_valid,paired_grf_pattern_error_reason
x1,full,gait_00_trot__vx_pos_0p5__seed_4242,gait_00_trot__vx_neg_0p5__seed_4242,0,0,trot,trot,trot,positive_to_negative,0.5,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.03381457891006765,True,,0.00036812907800588346,True,,0.05039527529761905,True,,0.039461544227032436,True,,0.0693522389328104,True,,1.0140744535470145,True,,0.4061575549624979,True,,0.053655376714050664,True,,1.9299400749776225,True,,2.9894242243382663,True,,0.007344303803992044,True,,26.05390945996415,True,
x1,full,gait_00_trot__vx_pos_0p5__seed_4242,gait_00_trot__vx_neg_0p5__seed_4242,0,0,trot,trot,trot,positive_to_negative,0.5,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.03381457891006765,True,,0.00036812907800588346,True,,0.9076311383928571,True,,0.4137838894412631,True,,0.12885050499600556,True,,1.2146333626994732,True,,1.0689471245669693,True,,0.12655902273424272,True,,4.784230432650379,True,,3.7807745966808,True,,0.007344303803992044,True,,86.02091550601767,True,
x1,full,gait_00_trot__vx_pos_1p0__seed_4242,gait_00_trot__vx_neg_1p0__seed_4242,0,0,trot,trot,trot,positive_to_negative,1.0,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.017658697521780786,True,,0.0005092792396030259,True,,0.04026442307692308,True,,0.020904024633077476,True,,0.10962604859786994,True,,1.7575377084818098,True,,0.5862537293575267,True,,0.07603193052174785,True,,2.6870306407168165,True,,7.256088640668147,True,,0.008632304576918165,True,,44.928728184878054,True,
x1,full,gait_00_trot__vx_pos_1p0__seed_4242,gait_00_trot__vx_neg_1p0__seed_4242,0,0,trot,trot,trot,positive_to_negative,1.0,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.017658697521780786,True,,0.0005092792396030259,True,,0.9018930288461539,True,,0.4183206563958755,True,,0.16961221279427235,True,,1.5684214056884231,True,,1.3417665251239808,True,,0.15848327303298979,True,,5.212821499204516,True,,8.562722211436732,True,,0.008632304576918165,True,,95.01455268251516,True,
x1,full,gait_00_trot__vx_pos_1p5__seed_4242,gait_00_trot__vx_neg_1p5__seed_4242,0,0,trot,trot,trot,positive_to_negative,1.5,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.0073388373914333935,True,,0.00041846514312318434,True,,0.051448937618371215,True,,0.01111170626245439,True,,0.15000386026400322,True,,3.0162539655239002,True,,0.7138687687216767,True,,0.09721986394336646,True,,3.1445310771747255,True,,11.320569585412526,True,,0.01635104221106744,True,,55.789042215539205,True,
x1,full,gait_00_trot__vx_pos_1p5__seed_4242,gait_00_trot__vx_neg_1p5__seed_4242,0,0,trot,trot,trot,positive_to_negative,1.5,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.0073388373914333935,True,,0.00041846514312318434,True,,0.7649573123816288,True,,0.4207761271391064,True,,0.21455541458012495,True,,2.59494352216075,True,,1.610729371028507,True,,0.1924944954929271,True,,5.269861412634188,True,,13.233041541158666,True,,0.01635104221106744,True,,102.17460147150682,True,
x1,full,gait_01_bound__vx_pos_0p5__seed_4242,gait_01_bound__vx_neg_0p5__seed_4242,1,1,bound,bound,bound,positive_to_negative,0.5,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.011493581183901123,True,,0.010792284130333424,True,,0.027706473214285716,True,,0.023247499338218146,True,,0.2566725411182427,True,,3.953435579173208,True,,1.3429497874981804,True,,0.1510088512909983,True,,3.294602179233722,True,,42.15317977049002,True,,0.012504557853052389,True,,26.688157539191803,True,
x1,full,gait_01_bound__vx_pos_0p5__seed_4242,gait_01_bound__vx_neg_0p5__seed_4242,1,1,bound,bound,bound,positive_to_negative,0.5,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.011493581183901123,True,,0.010792284130333424,True,,0.9311941964285715,True,,0.4347720449879056,True,,0.4446608221037102,True,,7.287776084837706,True,,0.9464858321477402,True,,0.10843866568696862,True,,5.355794969851508,True,,41.371980011906786,True,,0.012504557853052389,True,,78.04535089053823,True,
x1,full,gait_01_bound__vx_pos_1p0__seed_4242,gait_01_bound__vx_neg_1p0__seed_4242,1,1,bound,bound,bound,positive_to_negative,1.0,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.01070719322888292,True,,0.0228475873039736,True,,0.028245192307692308,True,,0.01307076788865603,True,,0.2914075436994171,True,,5.125915005820629,True,,1.4171158788581864,True,,0.1596187970421555,True,,3.9065603142682073,True,,46.04050865258554,True,,0.014262755252989867,True,,33.05752681129432,True,
x1,full,gait_01_bound__vx_pos_1p0__seed_4242,gait_01_bound__vx_neg_1p0__seed_4242,1,1,bound,bound,bound,positive_to_negative,1.0,4242,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.01070719322888292,True,,0.0228475873039736,True,,0.9152644230769231,True,,0.43046723420803357,True,,0.36464413072015156,True,,8.952927387441099,True,,0.5298756508509018,True,,0.0779663540487365,True,,5.484114487756707,True,,40.87233312347488,True,,0.014262755252989867,True,,87.43997633479519,True,
