cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,vx_relative_tracking_success_threshold,vx_relative_tracking_success,planar_tracking_success,yaw_tracking_success,tracking_success,velocity_metric_valid,velocity_metric_reason,heading_metric_valid,heading_metric_reason,recording_manifest_valid,recording_manifest_reason,gait_metric_valid,gait_metric_reason,load_metric_valid,load_metric_reason,raw_load_metric_valid,raw_load_metric_reason,grf_load_metric_valid,grf_load_metric_reason,normalized_load_metric_valid,normalized_load_metric_reason,velocity_success_domain_valid,gait_success_domain_valid,joint_success_domain_valid,velocity_only_success,gait_only_success,joint_velocity_and_gait_success,gait_row_correct,gait_family_correct,gait_classification_available,success,success_failed_checks,relative_output_dir
gait_00_trot__vx_neg_1p5__seed_4242,0,trot,-1.5,4242,valid,,True,0.03552790567050636,0.021228960900517655,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_00_trot/vx_neg_1p5/seed_4242
gait_00_trot__vx_neg_1p0__seed_4242,0,trot,-1.0,4242,valid,,True,0.037885474850486704,0.01780925708835543,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_00_trot/vx_neg_1p0/seed_4242
gait_00_trot__vx_neg_0p5__seed_4242,0,trot,-0.5,4242,valid,,True,0.03387669687187171,0.011772889173756539,0.175,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_00_trot/vx_neg_0p5/seed_4242
gait_00_trot__vx_pos_0p5__seed_4242,0,trot,0.5,4242,valid,,True,0.03721501940465705,0.019156474594848764,0.175,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_00_trot/vx_pos_0p5/seed_4242
gait_00_trot__vx_pos_1p0__seed_4242,0,trot,1.0,4242,valid,,True,0.04008687338198148,0.017154717507849592,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_00_trot/vx_pos_1p0/seed_4242
gait_00_trot__vx_pos_1p5__seed_4242,0,trot,1.5,4242,valid,,True,0.034886317994386636,0.019568541996692643,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_00_trot/vx_pos_1p5/seed_4242
gait_01_bound__vx_neg_1p5__seed_4242,1,bound,-1.5,4242,valid,,True,0.0342323650334156,0.021727314751950656,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_neg_1p5/seed_4242
gait_01_bound__vx_neg_1p0__seed_4242,1,bound,-1.0,4242,valid,,True,0.04183438091520015,0.01989112247146587,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_neg_1p0/seed_4242
gait_01_bound__vx_neg_0p5__seed_4242,1,bound,-0.5,4242,valid,,True,0.03371279367504622,0.019411543751323545,0.175,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_neg_0p5/seed_4242
gait_01_bound__vx_pos_0p5__seed_4242,1,bound,0.5,4242,valid,,True,0.027411424818403324,0.018442363427964247,0.175,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_pos_0p5/seed_4242
gait_01_bound__vx_pos_1p0__seed_4242,1,bound,1.0,4242,valid,,True,0.03421084071507848,0.021456465703918525,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_pos_1p0/seed_4242
gait_01_bound__vx_pos_1p5__seed_4242,1,bound,1.5,4242,valid,,True,0.03852085729801803,0.016640645919143195,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_pos_1p5/seed_4242
gait_02_half_bound__vx_neg_1p5__seed_4242,2,half_bound,-1.5,4242,valid,,True,0.04140064185788065,0.03031064914360952,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,False,False,False,False,True,False,"[""correct_family""]",cells/gait_02_half_bound/vx_neg_1p5/seed_4242
gait_02_half_bound__vx_neg_1p0__seed_4242,2,half_bound,-1.0,4242,valid,,True,0.04900214139915934,0.027982618758036495,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_02_half_bound/vx_neg_1p0/seed_4242
gait_02_half_bound__vx_neg_0p5__seed_4242,2,half_bound,-0.5,4242,valid,,True,0.052505621091455464,0.03934794391926423,0.175,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_02_half_bound/vx_neg_0p5/seed_4242
gait_02_half_bound__vx_pos_0p5__seed_4242,2,half_bound,0.5,4242,valid,,True,0.041618674606110746,0.026120426072897662,0.175,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_02_half_bound/vx_pos_0p5/seed_4242
gait_02_half_bound__vx_pos_1p0__seed_4242,2,half_bound,1.0,4242,valid,,True,0.04753510930926389,0.037239959144912564,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_02_half_bound/vx_pos_1p0/seed_4242
gait_02_half_bound__vx_pos_1p5__seed_4242,2,half_bound,1.5,4242,valid,,True,0.05179479764147056,0.03850257963731098,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_02_half_bound/vx_pos_1p5/seed_4242
gait_03_half_bound__vx_neg_1p5__seed_4242,3,half_bound,-1.5,4242,valid,,True,0.047190885380632,0.025415437572412544,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_03_half_bound/vx_neg_1p5/seed_4242
gait_03_half_bound__vx_neg_1p0__seed_4242,3,half_bound,-1.0,4242,valid,,True,0.04538409593094451,0.03378170699006668,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_03_half_bound/vx_neg_1p0/seed_4242
gait_03_half_bound__vx_neg_0p5__seed_4242,3,half_bound,-0.5,4242,valid,,True,0.04106127246551614,0.0491217000789437,0.175,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_03_half_bound/vx_neg_0p5/seed_4242
gait_03_half_bound__vx_pos_0p5__seed_4242,3,half_bound,0.5,4242,valid,,True,0.045018933050125456,0.057136261190775355,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_03_half_bound/vx_pos_0p5/seed_4242
gait_03_half_bound__vx_pos_1p0__seed_4242,3,half_bound,1.0,4242,valid,,True,0.052904743504599214,0.042723253812490536,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_03_half_bound/vx_pos_1p0/seed_4242
gait_03_half_bound__vx_pos_1p5__seed_4242,3,half_bound,1.5,4242,valid,,True,0.054870903391589135,0.021786214548261868,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_03_half_bound/vx_pos_1p5/seed_4242
gait_04_half_bound__vx_neg_1p5__seed_4242,4,half_bound,-1.5,4242,valid,,True,0.04294166236252198,0.024539875854088393,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_04_half_bound/vx_neg_1p5/seed_4242
