cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_4242,trot,trot,trot,trot,0.029212655030657748,0.1370830978288138,True,
gait_00_trot__vx_neg_1p0__seed_4242,trot,trot,trot,trot,0.038141417270482876,0.12539379260816502,True,
gait_00_trot__vx_neg_0p5__seed_4242,trot,trot,trot,trot,0.04124768543408642,0.13614048321251163,True,
gait_00_trot__vx_pos_0p5__seed_4242,trot,trot,trot,trot,0.019584610593277152,0.1459169357615707,True,
gait_00_trot__vx_pos_1p0__seed_4242,trot,trot,trot,trot,0.01607984371762718,0.14439244838129256,True,
gait_00_trot__vx_pos_1p5__seed_4242,trot,trot,trot,trot,0.01216140976866468,0.14613024821969006,True,
gait_01_bound__vx_neg_1p5__seed_4242,bound,bound,bound,bound,0.039534179288516595,0.07726843352108673,True,
gait_01_bound__vx_neg_1p0__seed_4242,bound,bound,bound,bound,0.013088871998370869,0.11343542897697746,True,
gait_01_bound__vx_neg_0p5__seed_4242,bound,bound,bound,bound,0.007796622598759184,0.1206732182438541,True,
gait_01_bound__vx_pos_0p5__seed_4242,bound,bound,bound,bound,0.01779078774572136,0.11115932134824606,True,
gait_01_bound__vx_pos_1p0__seed_4242,bound,bound,bound,bound,0.0031132657498923466,0.12377346850021534,True,
gait_01_bound__vx_pos_1p5__seed_4242,bound,bound,bound,bound,0.005500438031865266,0.12171712326943131,True,
gait_02_half_bound__vx_neg_1p5__seed_4242,half_bound_front_a,half_bound,unclassified,unclassified,0.06874827999880821,0.0029162618706272264,True,
gait_02_half_bound__vx_neg_1p0__seed_4242,half_bound_front_a,half_bound,unclassified,unclassified,0.06680872213335592,0.009621670027150087,True,
gait_02_half_bound__vx_neg_0p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05467869536275599,0.027605296978889346,True,
