scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.04246642193795506,0.023661102119726492,6,0.00731149694359633,6,0.9839418987794036,0.03435643728818991,6,0,1.0,1.0,6,2666.8646416308516,6,1606.6860125698647,6,5.811446623025325,6,6,6,6,6,6
row,gallop_a,6,0,6,0.04049621294502819,0.048419306977117195,6,0.024596060413517556,6,0.8760237251711511,0.07880525848333463,6,2,0.0,0.0,6,1925.10651650167,6,1604.0177231794596,6,4.973082891392983,6,3,6,0,6,0
row,gallop_b,6,0,6,0.034242766627412505,0.04954873106866617,6,0.01096070284909431,6,0.9607630801061529,0.05506587880694009,6,0,1.0,1.0,6,1231.9507596482679,6,1646.5227915704056,6,4.178798249113607,6,2,6,6,6,2
row,gallop_c,6,0,6,0.04616081315309079,0.04557593977875938,6,0.022292296439483047,6,0.8765862280801393,0.0681077503134,6,3,0.0,0.0,6,1948.5356820640154,6,1602.044257706354,6,5.275737096524578,6,5,6,0,6,0
row,gallop_d,6,0,6,0.038136365563988854,0.05327256892972155,6,0.01695941708195275,6,0.9513671496970303,0.04050275583088009,6,0,1.0,1.0,6,1332.7328786658852,6,1639.7305942387632,6,4.208268664680866,6,3,6,6,6,3
row,half_bound_front_a,6,0,6,0.04354274569218092,0.03767205161114571,6,0.020233689254321573,6,0.9334779310800895,0.059643114459058254,6,2,0.6666666666666666,0.6666666666666666,6,2090.5446111269353,6,1605.3086213408908,6,4.861191874709849,6,6,6,4,6,4
row,half_bound_front_b,6,0,6,0.0420263924558536,0.04201427506052103,6,0.013084726091918346,6,0.9402886214334152,0.04933805493524873,6,2,0.6666666666666666,0.6666666666666666,6,2097.3607570497547,6,1615.0772115728385,6,5.038207087288913,6,5,6,4,6,3
row,half_bound_hind_a,6,0,6,0.04590949788485161,0.043530638302560966,6,0.010943105896528858,6,0.931155689267113,0.05884071016400691,6,3,0.5,0.5,6,2173.333711735539,6,1608.5090875629585,6,4.967890004586,6,5,6,3,6,2
row,half_bound_hind_b,6,0,6,0.04391955030064124,0.044655807265049634,6,0.0113374626984054,6,0.9405957093380319,0.04561344008931036,6,1,0.8333333333333334,0.8333333333333334,6,2286.8033775625377,6,1599.52045844612,6,5.223360122027218,6,4,6,5,6,3
row,trot,6,0,6,0.03131115204443516,0.027620861398224585,6,0.004925044847297905,6,0.9728844515961459,0.04890399259818592,6,0,1.0,1.0,6,575.4315453424753,6,1674.2216828930316,6,3.2404655525931503,6,6,6,6,6,6
