cell_id,joint_index,joint_name,leg,motor_role,configured_effort_limit_nm,effort_limit_source,normalized_torque_squared_exposure,absolute_work_j,utilization_p95,utilization_p99,saturation_fraction,soft_limit_utilization_p95,soft_limit_utilization_p99,action_clamp_fraction
gait_00_trot__vx_neg_1p5__seed_4242,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.17630302756396055,11.357138205552474,0.224165367378908,0.2377667516820571,0.0,0.40191673338413236,0.4085442852973938,0.0
gait_00_trot__vx_neg_1p5__seed_4242,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.7551736530543527,113.46793356121518,0.5956173616297105,0.6451276560390696,0.0,0.264043265581131,0.2684349727630615,0.0
gait_00_trot__vx_neg_1p5__seed_4242,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.21664997136918884,123.46493001315743,0.3273109590685045,0.3576161678417309,0.0,0.5828059017658234,0.5857660472393036,0.0
gait_00_trot__vx_neg_1p5__seed_4242,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.17259932985997586,6.168310279871221,0.2767716183381922,0.2929631356632008,0.0,0.4270035862922668,0.43599138140678406,0.0
gait_00_trot__vx_neg_1p5__seed_4242,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,1.0551282361075085,135.65064146563412,0.5873953763176413,0.6357215774760525,0.0,0.2861042499542236,0.28939289927482603,0.0
gait_00_trot__vx_neg_1p5__seed_4242,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.32174073366642497,152.46290139498188,0.3886933275171228,0.42476632556399774,0.0,0.5335551530122757,0.5401750296354294,0.0
gait_00_trot__vx_neg_1p5__seed_4242,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.06246347215004903,5.341643229686888,0.15187282912871417,0.18153307872660018,0.0,0.3567748874425888,0.37184400320053096,0.0
gait_00_trot__vx_neg_1p5__seed_4242,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.2782252370005142,62.39317574764602,0.4396850752830504,0.4813098702430725,0.0,0.2957036733627319,0.30940551221370693,0.0
gait_00_trot__vx_neg_1p5__seed_4242,8,joint_rear_left_calf_pitch,rl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.33222492769660955,132.04611329965294,0.37017613488274653,0.4567296476621881,0.0,0.5501597821712494,0.5535816931724549,0.0
gait_00_trot__vx_neg_1p5__seed_4242,9,joint_rear_right_abad,rr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.1273559894590395,11.815694988644681,0.1771344647688024,0.18927733617670395,0.0,0.3108244240283966,0.32443519473075866,0.0
gait_00_trot__vx_neg_1p5__seed_4242,10,joint_rear_right_thigh_pitch,rr,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.4035040444583821,63.278986712098124,0.48141894578933697,0.5228509674072265,0.0,0.28410731852054594,0.29279542684555054,0.0
gait_00_trot__vx_neg_1p5__seed_4242,11,joint_rear_right_calf_pitch,rr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2983568987117268,89.8012650657096,0.40747408351382686,0.4940484010851056,0.0,0.5730243146419525,0.5771844160556793,0.0
gait_00_trot__vx_neg_1p0__seed_4242,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.21672270863774046,11.672540645175614,0.2264045561061186,0.23620180690989773,0.0,0.4298877328634262,0.4342351108789444,0.0
gait_00_trot__vx_neg_1p0__seed_4242,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.5396753788758035,63.61653534356854,0.4897576724781709,0.5128152583627139,0.0,0.2729153633117676,0.27663116216659545,0.0
gait_00_trot__vx_neg_1p0__seed_4242,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.21944278460807953,79.23143579859287,0.28197641630430476,0.3146103580577953,0.0,0.5475916534662246,0.5510888612270355,0.0
gait_00_trot__vx_neg_1p0__seed_4242,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.07395050313533999,4.18178984886079,0.1450472824713763,0.15314161511028512,0.0,0.4071940243244171,0.42327762246131895,0.0
gait_00_trot__vx_neg_1p0__seed_4242,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.7774694339109794,74.86214093261398,0.562792340446921,0.5996234596476835,0.0,0.3011559009552002,0.30532436847686767,0.0
gait_00_trot__vx_neg_1p0__seed_4242,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2667340858171384,85.49728127468843,0.3252098199483508,0.35861720858393487,0.0,0.5131499111652374,0.5161853420734406,0.0
gait_00_trot__vx_neg_1p0__seed_4242,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.08244676070621074,5.413480539972079,0.18880193023120656,0.2149962867007536,0.0,0.4025640845298767,0.4231619668006896,0.0
gait_00_trot__vx_neg_1p0__seed_4242,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.16246373033468267,37.96526838950813,0.25487579345703104,0.30741873216629,0.0,0.2952205777168274,0.2997976684570312,0.0
gait_00_trot__vx_neg_1p0__seed_4242,8,joint_rear_left_calf_pitch,rl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2988821774176441,88.96807612845238,0.3587869090002936,0.3793915181546596,0.0,0.5384596526622772,0.54312056183815,0.0
gait_00_trot__vx_neg_1p0__seed_4242,9,joint_rear_right_abad,rr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.16636108935835278,9.054747065077535,0.21740247572169583,0.24268146655138798,0.0,0.3445324301719665,0.36002910375595093,0.0
gait_00_trot__vx_neg_1p0__seed_4242,10,joint_rear_right_thigh_pitch,rr,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.252888194106773,41.101694522257894,0.2923966109752655,0.3236813881397247,0.0,0.30915088355541226,0.3180576717853546,0.0
gait_00_trot__vx_neg_1p0__seed_4242,11,joint_rear_right_calf_pitch,rr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2493212381583909,53.09603539905511,0.34307294149656553,0.38002658070744516,0.0,0.5346827328205108,0.5387243282794952,0.0
gait_00_trot__vx_neg_0p5__seed_4242,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.2045420087069471,6.266076382524334,0.24712178286384134,0.2512159557903514,0.0,0.4507906883955002,0.45661529898643494,0.0
gait_00_trot__vx_neg_0p5__seed_4242,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.2744662615871144,23.890812267563888,0.3324591272017535,0.3536306689767277,0.0,0.2574464976787567,0.25884997844696045,0.0
gait_00_trot__vx_neg_0p5__seed_4242,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.19906047372151597,34.750476599658946,0.23617616859642235,0.24099368018073003,0.0,0.5073546469211578,0.508906289935112,0.0
gait_00_trot__vx_neg_0p5__seed_4242,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.022561781178897237,2.010766302328502,0.08149333385860219,0.08804355824694914,0.0,0.41000163555145264,0.41614845395088196,0.0
gait_00_trot__vx_neg_0p5__seed_4242,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.4431270370427856,27.662033603094752,0.48799764408784757,0.5171186082503375,0.0,0.30793923139572144,0.30954331159591675,0.0
gait_00_trot__vx_neg_0p5__seed_4242,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2220879481384287,30.258194221626038,0.2827931288126353,0.30035457739958893,0.0,0.4970918446779251,0.4987802058458328,0.0
gait_00_trot__vx_neg_0p5__seed_4242,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.0797549549760917,4.14025912706391,0.196480417952818,0.21082712622249827,0.0,0.42060957849025726,0.4334883689880371,0.0
gait_00_trot__vx_neg_0p5__seed_4242,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.07581326155366759,14.552646141042933,0.13298705816268921,0.1408834785223007,0.0,0.28039437532424927,0.288904532790184,0.0
gait_00_trot__vx_neg_0p5__seed_4242,8,joint_rear_left_calf_pitch,rl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.21654617809312693,40.10920293340925,0.3039234844413964,0.3111150329177444,0.0,0.5110961198806763,0.5129824280738831,0.0
gait_00_trot__vx_neg_0p5__seed_4242,9,joint_rear_right_abad,rr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.11247349056757251,4.176889480318641,0.197009637075312,0.20681832818424,0.0,0.34598034620285034,0.3522717356681824,0.0
gait_00_trot__vx_neg_0p5__seed_4242,10,joint_rear_right_thigh_pitch,rr,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.21104745686395915,22.94870416871272,0.29146208763122555,0.30168647170066837,0.0,0.31383562088012695,0.3204743564128876,0.0
gait_00_trot__vx_neg_0p5__seed_4242,11,joint_rear_right_calf_pitch,rr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.17480309251218276,15.523133913294588,0.2719062985600652,0.28404438173448715,0.0,0.4853129982948303,0.48840221762657166,0.0
gait_00_trot__vx_pos_0p5__seed_4242,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.1449449767601381,2.2368645967781777,0.23412284079719992,0.24627072670880484,0.0,0.45450934767723083,0.46608300507068634,0.0
gait_00_trot__vx_pos_0p5__seed_4242,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.11690470288538542,18.727883331980557,0.208656766835381,0.23262597182217765,0.0,0.2642439901828766,0.2679051160812378,0.0
gait_00_trot__vx_pos_0p5__seed_4242,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2668200442550379,49.605686659105125,0.31524867624849884,0.3372153784777667,0.0,0.5093921720981598,0.511730283498764,0.0
gait_00_trot__vx_pos_0p5__seed_4242,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.029518890711281498,1.408838398529042,0.08254210037343641,0.08826056473395404,0.0,0.4398704171180725,0.4486989378929138,0.0
gait_00_trot__vx_pos_0p5__seed_4242,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.28572487846558786,19.561074993433433,0.3526982069015503,0.36761292990516214,0.0,0.3239600658416748,0.32625633478164673,0.0
gait_00_trot__vx_pos_0p5__seed_4242,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.20033847132957935,26.867994007812815,0.3127922947342331,0.3287641164418813,0.0,0.5046916007995605,0.5068470388650894,0.0
gait_00_trot__vx_pos_0p5__seed_4242,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.04890209389757921,2.0247681036454743,0.11372233664288241,0.11690722668872161,0.0,0.38819168508052826,0.3932793140411377,0.0
gait_00_trot__vx_pos_0p5__seed_4242,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.2535528443146964,29.080341438622273,0.2904197216033936,0.3067882478237152,0.0,0.28070105612277985,0.28193190693855286,0.0
gait_00_trot__vx_pos_0p5__seed_4242,8,joint_rear_left_calf_pitch,rl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.193776225934833,28.82648932231008,0.21575485371254585,0.2370370980855581,0.0,0.4955366253852844,0.4980241656303406,0.0
gait_00_trot__vx_pos_0p5__seed_4242,9,joint_rear_right_abad,rr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.08040330161637671,2.401436439045647,0.17360958632300882,0.18685565976535573,0.0,0.36276447772979736,0.3692267835140228,0.0
gait_00_trot__vx_pos_0p5__seed_4242,10,joint_rear_right_thigh_pitch,rr,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.26590891209770395,27.958436757028103,0.3533658266067505,0.37248573303222654,0.0,0.2808869928121567,0.28235673904418945,0.0
gait_00_trot__vx_pos_0p5__seed_4242,11,joint_rear_right_calf_pitch,rr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.20544908877195336,19.345957930184667,0.2327036084355535,0.2521812271427464,0.0,0.47439900040626526,0.4767986536026001,0.0
gait_00_trot__vx_pos_1p0__seed_4242,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.1669477207110656,4.054324627924871,0.2706459382001091,0.2879525625004487,0.0,0.4638236939907074,0.4805733335018158,0.0
gait_00_trot__vx_pos_1p0__seed_4242,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.24849837306576153,42.62093615500955,0.36846855808706835,0.4268855282839607,0.0,0.27261455059051515,0.2805370271205902,0.0
gait_00_trot__vx_pos_1p0__seed_4242,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.3402913317473825,115.86107985904674,0.3964389697925463,0.4600493946590936,0.0,0.5371491104364395,0.545026034116745,0.0
gait_00_trot__vx_pos_1p0__seed_4242,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.05067376094564877,2.7708239166392015,0.13473266293020808,0.14644650403191062,0.0,0.44609467387199403,0.4526962864398956,0.0
gait_00_trot__vx_pos_1p0__seed_4242,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.39198379943265516,48.67407480061054,0.3609993892557475,0.483249049467199,0.0,0.3325064420700073,0.34047244668006893,0.0
gait_00_trot__vx_pos_1p0__seed_4242,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2487220499290802,60.732294736356124,0.3583218819386249,0.3784074968905062,0.0,0.5445967018604279,0.5510385489463806,0.0
gait_00_trot__vx_pos_1p0__seed_4242,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.055565109361848004,2.7892845491207847,0.12470302932402666,0.13475032988716573,0.0,0.40315038263797753,0.4130467873811722,0.0
gait_00_trot__vx_pos_1p0__seed_4242,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.5426494934697551,77.36196412894876,0.4406055331230163,0.46660864353179926,0.0,0.2956291675567627,0.29912825107574464,0.0
gait_00_trot__vx_pos_1p0__seed_4242,8,joint_rear_left_calf_pitch,rl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2079107914073456,66.88399776051753,0.24703839791787624,0.2636590532354405,0.0,0.5256819486618042,0.5295858287811279,0.0
gait_00_trot__vx_pos_1p0__seed_4242,9,joint_rear_right_abad,rr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.07332808984381683,3.983552252215159,0.1455018302973579,0.1557568499621223,0.0,0.3591652691364288,0.36587154388427734,0.0
gait_00_trot__vx_pos_1p0__seed_4242,10,joint_rear_right_thigh_pitch,rr,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.6042899801498612,76.47170041382313,0.48878817081451414,0.552409122467041,0.0,0.28712654709815977,0.2904042476415634,0.0
gait_00_trot__vx_pos_1p0__seed_4242,11,joint_rear_right_calf_pitch,rr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2461514202530935,78.90792665189598,0.28886767335840174,0.3078465575140875,0.0,0.5181027412414551,0.522389122247696,0.0
gait_00_trot__vx_pos_1p5__seed_4242,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.12516905223252592,4.682051905432163,0.24341846353867472,0.2686149193258846,0.0,0.4426646471023559,0.4589267653226852,0.0
gait_00_trot__vx_pos_1p5__seed_4242,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.5509247873573182,67.0110392545443,0.5921818985658532,0.6407269079544965,0.0,0.25899905562400816,0.2685386598110199,0.0
gait_00_trot__vx_pos_1p5__seed_4242,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.29191512721141677,132.0978617421724,0.3789087617719495,0.5594310482128243,0.0,0.555230587720871,0.5630926316976547,0.0
gait_00_trot__vx_pos_1p5__seed_4242,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.11162174317929015,4.497410421773675,0.2119559421258814,0.22581756844240075,0.0,0.4527738690376282,0.46485147714614866,0.0
gait_00_trot__vx_pos_1p5__seed_4242,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.6589583144662683,81.35163375236152,0.6680172695833091,0.7305703752181109,0.0,0.29953993558883657,0.310666651725769,0.0
gait_00_trot__vx_pos_1p5__seed_4242,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.33131635979651874,120.4092720402591,0.42068229752617914,0.4443990016627954,0.0,0.5592587798833847,0.5668729090690613,0.0
gait_00_trot__vx_pos_1p5__seed_4242,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.09731570734807457,4.051690139170969,0.19922681906644035,0.21235202396617214,0.0,0.4105622678995132,0.42434323906898497,0.0
gait_00_trot__vx_pos_1p5__seed_4242,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.7977483651009909,138.86952939151786,0.5313851523399352,0.5744457812309264,0.0,0.2910129129886627,0.29406383037567135,0.0
