positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,-0.007494121226442962,0.01334219820359174,-0.007494121226442962,-0.01334219820359174,-0.01041815971501735,0.005848076977148778,0.49250587877355706,-0.4866578017964083,0.005848076977148786,0.005848071129077657,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,-0.01280662442247073,0.019641509527961412,-0.01280662442247073,-0.019641509527961412,-0.01622406697521607,0.006834885105490683,0.9871933755775293,-0.9803584904720386,0.0068348851054906845,0.00341744084402492,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,0.0009925074875354767,0.005219980825980504,0.0009925074875354767,-0.005219980825980504,-0.002113736669222514,0.006212488313515981,1.5009925074875354,-1.4947800191740195,0.006212488313515951,0.002070828747562401,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,-0.008539618125983648,-0.0013388324560237531,-0.008539618125983648,0.0013388324560237531,-0.003600392834979947,-0.009878450582007401,0.49146038187401636,-0.5013388324560237,0.00987845058200737,0.009878440703566667,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,-0.010049627969662349,0.004428308457136154,-0.010049627969662349,-0.004428308457136154,-0.0072389682133992515,-0.005621319512526195,0.9899503720303376,-0.9955716915428638,0.005621319512526202,0.0028106583509339253,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,0.0024206305543581644,0.006225212911764781,0.0024206305543581644,-0.006225212911764781,-0.0019022911787033082,0.008645843466122946,1.5024206305543581,-1.4937747870882352,0.00864584346612296,0.0028819468613920326,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,-0.014121797217541383,0.013106777074457216,-0.014121797217541383,-0.013106777074457216,-0.013614287145999299,-0.0010150201430841662,0.48587820278245863,-0.48689322292554277,0.0010150201430841332,0.0010150191280650052,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,-0.010826513916254044,0.01425574632982413,-0.010826513916254044,-0.01425574632982413,-0.012541130123039087,0.0034292324135700852,0.989173486083746,-0.9857442536701758,0.0034292324135701824,0.0017146153494774163,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,-0.0007890880107879639,0.01113966479897499,-0.0007890880107879639,-0.01113966479897499,-0.005964376404881478,0.010350576788187026,1.499210911989212,-1.488860335201025,0.010350576788187071,0.0034501911126653194,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,-0.012455987767512057,0.006215580433857541,-0.012455987767512057,-0.006215580433857541,-0.009335784100684799,-0.006240407333654516,0.48754401223248794,-0.49378441956614244,0.006240407333654496,0.006240401093253404,1e-06,abs(mean_vx_pos + mean_vx_neg)
