operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.010931807194113125,30,1.0,0.008037119362586434,30,1.0,0.0801575406201871,30,1.0,0.018537035780688917,30,1.0,0.21734114851848607,30,1.0,3.470132720713333,30,1.0,1.0610000401254018,30,1.0,0.12847065285564566,30,1.0,0.016909825842614676,30,1.0,3.3864776826392338,30,1.0,21.427247489386712,30,1.0,44.96682192323228,30,1.0
temporal_reversal,family,bound,3,3,0.008075763380203901,3,1.0,0.006750303757825866,3,1.0,0.026587897779304027,3,1.0,0.023642267835541412,3,1.0,0.2640133469705989,3,1.0,4.673289065917271,3,1.0,1.2895153286460126,3,1.0,0.14721185369244585,3,1.0,0.010835024926817934,3,1.0,3.886022343568397,3,1.0,44.9867840717181,3,1.0,36.017436124962266,3,1.0
temporal_reversal,family,gallop,12,12,0.013735664086482989,12,1.0,0.011030229189050772,12,1.0,0.09849476491932546,12,1.0,0.018806603135539945,12,1.0,0.21209008425167972,12,1.0,3.3365389491585913,12,1.0,1.0140281618535703,12,1.0,0.12740714312456355,12,1.0,0.011693186065456766,12,1.0,3.3233535930840854,12,1.0,16.58458862853083,12,1.0,47.398138805581596,12,1.0
temporal_reversal,family,half_bound,12,12,0.010003708203646301,12,1.0,0.007321008838408415,12,1.0,0.0783608694772025,12,1.0,0.01720648603510606,12,1.0,0.23960196007316029,12,1.0,3.7256833970054566,12,1.0,1.1611381636482097,12,1.0,0.13834729442330135,12,1.0,0.021971591028524695,12,1.0,3.48892096063456,12,1.0,24.020700750811773,12,1.0,44.6047751560553,12,1.0
temporal_reversal,family,trot,3,3,0.006284819400410196,3,1.0,0.0002159377582017175,3,1.0,0.06756497083645521,3,1.0,0.0176757332887637,3,1.0,0.10262996091490147,3,1.0,1.7791487565598711,3,1.0,0.6198197706008868,3,1.0,0.07447692467255111,3,1.0,0.023604125123403017,3,1.0,2.7296562679493666,3,1.0,6.864533304778618,3,1.0,45.63912726081301,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.010931807194113125,30,1.0,0.008037119362586434,30,1.0,0.0801575406201871,30,1.0,0.018537035780688917,30,1.0,0.21734114851848607,30,1.0,3.470132720713333,30,1.0,1.0610000401254018,30,1.0,0.12847065285564566,30,1.0,0.016909825842614676,30,1.0,3.3864776826392338,30,1.0,21.427247489386712,30,1.0,44.96682192323228,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.010393500018662297,10,1.0,0.007980760171992365,10,1.0,0.08450706845238096,10,1.0,0.024904803152950034,10,1.0,0.18184171082694564,10,1.0,2.5156223717687887,10,1.0,0.9362124836215502,10,1.0,0.1107337466542752,10,1.0,0.015209730393999144,10,1.0,2.9591595180985877,10,1.0,14.197693802686587,10,1.0,38.994234781822485,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.008525073151767579,10,1.0,0.007253710325643886,10,1.0,0.07386568509615385,10,1.0,0.016712016426599943,10,1.0,0.21983580613100737,10,1.0,3.440711470034915,10,1.0,1.0939754067936347,10,1.0,0.13079688528567918,10,1.0,0.015947625377828446,10,1.0,3.3759957048873668,10,1.0,22.868877167392377,10,1.0,43.85702937883408,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.0138768484119095,10,1.0,0.008876887590123048,10,1.0,0.08209986831202651,10,1.0,0.013994287762516763,10,1.0,0.25034592859750515,10,1.0,4.454064320336297,10,1.0,1.1528122299610206,10,1.0,0.14388132662698255,10,1.0,0.01957212175601645,10,1.0,3.824277824931748,10,1.0,27.215171498081183,10,1.0,52.0492016090403,10,1.0
temporal_reversal,robot,x1,30,30,0.010931807194113125,30,1.0,0.008037119362586434,30,1.0,0.0801575406201871,30,1.0,0.018537035780688917,30,1.0,0.21734114851848607,30,1.0,3.470132720713333,30,1.0,1.0610000401254018,30,1.0,0.12847065285564566,30,1.0,0.016909825842614676,30,1.0,3.3864776826392338,30,1.0,21.427247489386712,30,1.0,44.96682192323228,30,1.0
front_hind_reflected_temporal_reversal,overall,all,30,30,0.010931807194113125,30,1.0,0.008037119362586434,30,1.0,0.8159214552537307,30,1.0,0.39303387637901815,30,1.0,0.26035487460125195,30,1.0,5.684156429388046,30,1.0,0.9018518660424192,30,1.0,0.12795980151774114,30,1.0,0.016909825842614676,30,1.0,5.174756751373659,30,1.0,23.746989679829944,30,1.0,82.32303729395503,30,1.0
front_hind_reflected_temporal_reversal,family,bound,3,3,0.008075763380203901,3,1.0,0.006750303757825866,3,1.0,0.879661625267094,3,1.0,0.4186808663428339,3,1.0,0.33013668668126867,3,1.0,8.639531493383688,3,1.0,0.7519785094745169,3,1.0,0.10969813731446725,3,1.0,0.010835024926817934,3,1.0,5.467046564353255,3,1.0,41.113348448717716,3,1.0,87.31461302412269,3,1.0
front_hind_reflected_temporal_reversal,family,gallop,12,12,0.013735664086482989,12,1.0,0.011030229189050772,12,1.0,0.7783273197885013,12,1.0,0.37448473845493585,12,1.0,0.24243071578098788,12,1.0,5.128209938380766,12,1.0,0.9057533758883233,12,1.0,0.13175499256315854,12,1.0,0.011693186065456766,12,1.0,5.06680707444717,12,1.0,18.91465213195369,12,1.0,79.24264750267686,12,1.0
