cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_0042,fl,136.8798752106683,473.77947197273375,237.16578369140626,265.1712097167969,306.4876403808594,31,226.39678265971523,273.6620864868164,306.4876403808594,11.500027554419734,13.643233489990234,14.246184387207032,0.95,0.9841628959276018,0.013793103448275862,0.019736842105263157,0.9738562091503268,0.9802631578947368,0.9770491803278688,0.36041666666666666,0.3562653958797455,0.35625,0.35625,0.00415127078692118,0.00415127078692118,31,0.01640598908547432,0.005080604374273574,0.016606003046035767,0.005142544669226225,0.032338470220565796,0.010014572873597164,0,0,0.0,0.0,0.0,31,21,0.016286214192708332,0.0050435125024611135,0.01045989990234375,0.003239220318960425,0.039623260498046875,0.012270525694034258,9,10,0.475,0.3,0.3225806451612903,31
gait_00_trot__vx_neg_1p5__seed_0042,fr,113.80845769424012,408.02139501571656,173.54750671386716,184.56169891357422,190.6115264892578,31,171.5625536518712,185.96488189697266,190.6115264892578,9.031570247527092,9.616662597656251,9.785475158691407,0.95,0.9796380090497737,0.02413793103448276,0.013157894736842105,0.9554140127388535,0.9868421052631579,0.970873786407767,0.3729166666666667,0.3562653958797455,0.35625,0.35625,0.01665127078692119,0.01665127078692119,31,0.016194579101377917,0.0050151349603681184,0.01662316918373108,0.005147860676314235,0.03020477294921875,0.00935380980507974,0,0,0.0,0.0,0.0,31,31,0.020511873306766633,0.006352114017872453,0.018787384033203125,0.005818074424099232,0.046906471252441406,0.014525989367985824,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p5__seed_0042,rl,103.4362291193897,333.16161989212037,157.25379943847656,199.820770263672,258.94232177734375,31,149.08497078188003,201.97423553466797,258.94232177734375,7.502070258355911,9.051815567016602,9.50593002319336,0.975,0.995475113122172,0.0,0.013157894736842105,1.0,0.9868421052631579,0.9933774834437086,0.33541666666666664,0.3562653958797455,0.35625,0.35625,-0.020848729213078843,0.020848729213078843,31,0.04379818997075481,0.01356341726130366,0.043790191411972046,0.013560940268753692,0.07399687170982361,0.022915340741287656,0,0,0.0,0.0,0.0,31,31,0.025894595730689265,0.008019034735057067,0.02295684814453125,0.007109273479031305,0.05420494079589844,0.016786178381571176,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p5__seed_0042,rr,118.97500341588801,418.90017392158506,179.99444961547852,218.71736907958984,274.1539001464844,31,176.20342476137222,234.5582733154297,274.1539001464844,8.945188989946919,11.273660583496094,12.033245849609376,0.91875,0.9524886877828054,0.04482758620689655,0.05263157894736842,0.9171974522292994,0.9473684210526315,0.9320388349514562,0.36666666666666664,0.3562653958797455,0.35625,0.35625,0.010401270786921157,0.010401270786921157,31,0.01940458147756515,0.006009208041175238,0.016606003046035767,0.005142544669226225,0.0426727831363678,0.013214901432368576,0,0,0.0,0.0,0.0,31,18,0.012273788452148438,0.003800945067926757,0.0093841552734375,0.0029060838747784995,0.03539705276489258,0.010961754282339043,12,13,0.5813953488372093,0.4,0.41935483870967744,31
gait_00_trot__vx_neg_1p0__seed_0042,fl,106.88667955536108,444.64858695030216,202.4818061828613,229.95620223999035,248.07443237304688,25,200.77379638671874,234.1514923095703,248.07443237304688,10.194360174560547,11.287600219726562,12.042227478027344,0.9729166666666667,0.9977272727272727,0.0038314176245210726,0.0,0.9944444444444445,1.0,0.9972144846796658,0.43333333333333335,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.019396062692006444,0.019396062692006444,25,0.013669564723968505,0.005247511440600402,0.014109909534454346,0.00541655226066264,0.02756756544113159,0.010582715540911586,0,0,0.0,0.0,0.0,25,22,0.026723254810680042,0.010258599171284508,0.02847766876220703,0.010932088596009517,0.04789304733276367,0.018385319421563243,2,2,0.15384615384615385,0.08333333333333333,0.08333333333333333,24
gait_00_trot__vx_neg_1p0__seed_0042,fr,98.71516816331706,430.4131833728403,149.28692245483396,158.71857284545897,189.47396850585938,25,150.5208056640625,159.64928894042967,189.47396850585938,8.045000408935548,8.638452697753905,9.1583984375,0.9354166666666667,0.9659863945578231,0.05747126436781609,0.0,0.9230769230769231,1.0,0.9600000000000001,0.45416666666666666,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.04022939602533976,0.04022939602533976,25,0.02617713212966919,0.010048952041003112,0.026477158069610596,0.010164126853377265,0.047913849353790276,0.01839330496064433,0,0,0.0,0.0,0.0,25,25,0.017190818786621095,0.006599260479589969,0.015359878540039062,0.005896393922753066,0.03799800872802733,0.014586783818414786,0,0,0.0,0.0,0.0,25
gait_00_trot__vx_neg_1p0__seed_0042,rl,97.43981556373068,393.6568548774719,154.06556320190418,179.1994485473633,232.81495666503906,25,146.7198956298828,180.06470642089843,232.81495666503906,6.907702627563476,8.145749633789062,8.423500518798829,0.9854166666666667,1.0,0.0,0.0,1.0,1.0,1.0,0.42083333333333334,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.006896062692006433,0.006896062692006433,25,0.019481022357940674,0.007478430349624748,0.01699894666671753,0.006525604063701263,0.03843563795089721,0.014754782170968329,0,0,0.0,0.0,0.0,25,25,0.025448112487792968,0.009769093904448104,0.025482177734375,0.009782170968332417,0.04991531372070312,0.019161632802489472,0,0,0.0,0.0,0.0,25
gait_00_trot__vx_neg_1p0__seed_0042,rr,97.66543746770814,419.96138111114504,152.8364990234375,180.01399902343735,253.2091064453125,25,160.9872088623047,221.78393554687486,253.2091064453125,8.087438801574706,9.914596710205075,10.255658569335937,0.9583333333333334,0.9772727272727273,0.038314176245210725,0.0,0.9470899470899471,1.0,0.9728260869565218,0.4479166666666667,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.03397939602533978,0.03397939602533978,25,0.019131410121917724,0.007344220208676551,0.018603622913360596,0.007141611751784733,0.037858974933624265,0.01453341112941607,0,0,0.0,0.0,0.0,25,22,0.024899742820046165,0.009558584194498527,0.026979446411132812,0.010356946732564525,0.04789304733276367,0.018385319421563243,2,2,0.15384615384615385,0.08333333333333333,0.08333333333333333,24
gait_00_trot__vx_neg_0p5__seed_0042,fl,90.28282623756223,444.34256658256055,161.41205978393555,169.1738113403321,178.68380737304688,20,163.32875137329103,173.3206329345703,178.68380737304688,8.354250766754152,9.243818801879883,9.287424926757813,0.9642857142857143,0.9954233409610984,0.00881057268722467,0.0,0.9905660377358491,1.0,0.9952606635071091,0.5168067226890757,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.03586170177499792,0.03586170177499792,20,0.012649071216583253,0.006019293169956887,0.009321212768554688,0.0044356705241660995,0.026729542016983035,0.01271974415702292,0,0,0.0,0.0,0.0,20,19,0.044871129487690176,0.021352752200446662,0.04595470428466797,0.021868391195824826,0.06355152130126952,0.030242160199682323,0,1,0.05,0.0,0.05,20
gait_00_trot__vx_neg_0p5__seed_0042,fr,76.07456729267582,401.853040266037,102.99907989501953,106.41615882873535,108.29173278808594,20,92.093461227417,104.99820289611816,105.60042572021484,4.390519655227661,5.182553215026856,5.18266845703125,0.9264705882352942,0.9565217391304348,0.08370044052863436,0.0,0.9170305676855895,1.0,0.9567198177676537,0.5546218487394958,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.07367682782541807,0.07367682782541807,19,0.03591282901011015,0.017089780164331863,0.037201493978500366,0.017703015089630136,0.05466822981834411,0.026014882573179035,1,1,0.09523809523809523,0.05,0.05,20,20,0.03701868057250977,0.01761601996823236,0.03622627258300781,0.017238938053097345,0.05821099281311036,0.02770077149988655,0,0,0.0,0.0,0.0,20
