cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.01476924370838358,0.14504449304922412,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.01451736281415228,0.1440346853583084,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.016875379945610464,0.13793066540744536,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.027237046630390765,0.1365339104582604,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.014989289136348819,0.15021821326179205,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.013541837993983044,0.1502778127085871,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.002780190980347319,0.12582668821462262,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.007532377803543895,0.11899120630392203,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.014896615580622921,0.11126970695566284,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.006306729289213904,0.11738654142157216,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.008065488568462528,0.12089611208166838,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.023609806344287738,0.10638946326736771,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.06611498280074522,0.005414882509354513,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.057637417828913066,0.02629722671596279,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.06311090838683535,0.010792503912390006,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.0649007824927748,0.01005168144408547,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.06380344583727145,0.01214097876277806,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.04951756286760922,0.03968353461467504,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.048070858091712486,0.036664120423048334,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.041789405418685276,0.05338755074312359,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.030040102085023408,0.08254985676676428,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.04314927300986146,0.06117707716469914,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.03543349857507445,0.07662139014054431,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.03873757416809692,0.06751464461472213,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.03654128980154081,0.06939307316306058,True,
gait_04_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.043294459628075266,0.05105319494965803,True,
gait_04_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.05623244733060715,0.01893658894216977,True,
gait_04_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.06219236569966219,0.006324066231234951,True,
gait_04_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.06817549210578194,0.0005932769530626741,True,
gait_04_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.06408672891228946,0.008057341399554038,True,
gait_05_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.03446241166603955,0.07911712370105642,True,
gait_05_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.0447397251896177,0.06313196863398907,True,
gait_05_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.04927878555278592,0.04830606021514848,True,
gait_05_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.046776320285613494,0.04835513872773047,True,
gait_05_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.056515864698664896,0.02808119087580912,True,
gait_05_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.06446614050574284,0.0072992871734235965,True,
gait_06_gallop__vx_neg_1p5__seed_0042,gallop_a,gallop,gallop_a,gallop,0.062818769072199,0.028332105934923774,True,
gait_06_gallop__vx_neg_1p0__seed_0042,gallop_a,gallop,gallop_a,gallop,0.06263477932909149,0.03458486276387103,True,
gait_06_gallop__vx_neg_0p5__seed_0042,gallop_a,gallop,unclassified,unclassified,0.07329100196134146,0.0021396954407888746,True,
gait_06_gallop__vx_pos_0p5__seed_0042,gallop_a,gallop,half_bound_front_b,half_bound,0.0687128561152397,0.02524535448391879,True,
gait_06_gallop__vx_pos_1p0__seed_0042,gallop_a,gallop,half_bound_front_b,half_bound,0.06021681283826629,0.03531190230377972,True,
gait_06_gallop__vx_pos_1p5__seed_0042,gallop_a,gallop,half_bound_front_b,half_bound,0.06047338435311139,0.0331897221794354,True,
gait_07_gallop__vx_neg_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.048989665010289896,0.054069851410249906,True,
gait_07_gallop__vx_neg_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.04280942071381055,0.06863814460388956,True,
gait_07_gallop__vx_neg_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.02737066861112276,0.08553790388221032,True,
gait_07_gallop__vx_pos_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.03122109656082009,0.08272665305915214,True,
gait_07_gallop__vx_pos_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.04983134000544162,0.04475233865640707,True,
gait_07_gallop__vx_pos_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.060512264519712665,0.028263235939865898,True,
gait_08_gallop__vx_neg_1p5__seed_0042,gallop_c,gallop,half_bound_hind_b,half_bound,0.05929396217891581,0.027916122507130194,True,
gait_08_gallop__vx_neg_1p0__seed_0042,gallop_c,gallop,half_bound_hind_b,half_bound,0.06317109090761575,0.013300780380747557,True,
gait_08_gallop__vx_neg_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.07986429948666422,0.002387392473031061,True,
gait_08_gallop__vx_pos_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.07525871461893581,0.00809834401424285,True,
gait_08_gallop__vx_pos_1p0__seed_0042,gallop_c,gallop,unclassified,unclassified,0.08727765250227178,0.0036625175404848276,True,
gait_08_gallop__vx_pos_1p5__seed_0042,gallop_c,gallop,half_bound_front_a,half_bound,0.08360218691238219,0.01296311159420803,True,
gait_09_gallop__vx_neg_1p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.037630184077848794,0.06865031414020505,True,
gait_09_gallop__vx_neg_1p0__seed_0042,gallop_d,gallop,gallop_d,gallop,0.03891592769618712,0.07472380895293829,True,
gait_09_gallop__vx_neg_0p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.038381901061927126,0.07838131545083761,True,
gait_09_gallop__vx_pos_0p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.018505686081170553,0.09458544184244905,True,
gait_09_gallop__vx_pos_1p0__seed_0042,gallop_d,gallop,gallop_d,gallop,0.028396298515710867,0.07837865349640577,True,
gait_09_gallop__vx_pos_1p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.03595761714370588,0.06212349057690801,True,
