scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.04043573808573513,0.023265228768838107,6,0.010555271713175473,6,0.9912206922017464,0.027995439993789766,6,0,1.0,1.0,6,2004.0634857036664,6,1576.7636328133442,6,5.098355347225282,6,6,6,6,6,6
row,gallop_a,6,0,6,0.03859999689871276,0.04742734123716379,6,0.016813964072291018,6,0.88880555846593,0.05363014109439653,6,1,0.3333333333333333,0.3333333333333333,6,1382.5798171978695,6,1603.9693335260326,6,4.8823355903375125,6,4,6,2,6,1
row,gallop_b,6,0,6,0.03624503261966918,0.06437499419177925,6,0.026398722161940658,6,0.9432543998834424,0.03937787109591157,6,0,1.0,1.0,6,1241.3311871242863,6,1628.6899361373796,6,4.4964583621633,6,1,6,6,6,1
row,gallop_c,6,0,6,0.04318571834078518,0.04040831198445516,6,0.03053354153760915,6,0.8805909028913806,0.061652043030486825,6,3,0.0,0.0,6,1635.7019807910685,6,1604.0124386563155,6,5.185851020351662,6,5,6,0,6,0
row,gallop_d,6,0,6,0.04505380877811848,0.04941132010102565,6,0.012722541400916687,6,0.947388964283924,0.047679532360351606,6,0,1.0,1.0,6,1230.330395223769,6,1645.1343159916996,6,4.5370892824586795,6,2,6,6,6,2
row,half_bound_front_a,6,0,6,0.043795602076629164,0.04697981270298706,6,0.017959330765775397,6,0.9246589411964803,0.048409652012903814,6,1,0.8333333333333334,0.8333333333333334,6,1715.2200013160084,6,1605.9689410475146,6,5.151153351230884,6,4,6,5,6,3
row,half_bound_front_b,6,0,6,0.040566421459941486,0.03415636613075126,6,0.013206353990293788,6,0.9355739428448442,0.052027001907400276,6,0,1.0,1.0,6,1547.330392570692,6,1606.9530897894501,6,4.580206071616321,6,6,6,6,6,6
row,half_bound_hind_a,6,0,6,0.03771478165632785,0.04200623253717173,6,0.01226154253571271,6,0.9505459972359643,0.02982680480631571,6,3,0.5,0.5,6,1587.7601655447045,6,1600.9013718791678,6,4.923932182625884,6,4,6,3,6,2
row,half_bound_hind_b,6,0,6,0.042156595839046455,0.03667016694032294,6,0.01213169967404479,6,0.9576749580786191,0.030840434757323048,6,1,0.8333333333333334,0.8333333333333334,6,1632.4284736279988,6,1601.5424025110406,6,4.72638069145023,6,6,6,5,6,5
row,trot,6,0,6,0.030852351436763164,0.02824456299463145,6,0.009594175464312722,6,0.9810463300959847,0.038249557036089066,6,0,1.0,1.0,6,540.1264987619244,6,1684.94210641396,6,2.982297870906551,6,6,6,6,6,6
family,bound,6,0,6,0.04043573808573513,0.023265228768838107,6,0.010555271713175473,6,0.9912206922017464,0.027995439993789766,6,0,1.0,1.0,6,2004.0634857036664,6,1576.7636328133442,6,5.098355347225282,6,6,6,6,6,6
family,gallop,24,0,24,0.040771139159321394,0.05040549187860596,24,0.02161719229318938,24,0.9150099563811693,0.050584896895286634,24,4,0.5833333333333334,0.5833333333333334,24,1372.4858450842485,24,1620.4515060778567,24,4.7754335638277885,24,12,24,14,24,4
family,half_bound,24,0,24,0.041058350257986244,0.03995314457780825,24,0.013889731741456671,24,0.942113459838977,0.040275973370985714,24,5,0.7916666666666666,0.7916666666666666,24,1620.6847582648509,24,1603.8414513067935,24,4.84541807423083,24,20,24,19,24,16
family,trot,6,0,6,0.030852351436763164,0.02824456299463145,6,0.009594175464312722,6,0.9810463300959847,0.038249557036089066,6,0,1.0,1.0,6,540.1264987619244,6,1684.94210641396,6,2.982297870906551,6,6,6,6,6,6
velocity,+0.5 m/s,10,0,10,0.061655725031609696,0.04341447357992229,10,0.027677185398389054,10,0.9336705112457979,0.04323860613488349,10,2,0.7,0.7,10,1123.6172031467243,10,1614.2142103365138,10,3.4017724722489384,10,6,10,7,10,4
velocity,+1 m/s,10,0,10,0.03378736924447256,0.04082554697381681,10,0.017732640911228427,10,0.9413239961391697,0.03891678134600321,10,2,0.7,0.7,10,1493.0119446075237,10,1623.7921345227658,10,4.299751897560144,10,8,10,7,10,5
velocity,+1.5 m/s,10,0,10,0.025693183925341416,0.044553597723041086,10,0.008860866906292553,10,0.9390387240647049,0.03649886975685755,10,2,0.6,0.6,10,1852.8814684592617,10,1611.725868935369,10,5.308395441669895,10,6,10,6,10,4
velocity,-0.5 m/s,10,0,10,0.06579656428207246,0.043981314845770385,10,0.017910121149131646,10,0.9387558026653501,0.04997603681658496,10,2,0.8,0.8,10,1101.881165295022,10,1616.1527300682963,10,3.7050477124243066,10,6,10,8,10,4
velocity,-1 m/s,10,0,10,0.03197930599659107,0.03649742064645091,10,0.015017920194119901,10,0.9451715040691667,0.045700137615203855,10,0,0.9,0.9,10,1413.5134778850859,10,1626.1313643612302,10,4.8247926997913195,10,9,10,9,10,8
velocity,-1.5 m/s,10,0,10,0.02025147983495009,0.03849424878447437,10,0.010107551430481854,10,0.9424958741228,0.04348265518744786,10,1,0.8,0.8,10,1725.2181793235752,10,1603.3102330353672,10,6.398675638525181,10,9,10,8,10,7
direction,backward,30,0,30,0.03934245003787121,0.039657661425565226,30,0.014345197591244469,30,0.9421410602857723,0.04638627653974556,30,3,0.8333333333333334,0.8333333333333334,30,1413.5376075012277,30,1615.1981091549646,30,4.976172016913603,30,24,30,25,30,19
direction,forward,30,0,30,0.040378759400474556,0.04293120609226006,30,0.01809023107197001,30,0.938011077149891,0.039551419079248085,30,6,0.6666666666666666,0.6666666666666666,30,1489.8368720711699,30,1616.5774045982164,30,4.336639937159659,30,20,30,20,30,13
policy,cf22bcdfe21feecce5c4fb936bc574420bcfe0339fdf9e145634db178387b97f,60,0,60,0.03986060471917288,0.04129443375891264,60,0.01621771433160724,60,0.9400760687178316,0.04296884780949682,60,9,0.75,0.75,60,1451.6872397861987,60,1615.8877568765904,60,4.656405977036631,60,44,60,45,60,32
