run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,trot,torque_squared,Torque²,N² m² s,1,16.650348963333975,16.650348963333975,197.51287452963652
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,bound,torque_squared,Torque²,N² m² s,1,29.389432139621146,29.389432139621146,319.54381700773934
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,half_bound,torque_squared,Torque²,N² m² s,4,28.865393812617917,28.865393812617917,296.1596674217188
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,gallop,torque_squared,Torque²,N² m² s,4,23.420135984765288,23.420135984765288,274.5136832153492
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,24.58132772508458,24.58132772508458,271.932510543611
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,trot,absolute_work,Absolute work,J,1,12.856609762264103,12.856609762264103,72.5393553927779
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,bound,absolute_work,Absolute work,J,1,29.78454800416196,29.78454800416196,151.49279989760228
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,half_bound,absolute_work,Absolute work,J,4,21.589425604369424,21.589425604369424,132.4718062519517
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,gallop,absolute_work,Absolute work,J,4,16.247375478202038,16.247375478202038,115.81909467540366
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,all_family_balanced,absolute_work,Absolute work,J,10,20.119489712249383,20.119489712249383,118.08076405443389
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,8.845622437993693,8.845622437993693,118.42125602723698
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,10.417089475765906,10.417089475765906,107.23103129570977
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,14.07691774447553,14.07691774447553,113.40685008343351
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,13.478763019185465,13.478763019185465,116.93410903074903
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,11.704598169355148,11.704598169355148,113.99831160928233
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,trot,torque_squared,Torque²,N² m² s,1,12.06948261337727,12.06948261337727,222.1788376716565
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,bound,torque_squared,Torque²,N² m² s,1,36.565433970600324,36.565433970600324,390.2387550841235
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,half_bound,torque_squared,Torque²,N² m² s,4,31.75101732245961,31.75101732245961,325.28097219613875
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,gallop,torque_squared,Torque²,N² m² s,4,24.415858970120105,24.415858970120105,305.4739553927397
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,26.20044821913933,26.20044821913933,310.79313008616464
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,trot,absolute_work,Absolute work,J,1,7.7840821451236675,7.7840821451236675,65.61558875951108
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,bound,absolute_work,Absolute work,J,1,41.225511966384964,41.225511966384964,217.57902251363694
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,half_bound,absolute_work,Absolute work,J,4,23.280102422755906,23.280102422755906,150.0076684231696
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,gallop,absolute_work,Absolute work,J,4,17.00904868266386,17.00904868266386,127.72315561053
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,all_family_balanced,absolute_work,Absolute work,J,10,22.3246863042321,22.3246863042321,140.2313588267119
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,5.0189698607297535,5.0189698607297535,182.39746100737247
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,7.30389395311994,7.30389395311994,165.91532495660584
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,9.357187999466035,9.357187999466035,175.45550977498647
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,6.42773477514894,6.42773477514894,175.7629460143534
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,7.0269466471161675,7.0269466471161675,174.88281043832956
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,trot,torque_squared,Torque²,N² m² s,1,2.9949458500247674,2.9949458500247674,342.0841057385444
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,bound,torque_squared,Torque²,N² m² s,1,39.77274839262872,39.77274839262872,643.0566154301204
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,half_bound,torque_squared,Torque²,N² m² s,4,24.95011449777943,24.95011449777943,465.29675088642364
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,gallop,torque_squared,Torque²,N² m² s,4,15.379875942989255,15.379875942989255,476.25069481989624
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,20.774421170855543,20.774421170855543,481.6720417187462
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,trot,absolute_work,Absolute work,J,1,-0.9950884713271372,0.9950884713271372,59.04120343328752
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,bound,absolute_work,Absolute work,J,1,55.73597770327721,55.73597770327721,426.4688154206975
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,half_bound,absolute_work,Absolute work,J,4,19.671710495528878,19.671710495528878,212.00888253546242
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,gallop,absolute_work,Absolute work,J,4,15.620492619552007,15.900015534496367,197.1843071196474
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,all_family_balanced,absolute_work,Absolute work,J,10,22.50827308675774,23.075698051157396,223.67580212727373
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,-2.65096687417891,2.65096687417891,373.11642746770656
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,5.515641756539934,5.515641756539934,342.32382552333263
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,4.206711386924825,4.206711386924825,354.3967182706796
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,1.353829081695513,2.331367394921173,362.0449312324501
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,2.1063038377453407,3.6761718531412106,357.97047562354226
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,trot,torque_squared,Torque²,N² m² s,1,0.5726478820308439,0.5726478820308439,368.4816338337301
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,bound,torque_squared,Torque²,N² m² s,1,38.473622788447294,38.473622788447294,809.8179218144031
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,half_bound,torque_squared,Torque²,N² m² s,4,16.2916159933207,17.90515677700292,551.0204824597096
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,gallop,torque_squared,Torque²,N² m² s,4,-2.1447972155669226,10.89310376121323,467.9677464137013
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,all_family_balanced,torque_squared,Torque²,N² m² s,10,13.298272362057979,16.961132802173573,549.321946130386
