run,label,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,trot,torque_squared,Torque²,N² m² s,3,10.57159247557867,10.57159247557867,253.92527264661248
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,bound,torque_squared,Torque²,N² m² s,3,35.24253816761673,35.24253816761673,450.94639584066107
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,half_bound,torque_squared,Torque²,N² m² s,12,28.522175210952323,28.522175210952323,362.24579683476037
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,gallop,torque_squared,Torque²,N² m² s,12,21.07195696595822,21.07195696595822,352.079444475995
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,all_family_balanced,torque_squared,Torque²,N² m² s,30,23.852065705026487,23.852065705026487,354.7992274495072
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,trot,absolute_work,Absolute work,J,3,6.548534478686878,7.211926792904969,65.73204919519218
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,bound,absolute_work,Absolute work,J,3,42.24867922460805,42.24867922460805,265.1802126106456
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,half_bound,absolute_work,Absolute work,J,12,21.51374617421807,21.51374617421807,164.8294524035279
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,gallop,absolute_work,Absolute work,J,12,16.292305593472637,16.38547989845409,146.90885246852702
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,all_family_balanced,absolute_work,Absolute work,J,30,21.65081636774641,21.839958022546295,160.66264166947317
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,3.7378751415148455,5.505186390967452,224.64504816743866
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,7.74554172847526,7.74554172847526,205.1567272585494
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,9.213605710288798,9.213605710288798,214.4196927096999
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,7.086775625343306,7.412621729751859,218.24732875918417
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,6.945949551405552,7.469238889870843,215.61719922371805
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,trot,torque_squared,Torque²,N² m² s,3,1.6707140942135592,1.6707140942135592,271.9457191238272
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,bound,torque_squared,Torque²,N² m² s,3,23.012384541894267,23.012384541894267,546.9053439998326
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,half_bound,torque_squared,Torque²,N² m² s,12,5.545860904760175,11.351912822665236,409.7299305166719
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,gallop,torque_squared,Torque²,N² m² s,12,-5.482992944114457,10.052992954943084,346.6397946142417
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,all_family_balanced,torque_squared,Torque²,N² m² s,30,6.186491649188386,11.522001103429037,393.80519706364333
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,trot,absolute_work,Absolute work,J,3,-6.569932666264312,6.569932666264312,70.16882811562726
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,bound,absolute_work,Absolute work,J,3,56.50312565406454,56.50312565406454,423.88217723776944
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,half_bound,absolute_work,Absolute work,J,12,29.28330694590491,29.41397962586902,245.4688091712218
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,gallop,absolute_work,Absolute work,J,12,5.539008717385118,11.487271962904751,159.27451831939746
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,all_family_balanced,absolute_work,Absolute work,J,30,21.188877162772563,25.993577477275654,224.698583211004
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,-5.281415979927751,5.281415979927751,218.38478577015954
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,-6.9532808315092,6.9532808315092,209.41058015715439
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,-7.6776154416972515,7.7760137254115085,212.59778963248837
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,-6.103565372039765,6.103565372039765,216.27338062435635
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,-6.503969406293492,6.528568977222056,214.16663404603966
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,trot,torque_squared,Torque²,N² m² s,3,0.4092196076941792,3.423183217081221,236.88823320916683
