scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_valid_cells,torque_squared_coverage_fraction,torque_squared_complete,torque_squared_tracking_success_cells,torque_squared_tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_valid_cells,normalized_torque_utilization_coverage_fraction,normalized_torque_utilization_complete,normalized_torque_utilization_tracking_success_cells,normalized_torque_utilization_tracking_qualified_complete,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_valid_cells,absolute_work_coverage_fraction,absolute_work_complete,absolute_work_tracking_success_cells,absolute_work_tracking_qualified_complete,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_valid_cells,vertical_grf_impulse_coverage_fraction,vertical_grf_impulse_complete,vertical_grf_impulse_tracking_success_cells,vertical_grf_impulse_tracking_qualified_complete,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,16.65034896333402,16.65034896333402,16.65034896333402,16.65034896333402,16.65034896333402,16.65034896333402,16.65034896333402,16.65034896333402,2820.0096859823425,2820.0096859823425,2820.0096859823425,2820.0096859823425,293.75100895649405,293.75100895649405,293.75100895649405,293.75100895649405,197.51287452963666,197.51287452963666,197.51287452963666,197.51287452963666,1,1.0,True,1,True,36.8953031342634,36.8953031342634,36.8953031342634,36.8953031342634,36.8953031342634,36.8953031342634,36.8953031342634,36.8953031342634,5.9011481735215945,5.9011481735215945,5.9011481735215945,5.9011481735215945,0.6147029347418328,0.6147029347418328,0.6147029347418328,0.6147029347418328,0.41331515440222616,0.41331515440222616,0.41331515440222616,0.41331515440222616,1,1.0,True,1,True,12.856609762264096,12.856609762264096,12.856609762264096,12.856609762264096,12.856609762264096,12.856609762264096,12.856609762264096,12.856609762264096,1035.687852296711,1035.687852296711,1035.687852296711,1035.687852296711,107.8841512809074,107.8841512809074,107.8841512809074,107.8841512809074,72.5393553927779,72.5393553927779,72.5393553927779,72.5393553927779,1,1.0,True,1,True,8.845622389721495,8.845622389721495,8.845622389721495,8.845622389721495,8.845622389721495,8.845622389721495,8.845622389721495,8.845622389721495,1690.7712449240685,1690.7712449240685,1690.7712449240685,1690.7712449240685,176.12200467959048,176.12200467959048,176.12200467959048,176.12200467959048,118.42125593291176,118.42125593291176,118.42125593291176,118.42125593291176
family_velocity,trot,-1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,12.069482613377255,12.069482613377255,12.069482613377255,12.069482613377255,12.069482613377255,12.069482613377255,12.069482613377255,12.069482613377255,2077.683689773659,2077.683689773659,2077.683689773659,2077.683689773659,216.42538435142282,216.42538435142282,216.42538435142282,216.42538435142282,222.17883767165645,222.17883767165645,222.17883767165645,222.17883767165645,1,1.0,True,1,True,33.61813962164921,33.61813962164921,33.61813962164921,33.61813962164921,33.61813962164921,33.61813962164921,33.61813962164921,33.61813962164921,3.690843128136416,3.690843128136416,3.690843128136416,3.690843128136416,0.3844628258475434,0.3844628258475434,0.3844628258475434,0.3844628258475434,0.39468338721333596,0.39468338721333596,0.39468338721333596,0.39468338721333596,1,1.0,True,1,True,7.784082145123676,7.784082145123676,7.784082145123676,7.784082145123676,7.784082145123676,7.784082145123676,7.784082145123676,7.784082145123676,613.5977665073704,613.5977665073704,613.5977665073704,613.5977665073704,63.916434011184414,63.916434011184414,63.916434011184414,63.916434011184414,65.61558875951108,65.61558875951108,65.61558875951108,65.61558875951108,1,1.0,True,1,True,5.018969822909629,5.018969822909629,5.018969822909629,5.018969822909629,5.018969822909629,5.018969822909629,5.018969822909629,5.018969822909629,1705.6720323848726,1705.6720323848726,1705.6720323848726,1705.6720323848726,177.67417004009087,177.67417004009087,177.67417004009087,177.67417004009087,182.39746091745417,182.39746091745417,182.39746091745417,182.39746091745417
family_velocity,trot,-0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,2.9949458500247665,2.9949458500247665,2.9949458500247665,2.9949458500247665,2.9949458500247665,2.9949458500247665,2.9949458500247665,2.9949458500247665,1555.901066097531,1555.901066097531,1555.901066097531,1555.901066097531,163.4349859346146,163.4349859346146,163.4349859346146,163.4349859346146,342.0841057385445,342.0841057385445,342.0841057385445,342.0841057385445,1,1.0,True,1,True,9.741891145228351,9.741891145228351,9.741891145228351,9.741891145228351,9.741891145228351,9.741891145228351,9.741891145228351,9.741891145228351,2.1374863270285993,2.1374863270285993,2.1374863270285993,2.1374863270285993,0.2245258746878781,0.2245258746878781,0.2245258746878781,0.2245258746878781,0.46995282324982324,0.46995282324982324,0.46995282324982324,0.46995282324982324,1,1.0,True,1,True,-0.9950884713271372,0.9950884713271372,-0.9950884713271372,0.9950884713271372,-0.9950884713271372,0.9950884713271372,-0.9950884713271372,0.9950884713271372,268.5370931432393,268.5370931432393,268.5370931432393,268.5370931432393,28.207677851180602,28.207677851180602,28.207677851180602,28.207677851180602,59.04120343328752,59.04120343328752,59.04120343328752,59.04120343328752,1,1.0,True,1,True,-2.6509668924240666,2.6509668924240666,-2.6509668924240666,2.6509668924240666,-2.6509668924240666,2.6509668924240666,-2.6509668924240666,2.6509668924240666,1697.0453669929504,1697.0453669929504,1697.0453669929504,1697.0453669929504,178.26106796144438,178.26106796144438,178.26106796144438,178.26106796144438,373.116427139933,373.116427139933,373.116427139933,373.116427139933
family_velocity,trot,0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,0.5726478820308246,0.5726478820308246,0.5726478820308246,0.5726478820308246,0.5726478820308246,0.5726478820308246,0.5726478820308246,0.5726478820308246,1765.398541784035,1765.398541784035,1765.398541784035,1765.398541784035,185.44102329664233,185.44102329664233,185.44102329664233,185.44102329664233,368.4816338337301,368.4816338337301,368.4816338337301,368.4816338337301,1,1.0,True,1,True,-6.260854955189622,6.260854955189622,-6.260854955189622,6.260854955189622,-6.260854955189622,6.260854955189622,-6.260854955189622,6.260854955189622,2.175879637362846,2.175879637362846,2.175879637362846,2.175879637362846,0.22855878543727376,0.22855878543727376,0.22855878543727376,0.22855878543727376,0.45415902688509646,0.45415902688509646,0.45415902688509646,0.45415902688509646,1,1.0,True,1,True,-3.0051365281493325,3.0051365281493325,-3.0051365281493325,3.0051365281493325,-3.0051365281493325,3.0051365281493325,-3.0051365281493325,3.0051365281493325,308.64881673961315,308.64881673961315,308.64881673961315,308.64881673961315,32.42109419533752,32.42109419533752,32.42109419533752,32.42109419533752,64.42251853121401,64.42251853121401,64.42251853121401,64.42251853121401,1,1.0,True,1,True,-3.182705879800446,3.182705879800446,-3.182705879800446,3.182705879800446,-3.182705879800446,3.182705879800446,-3.182705879800446,3.182705879800446,1711.0835945796966,1711.0835945796966,1711.0835945796966,1711.0835945796966,179.73567169954796,179.73567169954796,179.73567169954796,179.73567169954796,357.1447826844015,357.1447826844015,357.1447826844015,357.1447826844015
family_velocity,trot,1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,2.1002658498217626,2.1002658498217626,2.1002658498217626,2.1002658498217626,2.1002658498217626,2.1002658498217626,2.1002658498217626,2.1002658498217626,2306.907350620495,2306.907350620495,2306.907350620495,2306.907350620495,240.30284902296825,240.30284902296825,240.30284902296825,240.30284902296825,240.39736178350753,240.39736178350753,240.39736178350753,240.39736178350753,1,1.0,True,1,True,1.851127751422951,1.851127751422951,1.851127751422951,1.851127751422951,1.851127751422951,1.851127751422951,1.851127751422951,1.851127751422951,3.4319798109974107,3.4319798109974107,3.4319798109974107,3.4319798109974107,0.35749789697889695,0.35749789697889695,0.35749789697889695,0.35749789697889695,0.3576385033565069,0.3576385033565069,0.3576385033565069,0.3576385033565069,1,1.0,True,1,True,-6.311310071354456,6.311310071354456,-6.311310071354456,6.311310071354456,-6.311310071354456,6.311310071354456,-6.311310071354456,6.311310071354456,684.3738845807823,684.3738845807823,684.3738845807823,684.3738845807823,71.28894631049816,71.28894631049816,71.28894631049816,71.28894631049816,71.31698474258141,71.31698474258141,71.31698474258141,71.31698474258141,1,1.0,True,1,True,-4.501026060252388,4.501026060252388,-4.501026060252388,4.501026060252388,-4.501026060252388,4.501026060252388,-4.501026060252388,4.501026060252388,1716.5454838836192,1716.5454838836192,1716.5454838836192,1716.5454838836192,178.80682123787705,178.80682123787705,178.80682123787705,178.80682123787705,178.87714718843134,178.87714718843134,178.87714718843134,178.87714718843134
family_velocity,trot,1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,2.3392285507880763,2.3392285507880763,2.3392285507880763,2.3392285507880763,2.3392285507880763,2.3392285507880763,2.3392285507880763,2.3392285507880763,2980.3563337130063,2980.3563337130063,2980.3563337130063,2980.3563337130063,310.4537847617715,310.4537847617715,310.4537847617715,310.4537847617715,206.95816175424403,206.95816175424403,206.95816175424403,206.95816175424403,1,1.0,True,1,True,7.409535904600946,7.409535904600946,7.409535904600946,7.409535904600946,7.409535904600946,7.409535904600946,7.409535904600946,7.409535904600946,5.223993494081404,5.223993494081404,5.223993494081404,5.223993494081404,0.5441659889668129,0.5441659889668129,0.5441659889668129,0.5441659889668129,0.36275799585491003,0.36275799585491003,0.36275799585491003,0.36275799585491003,1,1.0,True,1,True,-10.393351399289157,10.393351399289157,-10.393351399289157,10.393351399289157,-10.393351399289157,10.393351399289157,-10.393351399289157,10.393351399289157,1076.7018981275032,1076.7018981275032,1076.7018981275032,1076.7018981275032,112.15644772161492,112.15644772161492,112.15644772161492,112.15644772161492,74.76698107308636,74.76698107308636,74.76698107308636,74.76698107308636,1,1.0,True,1,True,-8.160516008811193,8.160516008811193,-8.160516008811193,8.160516008811193,-8.160516008811193,8.160516008811193,-8.160516008811193,8.160516008811193,1715.5983637273312,1715.5983637273312,1715.5983637273312,1715.5983637273312,178.70816288826367,178.70816288826367,178.70816288826367,178.70816288826367,119.13242710251963,119.13242710251963,119.13242710251963,119.13242710251963
family,trot,,6,6,1.0,True,6,1.0,True,6,1.0,True,6,True,6.121153284896118,6.121153284896118,6.121153284896118,6.121153284896118,6.121153284896118,6.121153284896118,6.121153284896118,6.121153284896118,2251.0427779951783,2251.0427779951783,2251.0427779951783,2251.0427779951783,234.96817272065223,234.96817272065223,234.96817272065223,234.96817272065223,262.9354958852199,262.9354958852199,262.9354958852199,262.9354958852199,6,1.0,True,6,True,13.875857100329206,15.96280875205908,13.875857100329206,15.96280875205908,13.875857100329206,15.96280875205908,13.875857100329206,15.96280875205908,3.760221761854712,3.760221761854712,3.760221761854712,3.760221761854712,0.3923190511100396,0.3923190511100396,0.3923190511100396,0.3923190511100396,0.40875114849364974,0.40875114849364974,0.40875114849364974,0.40875114849364974,6,1.0,True,6,True,-0.010699093788718491,6.890929729584642,-0.010699093788718491,6.890929729584642,-0.010699093788718491,6.890929729584642,-0.010699093788718491,6.890929729584642,664.5912185658699,664.5912185658699,664.5912185658699,664.5912185658699,69.31245856178717,69.31245856178717,69.31245856178717,69.31245856178717,67.95043865540971,67.95043865540971,67.95043865540971,67.95043865540971,6,1.0,True,6,True,-0.7717704381094951,5.393301175653203,-0.7717704381094951,5.393301175653203,-0.7717704381094951,5.393301175653203,-0.7717704381094951,5.393301175653203,1706.1193477487566,1706.1193477487566,1706.1193477487566,1706.1193477487566,178.21798308446907,178.21798308446907,178.21798308446907,178.21798308446907,221.51491682760857,221.51491682760857,221.51491682760857,221.51491682760857
family_velocity,bound,-1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,29.389432139621196,29.389432139621196,29.389432139621196,29.389432139621196,29.389432139621196,29.389432139621196,29.389432139621196,29.389432139621196,4585.713535060375,4585.713535060375,4585.713535060375,4585.713535060375,477.67849323545573,477.67849323545573,477.67849323545573,477.67849323545573,319.5438170077394,319.5438170077394,319.5438170077394,319.5438170077394,1,1.0,True,1,True,53.37531315911946,53.37531315911946,53.37531315911946,53.37531315911946,53.37531315911946,53.37531315911946,53.37531315911946,53.37531315911946,9.512455828205374,9.512455828205374,9.512455828205374,9.512455828205374,0.9908808154380598,0.9908808154380598,0.9908808154380598,0.9908808154380598,0.6628513580759995,0.6628513580759995,0.6628513580759995,0.6628513580759995,1,1.0,True,1,True,29.784548004161962,29.784548004161962,29.784548004161962,29.784548004161962,29.784548004161962,29.784548004161962,29.784548004161962,29.784548004161962,2174.0448288436205,2174.0448288436205,2174.0448288436205,2174.0448288436205,226.46300300454382,226.46300300454382,226.46300300454382,226.46300300454382,151.49279989760234,151.49279989760234,151.49279989760234,151.49279989760234,1,1.0,True,1,True,10.417089461245927,10.417089461245927,10.417089461245927,10.417089461245927,10.417089461245927,10.417089461245927,10.417089461245927,10.417089461245927,1538.852465067208,1538.852465067208,1538.852465067208,1538.852465067208,160.29713177783418,160.29713177783418,160.29713177783418,160.29713177783418,107.23103105760629,107.23103105760629,107.23103105760629,107.23103105760629
family_velocity,bound,-1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,36.56543397060037,36.56543397060037,36.56543397060037,36.56543397060037,36.56543397060037,36.56543397060037,36.56543397060037,36.56543397060037,3656.754804475582,3656.754804475582,3656.754804475582,3656.754804475582,380.91195879953983,380.91195879953983,380.91195879953983,380.91195879953983,390.23875508412374,390.23875508412374,390.23875508412374,390.23875508412374,1,1.0,True,1,True,59.0235992583567,59.0235992583567,59.0235992583567,59.0235992583567,59.0235992583567,59.0235992583567,59.0235992583567,59.0235992583567,6.812008725588042,6.812008725588042,6.812008725588042,6.812008725588042,0.7095842422487544,0.7095842422487544,0.7095842422487544,0.7095842422487544,0.7269587234676227,0.7269587234676227,0.7269587234676227,0.7269587234676227,1,1.0,True,1,True,41.22551196638495,41.22551196638495,41.22551196638495,41.22551196638495,41.22551196638495,41.22551196638495,41.22551196638495,41.22551196638495,2038.8368032752876,2038.8368032752876,2038.8368032752876,2038.8368032752876,212.37883367450914,212.37883367450914,212.37883367450914,212.37883367450914,217.57902251363694,217.57902251363694,217.57902251363694,217.57902251363694,1,1.0,True,1,True,7.3038938943138705,7.3038938943138705,7.3038938943138705,7.3038938943138705,7.3038938943138705,7.3038938943138705,7.3038938943138705,7.3038938943138705,1554.7191379335522,1554.7191379335522,1554.7191379335522,1554.7191379335522,161.9499102014117,161.9499102014117,161.9499102014117,161.9499102014117,165.91532474370004,165.91532474370004,165.91532474370004,165.91532474370004
family_velocity,bound,-0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,39.77274839262867,39.77274839262867,39.77274839262867,39.77274839262867,39.77274839262867,39.77274839262867,39.77274839262867,39.77274839262867,2963.887168727363,2963.887168727363,2963.887168727363,2963.887168727363,311.3326857906894,311.3326857906894,311.3326857906894,311.3326857906894,643.0566154301207,643.0566154301207,643.0566154301207,643.0566154301207,1,1.0,True,1,True,50.02536314779046,50.02536314779046,50.02536314779046,50.02536314779046,50.02536314779046,50.02536314779046,50.02536314779046,50.02536314779046,5.079725462961756,5.079725462961756,5.079725462961756,5.079725462961756,0.5335846074539659,0.5335846074539659,0.5335846074539659,0.5335846074539659,1.1021172121504828,1.1021172121504828,1.1021172121504828,1.1021172121504828,1,1.0,True,1,True,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,55.73597770327721,1965.6207860365598,1965.6207860365598,1965.6207860365598,1965.6207860365598,206.4727716424958,206.4727716424958,206.4727716424958,206.4727716424958,426.4688154206975,426.4688154206975,426.4688154206975,426.4688154206975,1,1.0,True,1,True,5.515641819353349,5.515641819353349,5.515641819353349,5.515641819353349,5.515641819353349,5.515641819353349,5.515641819353349,5.515641819353349,1577.7913957524302,1577.7913957524302,1577.7913957524302,1577.7913957524302,165.7343903101292,165.7343903101292,165.7343903101292,165.7343903101292,342.3238257895552,342.3238257895552,342.3238257895552,342.3238257895552
