cell_id,joint_index,joint_name,leg,motor_role,configured_effort_limit_nm,effort_limit_source,normalized_torque_squared_exposure,absolute_work_j,utilization_p95,utilization_p99,saturation_fraction,soft_limit_utilization_p95,soft_limit_utilization_p99,action_clamp_fraction
gait_00_trot__vx_neg_1p5__seed_0042,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.08850035434117251,5.545652575790245,0.21342429062899418,0.24116890767041366,0.0,0.3439933717250824,0.35117684602737426,0.0
gait_00_trot__vx_neg_1p5__seed_0042,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,1.8925766524032526,138.42802105472424,0.8874309119056253,0.9657168870813705,0.022916666666666665,0.3340502679347992,0.34399548411369324,0.0
gait_00_trot__vx_neg_1p5__seed_0042,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2187253422056009,119.5209804512281,0.27682084650606714,0.2855528372687262,0.0,0.5696905404329299,0.5750675022602081,0.0
gait_00_trot__vx_neg_1p5__seed_0042,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.18537949049268418,8.236120593461091,0.24748618602752684,0.31488133767071885,0.0,0.4530884444713592,0.47439869165420534,0.0
gait_00_trot__vx_neg_1p5__seed_0042,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,1.4306597889513686,181.5410458669439,0.6792900898877312,0.8116602628371294,0.0,0.3946929514408111,0.39890907645225526,0.0
gait_00_trot__vx_neg_1p5__seed_0042,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.22335571187813869,131.14927836868912,0.27347462628338787,0.30282735618385104,0.0,0.6503569185733795,0.6556994122266769,0.0
gait_00_trot__vx_neg_1p5__seed_0042,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.05378210711207044,5.240028127487167,0.16899841673233926,0.19061290769016043,0.0,0.4073817819356918,0.4189016115665436,0.0
gait_00_trot__vx_neg_1p5__seed_0042,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.5552479533426032,91.04226467128844,0.5537319135665894,0.6056293334960937,0.0,0.3322492837905884,0.3448127233982086,0.0
gait_00_trot__vx_neg_1p5__seed_0042,8,joint_rear_left_calf_pitch,rl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.22835149422605022,118.15890691056848,0.3167701141254322,0.34354771201674994,0.0,0.668037873506546,0.6729588901996613,0.0
gait_00_trot__vx_neg_1p5__seed_0042,9,joint_rear_right_abad,rr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.05242809796935156,5.0806221816106705,0.13420506575528313,0.14743267227621634,0.0,0.3078979730606079,0.3358691847324371,0.0
