scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.042764849472249435,0.024623840806015204,6,0.009287648064139477,6,0.9927186128276465,0.02576105244436851,6,0,1.0,1.0,6,2684.716750921397,6,1580.9606936071316,6,6.953453660548125,6,6,6,6,6,6
row,gallop_a,6,0,6,0.038615446617298176,0.05641013197167701,6,0.013403092781684653,6,0.9152312429463728,0.058440061548009965,6,1,0.5,0.5,6,1733.5356504174972,6,1654.7849250606944,6,6.376566357017588,6,1,6,3,6,0
row,gallop_b,6,0,6,0.03464706614599319,0.049499943678469875,6,0.02062092252224598,6,0.9757229051062034,0.0498639944777324,6,0,1.0,1.0,6,1083.988600991255,6,1653.125026018781,6,5.262477685472008,6,2,6,6,6,2
row,gallop_c,6,0,6,0.035989061529598736,0.051015774946234264,6,0.039314043866215814,6,0.9113510571306649,0.055816928961642094,6,2,0.16666666666666666,0.16666666666666666,6,1388.3366891640478,6,1659.2951186661858,6,6.194615700307619,6,3,6,1,6,0
row,gallop_d,6,0,6,0.037923314542978814,0.04828233305571817,6,0.014507983384945446,6,0.9758868639490538,0.04265913336662128,6,0,1.0,1.0,6,1055.158117516061,6,1661.7013387093446,6,5.215832620288913,6,2,6,6,6,2
row,half_bound_front_a,6,0,6,0.04308456255826057,0.043616915915316884,6,0.016553379566473094,6,0.9447292299444388,0.0477937913964999,6,1,0.8333333333333334,0.8333333333333334,6,1422.7188342132986,6,1636.2278750879566,6,6.001767045091984,6,6,6,5,6,5
row,half_bound_front_b,6,0,6,0.04533218353846486,0.03818512684367053,6,0.01592651312472123,6,0.9401794532605271,0.050074632042874594,6,0,0.8333333333333334,0.8333333333333334,6,1700.730913377127,6,1629.8967525223534,6,6.201239300670544,6,6,6,5,6,5
row,half_bound_hind_a,6,0,6,0.041126087706589064,0.04819701151621417,6,0.009431534999398514,6,0.9609285039863961,0.04961872051159541,6,0,1.0,1.0,6,1863.5374003382192,6,1617.3899837130805,6,5.861199142907012,6,3,6,6,6,3
row,half_bound_hind_b,6,0,6,0.03899573965200169,0.04481785995318746,6,0.01532703348410676,6,0.9498119414331184,0.054768873095846306,6,0,1.0,1.0,6,1947.5460931071657,6,1639.2268660886832,6,6.335158273051264,6,4,6,6,6,4
row,trot,6,0,6,0.03156247174853301,0.022732930407163943,6,0.009213206775219796,6,0.9837146996965297,0.02647901548613576,6,0,1.0,1.0,6,664.5912185658699,6,1706.1193477487566,6,3.760221761854712,6,6,6,6,6,6
family,bound,6,0,6,0.042764849472249435,0.024623840806015204,6,0.009287648064139477,6,0.9927186128276465,0.02576105244436851,6,0,1.0,1.0,6,2684.716750921397,6,1580.9606936071316,6,6.953453660548125,6,6,6,6,6,6
family,gallop,24,0,24,0.036793722208967226,0.051302045913024834,24,0.021961510638772972,24,0.9445480172830738,0.05169502958850144,24,3,0.6666666666666666,0.6666666666666666,24,1315.2547645222153,24,1657.2266021137514,24,5.762373090771533,24,8,24,16,24,4
family,half_bound,24,0,24,0.04213464336382905,0.04370422855709726,24,0.0143096152936749,24,0.9489122821561201,0.05056400426170405,24,1,0.9166666666666666,0.9166666666666666,24,1733.6333102589526,24,1630.6853693530186,24,6.099840940430201,24,19,24,22,24,17
family,trot,6,0,6,0.03156247174853301,0.022732930407163943,6,0.009213206775219796,6,0.9837146996965297,0.02647901548613576,6,0,1.0,1.0,6,664.5912185658699,6,1706.1193477487566,6,3.760221761854712,6,6,6,6,6,6
velocity,+0.5 m/s,10,0,10,0.06237411764505316,0.03769450598794007,10,0.015841705546275224,10,0.9556071074713376,0.045578088329619716,10,1,0.6,0.6,10,1381.688272004658,10,1648.2413776046858,10,3.718444119260371,10,8,10,6,10,6
velocity,+1 m/s,10,0,10,0.031233074159190237,0.04115637357163384,10,0.025200853500261754,10,0.9536373567389991,0.04845856269200642,10,1,0.9,0.9,10,1747.7124985889955,10,1647.3958128799463,10,5.176062106422664,10,7,10,9,10,6
velocity,+1.5 m/s,10,0,10,0.019212632536321196,0.04602361319829911,10,0.009204647960435214,10,0.9549620112295578,0.039099957247575125,10,0,1.0,1.0,10,2165.271769692624,10,1630.3503886354863,10,7.3047580797265255,10,6,10,10,10,6
velocity,-0.5 m/s,10,0,10,0.06517808849949,0.037938648104173946,10,0.016870874172844653,10,0.955891349886287,0.054401617741384425,10,0,0.9,0.9,10,974.2701506069996,10,1643.38023966828,10,4.052303317919458,10,8,10,9,10,7
velocity,-1 m/s,10,0,10,0.03537228670871286,0.044336609690461416,10,0.009129718887256891,10,0.9548212943538811,0.05173981269200643,10,1,0.8,0.8,10,1310.784182769061,10,1647.9272423806572,10,5.967906929927411,10,6,10,8,10,4
velocity,-1.5 m/s,10,0,10,0.020654270558413075,0.049279370903692124,10,0.021903415074416725,10,0.9552455864885083,0.03748768329620361,10,1,0.8,0.8,10,1747.1892875048256,10,1645.9416951647254,10,8.67804437506943,10,4,10,8,10,4
direction,backward,30,0,30,0.04040154858887198,0.04385154289944249,30,0.01596800271150609,30,0.9553194102428921,0.04787637124319815,30,2,0.8333333333333334,0.8333333333333334,30,1344.0812069602953,30,1645.7497257378875,30,6.2327515409721,30,18,30,25,30,15
direction,forward,30,0,30,0.03760660811352153,0.04162483091929101,30,0.016749069002324066,30,0.9547354918132982,0.04437886942306709,30,2,0.8333333333333334,0.8333333333333334,30,1764.8908467620925,30,1641.9958597067061,30,5.399754768469854,30,21,30,25,30,18
policy,7cd84ae3efbb622129bba44ef0f05698f0f495303a1f663d98e543c96330d9d6,60,0,60,0.03900407835119676,0.042738186909366746,60,0.016358535856915078,60,0.955027451028095,0.04612762033313263,60,4,0.8333333333333334,0.8333333333333334,60,1554.486026861194,60,1643.872792722297,60,5.816253154720977,60,39,60,50,60,33
