positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,0.00513601879111859,0.016927987024062823,0.00513601879111859,-0.016927987024062823,-0.005895984116472117,0.022064005815181413,0.5051360187911186,-0.48307201297593716,0.02206400581518142,0.022063983751197672,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,0.00104348286986351,0.015858390058080356,0.00104348286986351,-0.015858390058080356,-0.0074074535941084235,0.016901872927943866,1.0010434828698636,-0.9841416099419197,0.016901872927943873,0.008450932238505817,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,0.0018926933407783508,0.0084663987159729,0.0018926933407783508,-0.0084663987159729,-0.003286852687597275,0.010359092056751252,1.5018926933407784,-1.491533601284027,0.01035909205675134,0.003453029534573935,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,0.007261294652433956,0.009408847123634916,0.007261294652433956,-0.009408847123634916,-0.00107377623560048,0.016670141776068872,0.507261294652434,-0.49059115287636507,0.016670141776068903,0.0166701251059438,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,0.008059098447362582,0.009304376939932505,0.008059098447362582,-0.009304376939932505,-0.0006226392462849615,0.017363475387295088,1.0080590984473625,-0.9906956230600675,0.01736347538729499,0.008681733352780819,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,0.010160360236962636,0.0003988524278004964,0.010160360236962636,-0.0003988524278004964,0.00488075390458107,0.010559212664763132,1.5101603602369627,-1.4996011475721995,0.010559212664763118,0.0035197363816755786,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,0.007404268414032559,0.010495955390589578,0.007404268414032559,-0.010495955390589578,-0.001545843488278509,0.017900223804622136,0.5074042684140325,-0.48950404460941044,0.017900223804622084,0.01790020590441618,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,0.002113224814335505,0.005927464117606481,0.002113224814335505,-0.005927464117606481,-0.001907119651635488,0.008040688931941986,1.0021132248143354,-0.9940725358823935,0.008040688931941875,0.004020342455799709,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,-0.011916967729727427,-0.004991555213928222,-0.011916967729727427,0.004991555213928222,-0.003462706257899602,-0.01690852294365565,1.4880830322702725,-1.5049915552139281,0.016908522943655635,0.0056361724358277325,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,-0.001862049415832808,0.018590565176070238,-0.001862049415832808,-0.018590565176070238,-0.010226307295951522,0.01672851576023743,0.4981379505841672,-0.4814094348239298,0.016728515760237428,0.016728499031738397,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_0042,gait_02_half_bound__vx_neg_1p0__seed_0042,3,2,half_bound,1.0,0.007173127432664236,0.012733752032121022,0.007173127432664236,-0.012733752032121022,-0.002780312299728393,0.019906879464785258,1.0071731274326643,-0.987266247967879,0.01990687946478531,0.009953434755675276,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_0042,gait_02_half_bound__vx_neg_1p5__seed_0042,3,2,half_bound,1.5,0.009912026425202688,0.0049673246840635935,0.009912026425202688,-0.0049673246840635935,0.0024723508705695473,0.014879351109266283,1.5099120264252026,-1.4950326753159364,0.014879351109266192,0.004959782049828047,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_0042,gait_05_half_bound__vx_neg_0p5__seed_0042,4,5,half_bound,0.5,-0.017338139795455614,0.012657938634648043,-0.017338139795455614,-0.012657938634648043,-0.014998039215051828,-0.0046802011608075705,0.4826618602045444,-0.48734206136535196,0.004680201160807584,0.004680196480611104,1e-06,abs(mean_vx_pos + mean_vx_neg)
