operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.016754852110682485,30,1.0,0.008787919089382678,30,1.0,0.0672629531113418,30,1.0,0.0203633111827323,30,1.0,0.21593292169261408,30,1.0,3.7631745058600052,30,1.0,1.0851744534997239,30,1.0,0.13295516511017266,30,1.0,0.01081577075895397,30,1.0,3.5271764518343973,30,1.0,29.21031107306951,30,1.0,41.17222767880221,30,1.0
temporal_reversal,family,bound,3,3,0.014976724425063806,3,1.0,0.008718518551127197,3,1.0,0.028975855416285102,3,1.0,0.01933900524335612,3,1.0,0.2856033846418012,3,1.0,6.162608377413272,3,1.0,1.4789261245719307,3,1.0,0.1690157109479952,3,1.0,0.007321162424585544,3,1.0,4.1927443415562555,3,1.0,67.68726441123816,3,1.0,33.80393676208288,3,1.0
temporal_reversal,family,gallop,12,12,0.017178055762313415,12,1.0,0.0091839586994625,12,1.0,0.08369406269186543,12,1.0,0.021968266328564315,12,1.0,0.19920562031622135,12,1.0,3.385790354855983,12,1.0,0.9605851033507755,12,1.0,0.12465210198584405,12,1.0,0.009046026222893813,12,1.0,3.284381217878499,12,1.0,19.41321759044784,12,1.0,41.33839183403358,12,1.0
temporal_reversal,family,half_bound,12,12,0.01685327092457911,12,1.0,0.010089358501397819,12,1.0,0.06474770143593385,12,1.0,0.016799051766406312,12,1.0,0.24528277750646668,12,1.0,4.027456689189102,12,1.0,1.2256888949463374,12,1.0,0.14614715994123598,12,1.0,0.013676254358240797,12,1.0,3.806184940855017,12,1.0,34.75662824641838,12,1.0,42.17582238419434,12,1.0
temporal_reversal,family,trot,3,3,0.016446489934190945,3,1.0,0.0020674035392583136,3,1.0,0.04988661918593559,3,1.0,0.029224834204084366,3,1.0,0.09577224099358679,3,1.0,1.8161485050064385,3,1.0,0.6277224172368555,3,1.0,0.07733889244541149,3,1.0,0.009947422840415719,3,1.0,2.71675554185364,3,1.0,7.736462971991991,3,1.0,43.86148315302757,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.016754852110682485,30,1.0,0.008787919089382678,30,1.0,0.0672629531113418,30,1.0,0.0203633111827323,30,1.0,0.21593292169261408,30,1.0,3.7631745058600052,30,1.0,1.0851744534997239,30,1.0,0.13295516511017266,30,1.0,0.01081577075895397,30,1.0,3.5271764518343973,30,1.0,29.21031107306951,30,1.0,41.17222767880221,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.018597938395745917,10,1.0,0.006954188613570269,10,1.0,0.073125,10,1.0,0.024079592941546595,10,1.0,0.18335852586071608,10,1.0,3.095805702223509,10,1.0,0.9811017903515481,10,1.0,0.1197029028984462,10,1.0,0.011634792197332636,10,1.0,3.1601349940571795,10,1.0,26.384652801574322,10,1.0,35.89652634260365,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.01807018003161267,10,1.0,0.008585337721266179,10,1.0,0.06458082932692308,10,1.0,0.016989956986610155,10,1.0,0.22249806027378485,10,1.0,3.6775833147459003,10,1.0,1.1368887603811317,10,1.0,0.1375773065571371,10,1.0,0.010658706468574386,10,1.0,3.597669773611068,10,1.0,30.913366048055885,10,1.0,41.444612681686074,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.013596437904688874,10,1.0,0.010824230933311588,10,1.0,0.06408303000710228,10,1.0,0.02002038362004015,10,1.0,0.24194217894334114,10,1.0,4.5161345006106055,10,1.0,1.1375328097664918,10,1.0,0.14158528587493469,10,1.0,0.010153813610954892,10,1.0,3.8237245878349406,10,1.0,30.332914369578297,10,1.0,46.17554401211691,10,1.0
temporal_reversal,robot,x1,30,30,0.016754852110682485,30,1.0,0.008787919089382678,30,1.0,0.0672629531113418,30,1.0,0.0203633111827323,30,1.0,0.21593292169261408,30,1.0,3.7631745058600052,30,1.0,1.0851744534997239,30,1.0,0.13295516511017266,30,1.0,0.01081577075895397,30,1.0,3.5271764518343973,30,1.0,29.21031107306951,30,1.0,41.17222767880221,30,1.0
