scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.03663987684010801,0.02521823745183725,6,0.0074014741639250176,6,0.9754121913668631,0.0478703845337548,6,0,1.0,1.0,6,2814.3297919310426,6,1591.0123383499931,6,6.201339462541745,6,6,6,6,6,6
row,gallop_a,6,0,6,0.03460814524773737,0.04555688623348566,6,0.013574959653253308,6,0.8891894625765421,0.08378162402955312,6,3,0.3333333333333333,0.3333333333333333,6,1495.706416565885,6,1613.0814669374624,6,5.17089997591738,6,4,6,2,6,1
row,gallop_b,6,0,6,0.03421565889838706,0.040068927405904016,6,0.00754076458153117,6,0.9588371407762102,0.06259327667489661,6,0,1.0,1.0,6,970.480644034576,6,1639.1734941953919,6,4.723039423678774,6,6,6,6,6,6
row,gallop_c,6,0,6,0.035047257132042965,0.0429176670475571,6,0.02316752289086498,6,0.8954619128437283,0.07600705586895555,6,2,0.6666666666666666,0.6666666666666666,6,1519.5351099370291,6,1603.0645319450896,6,4.907232085047897,6,6,6,4,6,4
row,gallop_d,6,0,6,0.031163355746810516,0.04938097215543508,6,0.013982483363753325,6,0.9574521092318377,0.0618445855020141,6,0,1.0,1.0,6,883.3296041994731,6,1630.8705235660389,6,4.504341421353461,6,4,6,6,6,4
row,half_bound_front_a,6,0,6,0.04017629386748776,0.04020479911731526,6,0.01812360418743734,6,0.9364136149973535,0.06250355328554089,6,0,1.0,1.0,6,1711.3825595376372,6,1601.6725742372,6,5.200459900311897,6,6,6,6,6,6
row,half_bound_front_b,6,0,6,0.035703723582218475,0.03541395597084002,6,0.010660840371416647,6,0.9225908699920424,0.06607474961311989,6,5,0.16666666666666666,0.16666666666666666,6,1629.501709856255,6,1605.8366986363833,6,4.998845213984869,6,6,6,1,6,1
row,half_bound_hind_a,6,0,6,0.03893440644673212,0.03220866880520637,6,0.006645421023427454,6,0.9309558692630545,0.06704128205943173,6,1,0.8333333333333334,0.8333333333333334,6,1660.2433297042319,6,1610.671105733992,6,5.401995828052315,6,6,6,5,6,5
row,half_bound_hind_b,6,0,6,0.03606210029933871,0.03456913453118956,6,0.017715479422197252,6,0.9439023514334378,0.06278562146185938,6,0,1.0,1.0,6,1579.074271321481,6,1604.9632878025777,6,4.94007975439106,6,6,6,6,6,6
row,trot,6,0,6,0.034556203919412776,0.022168676192713056,6,0.003599950585930285,6,0.9821740207601312,0.038855561081156564,6,0,1.0,1.0,6,556.5665103201551,6,1677.4033482200405,6,3.0657630228495525,6,6,6,6,6,6
family,bound,6,0,6,0.03663987684010801,0.02521823745183725,6,0.0074014741639250176,6,0.9754121913668631,0.0478703845337548,6,0,1.0,1.0,6,2814.3297919310426,6,1591.0123383499931,6,6.201339462541745,6,6,6,6,6,6
family,gallop,24,0,24,0.03375860425624448,0.04448111321059547,24,0.014566432622350696,24,0.9252351563570795,0.07105663551885484,24,5,0.75,0.75,24,1217.2629436842408,24,1621.5475041609955,24,4.826378226499378,24,20,24,18,24,15
family,half_bound,24,0,24,0.03771913104894427,0.0355991396061378,24,0.013286336251119675,24,0.933465676421472,0.06460130160498798,24,6,0.75,0.75,24,1645.0504676049013,24,1605.7859166025382,24,5.135345174185035,24,24,24,18,24,18
family,trot,6,0,6,0.034556203919412776,0.022168676192713056,6,0.003599950585930285,6,0.9821740207601312,0.038855561081156564,6,0,1.0,1.0,6,556.5665103201551,6,1677.4033482200405,6,3.0657630228495525,6,6,6,6,6,6
velocity,+0.5 m/s,10,0,10,0.05678753832720738,0.038539869870782964,10,0.013408004645973613,10,0.9389206669786787,0.07098351479077539,10,1,0.9,0.9,10,1138.0753380771052,10,1626.531495625645,10,3.5631074324320844,10,8,10,9,10,7
velocity,+1 m/s,10,0,10,0.02752439134634712,0.035024813826034874,10,0.015988936851381183,10,0.9415349744090145,0.06210439602533976,10,1,0.9,0.9,10,1595.0181964214644,10,1633.7338587211464,10,4.825477798539398,10,10,10,9,10,9
velocity,+1.5 m/s,10,0,10,0.018957000692255636,0.03712593479639946,10,0.011526196687008994,10,0.943802875129783,0.05045412391424179,10,3,0.7,0.7,10,2013.4047839459786,10,1604.3265730569922,10,6.481250296855244,10,10,10,7,10,7
velocity,-0.5 m/s,10,0,10,0.06353259411594829,0.03588934796021745,10,0.015207099004726051,10,0.9320636847560546,0.06977553159749808,10,2,0.8,0.8,10,904.3698043133606,10,1619.2039349112063,10,3.299604933458261,10,9,10,8,10,7
velocity,-1 m/s,10,0,10,0.02915379356390821,0.034902155581145074,10,0.007257797238226904,10,0.9380251862533706,0.06545750955740612,10,2,0.8,0.8,10,1432.7614005403877,10,1614.9836607933528,10,4.801277680540133,10,10,10,8,10,8
velocity,-1.5 m/s,10,0,10,0.018308895142498827,0.0391426329123102,10,0.010059465718925322,10,0.9410863384178192,0.058839540580908456,10,2,0.7,0.7,10,1808.4604451463626,10,1607.8700986661584,10,6.497679511052252,10,9,10,7,10,7
direction,backward,30,0,30,0.03699842760745178,0.036644712151224244,30,0.010841453987292759,30,0.9370584031424147,0.06469086057860422,30,6,0.7666666666666667,0.7666666666666667,30,1381.8638833333705,30,1614.019231456906,30,4.866187375016882,30,28,30,23,30,22
direction,forward,30,0,30,0.03442297678860338,0.03689687283107243,30,0.013641046061454597,30,0.9414195055058254,0.06118067824345231,30,5,0.8333333333333334,0.8333333333333334,30,1582.1661061481827,30,1621.530642467928,30,4.9566118426089085,30,28,30,25,30,23
policy,16706ca26ed3edc69438520f8e6e48346bc6f016c052fd37155fca94a4625a08,60,0,60,0.03571070219802757,0.036770792491148334,60,0.012241250024373677,60,0.9392389543241201,0.06293576941102826,60,11,0.8,0.8,60,1482.0149947407767,60,1617.7749369624169,60,4.9113996088128955,60,56,60,48,60,45
