cell_id,gait_index,gait_name,family,velocity_mps,velocity_sign,seed,status,reason,relative_output_dir,sample_count,measurement_start_s,measurement_stop_s,measurement_duration_s,complete_cycles,phase_boundary_trimmed,gait_period_s,effort_limit_source,effort_limit_min_nm,effort_limit_max_nm,command_x_mean_mps,measured_x_mean_mps,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,signed_directed_progress_m,integrated_body_x_progress_m,position_vs_integrated_progress_difference_m,directed_progress_definition,positive_directed_progress,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_total_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_utilization_total_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_utilization_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_total_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_total_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,trot,-1.5,backward,42,valid,,cells/gait_00_trot/vx_neg_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.504064487417539,0.0427803791758506,0.03659932196562699,0.425,0.05,True,True,True,14.411199569702148,14.439019079208375,-0.02781950950622658,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1320.2319614629785,1128.7240408345929,2448.956002297571,7.819982084149978,7.819982084149978,255.09958357266368,169.93422306399899,1.3202319614629786e-15,1.128724040834593e-15,2.4489560022975718e-15,7.819982084149981,7.819982084149981,2.5509958357266374e-16,1.6993422306399902e-16,593.5461382142804,379.0305052249541,972.5766434392344,22.056424492238904,22.056424492238904,101.31006702492026,67.48755637830195,829.4933991736033,817.60968367641,1647.1030828500134,0.721491910307804,0.721491910307804,171.5732377968764,114.29326718317425
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,trot,-1.0,backward,42,valid,,cells/gait_00_trot/vx_neg_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9804641029487053,0.04139370092005481,0.03228263081341533,0.3,0.05,True,True,True,9.393066883087158,9.412455388307572,-0.01938850522041413,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1062.8588833754304,907.7299430241115,1970.588826399542,7.872212522119826,7.872212522119826,205.26966941661897,209.79184444515332,1.0628588833754304e-15,9.077299430241118e-16,1.9705888263995423e-15,7.872212522119812,7.872212522119812,2.05269669416619e-16,2.0979184444515334e-16,342.59854989355955,246.73515135244583,589.3337012460054,16.266403624709305,16.266403624709305,61.38892721312556,62.741350464259966,845.5886195314571,841.6064186811448,1687.195038212602,0.23602492658649762,0.23602492658649762,175.74948314714604,179.62131636159313
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,trot,-0.5,backward,42,valid,,cells/gait_00_trot/vx_neg_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.47884501585689915,0.03736090125370619,0.03042134930714676,0.175,0.05,True,True,True,4.552426815032959,4.55860455095768,-0.0061777359247212615,commanded-sign world-x displacement across the same sample intervals as effort integration,True,778.9689727356849,681.311795716664,1460.280768452349,6.687561675041505,6.687561675041505,153.3908370223056,320.76974057665916,7.789689727356849e-16,6.813117957166641e-16,1.460280768452349e-15,6.687561675041504,6.687561675041504,1.5339083702230556e-16,3.207697405766592e-16,123.87663353472992,103.60597075012804,227.48260428485796,8.910862810071658,8.910862810071658,23.895231542527096,49.969524723312,840.1076370726112,860.3357664850732,1700.4434035576844,-1.1895796925755115,1.1895796925755115,178.61800457538703,373.52459965803394
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,trot,0.5,forward,42,valid,,cells/gait_00_trot/vx_pos_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.4897670738962518,0.03602032582623765,0.026469232785984842,0.175,0.05,True,True,True,4.651778221130371,4.662582543492317,-0.010804322361946284,commanded-sign world-x displacement across the same sample intervals as effort integration,True,789.5357876589237,724.9867603882149,1514.5225480471386,4.262005036104606,4.262005036104606,159.08850294612802,325.57926798133406,7.895357876589236e-16,7.249867603882148e-16,1.5145225480471385e-15,4.262005036104604,4.262005036104604,1.59088502946128e-16,3.25579267981334e-16,123.18723529341565,126.2946662272267,249.48190152064234,-1.245553651335279,1.245553651335279,26.20608209250445,53.63151243698347,876.412805734195,823.52940484183,1699.942210576025,3.1108940388300295,3.1108940388300295,178.56535825378415,365.43922125396233
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,trot,1.0,forward,42,valid,,cells/gait_00_trot/vx_pos_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,0.9970715530216694,0.03382289124420087,0.03740440863535542,0.3,0.05,True,True,True,9.554750442504883,9.571886909008027,-0.017136466503144376,commanded-sign world-x displacement across the same sample intervals as effort integration,True,963.4273731174029,957.4952025847637,1920.9225757021666,0.30881882527049925,0.30881882527049925,200.09610163564236,201.04372032123695,9.634273731174028e-16,9.574952025847638e-16,1.9209225757021667e-15,0.30881882527048454,0.30881882527048454,2.0009610163564237e-16,2.0104372032123696e-16,245.26479289092887,328.8557541906763,574.1205470816052,-14.559827500454507,14.559827500454507,59.804223654333875,60.08744556295216,853.1619885371902,829.609119874872,1682.7711084120622,1.3996477919414525,1.3996477919414525,175.28865712625648,176.11879227385717
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,trot,1.5,forward,42,valid,,cells/gait_00_trot/vx_pos_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.5204582082728544,0.03346931946046701,0.029136754425357056,0.425,0.05,True,True,True,14.57775592803955,14.596398799419404,-0.018642871379853432,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1187.4181208739221,1202.0992527302549,2389.517373604177,-0.6143973682094963,0.6143973682094963,248.90805975043511,163.91530942070895,1.1874181208739222e-15,1.2020992527302552e-15,2.3895173736041776e-15,-0.6143973682095051,0.6143973682095051,2.4890805975043517e-16,1.6391530942070898e-16,389.85672045242575,549.9092314121872,939.7659518646129,-17.03110339784042,17.03110339784042,97.89228665256385,64.46574880959712,778.7146588170665,834.3581589250205,1613.072817742087,-3.4495342985099366,3.4495342985099366,168.02841851480073,110.6530268242059
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,bound,-1.5,backward,42,valid,,cells/gait_01_bound/vx_neg_1p5/seed_0042,480,5.26,14.86,9.6,31,True,0.3096770942211151,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.5178941667079926,0.03474428605907053,0.03745979891945421,0.425,0.05,True,True,True,14.54529094696045,14.571784000396729,-0.026493053436279723,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2347.1594265514495,2662.256528492919,5009.415955044369,-6.290096585494641,6.290096585494641,521.8141619837885,344.4012205263721,2.3471594265514498e-15,2.6622565284929197e-15,5.0094159550443695e-15,-6.290096585494648,6.290096585494648,5.218141619837885e-16,3.444012205263721e-16,1118.4150508602863,1958.0600892864873,3076.475140146774,-27.29243696687706,27.29243696687706,320.46616043195564,211.51004482242203,872.5457907470752,700.3819277869916,1572.9277185340668,10.94544020881878,10.94544020881878,163.84663734729864,108.13999694263687
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,-1.0,backward,42,valid,,cells/gait_01_bound/vx_neg_1p0/seed_0042,480,5.36,14.96,9.6,25,True,0.3838850259780884,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-1.0022879208127657,0.03629558292911844,0.034929839253617596,0.3,0.05,True,True,True,9.528614044189453,9.62196403980255,-0.09334999561309765,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2066.8252229117393,2297.81712101084,4364.642343922579,-5.292344249483319,5.292344249483319,454.650244158602,458.056368290427,2.0668252229117394e-15,2.2978171210108397e-15,4.3646423439225795e-15,-5.292344249483312,5.292344249483312,4.546502441586021e-16,4.58056368290427e-16,1132.7219046260705,1907.6606667317558,3040.3825713578262,-25.488199064356557,25.488199064356557,316.7065178497736,319.0792026267294,846.2563463142816,755.3304726682082,1601.5868189824898,5.6772366360906865,5.6772366360906865,166.83196031067604,168.0818229760431
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,-0.5,backward,42,valid,,cells/gait_01_bound/vx_neg_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.49352006952301797,0.033051901522882295,0.03343496774166171,0.175,0.05,True,True,True,4.601293563842773,4.698311061859131,-0.09701749801635717,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1895.9041492943286,1818.315408322998,3714.2195576173267,2.0889648489467243,2.0889648489467243,390.14911319509736,807.2120385458288,1.8959041492943284e-15,1.8183154083229984e-15,3.714219557617327e-15,2.088964848946709,2.088964848946709,3.901491131950974e-16,8.072120385458288e-16,1330.6259848657035,1553.7185696574713,2884.344554523175,-7.7346024573214835,7.7346024573214835,302.9773691726024,626.8551472543544,847.0040687894822,777.4520860037513,1624.4561547932335,4.2815549425883805,4.2815549425883805,170.63615071357495,353.0433631877571
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,0.5,forward,42,valid,,cells/gait_01_bound/vx_pos_0p5/seed_0042,476,5.22,14.74,9.52,20,True,0.4758754074573517,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.5013313947104606,0.026040676015704995,0.02466348936539396,0.175,0.05,True,True,True,4.716803073883057,4.772674877643586,-0.055871803760529026,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2226.040777853908,1578.1218141647848,3804.1625920186925,17.031842041885557,17.031842041885557,399.5969109263333,806.5129140290687,2.226040777853908e-15,1.578121814164785e-15,3.804162592018693e-15,17.03184204188555,17.03184204188555,3.995969109263333e-16,8.065129140290687e-16,1822.9773615225079,1228.4330270117362,3051.410388534244,19.48424691561607,19.48424691561607,320.52630131662227,646.9234226524966,837.2258498981738,755.9707249456659,1593.1965748438397,5.100131787596411,5.100131787596411,167.35258139115965,337.7704241386228
