cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.020519628159073305,0.14608205868007648,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.01881154052035185,0.14884691052796373,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.017153426583945985,0.14530744703746742,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.01673313105606028,0.1508570112460942,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.015942623240919718,0.14475708991595584,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.0072978412551447285,0.15025308393639814,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.019730337668362092,0.10577253773930063,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.009295387484859327,0.11967230657766735,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.01177977541336761,0.10986739473870898,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.00836514669786296,0.11990539332750973,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.020231956120007943,0.10769696794798922,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.015598464760534206,0.10851254392361656,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.048963431734732867,0.03833137110702745,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.06877607443003347,0.0007861878217946677,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05787365051864402,0.014992349328513628,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05656640036314931,0.02129149025058622,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05391896768423521,0.024245645889388254,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.052551379473928767,0.028369437140752435,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.05466225498078192,0.03462105687548156,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.05219711567624436,0.0408853208994352,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.06580215709465854,0.006018781664235737,True,
