level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,half_bound_front_b,1
row,gallop_a,unclassified,5
row,gallop_b,gallop_b,4
row,gallop_b,unclassified,2
row,gallop_c,gallop_c,2
row,gallop_c,half_bound_hind_b,1
row,gallop_c,unclassified,3
row,gallop_d,gallop_d,6
row,half_bound_front_a,bound,1
row,half_bound_front_a,half_bound_front_a,4
row,half_bound_front_a,unclassified,1
row,half_bound_front_b,half_bound_front_b,4
row,half_bound_front_b,unclassified,2
row,half_bound_hind_a,bound,1
row,half_bound_hind_a,half_bound_hind_a,4
row,half_bound_hind_a,unclassified,1
row,half_bound_hind_b,half_bound_hind_b,6
row,trot,trot,6
family,bound,bound,6
family,gallop,gallop,12
family,gallop,half_bound,2
family,gallop,unclassified,10
family,half_bound,bound,2
family,half_bound,half_bound,18
family,half_bound,unclassified,4
family,trot,trot,6
