cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.008,0.02,0.0258331298828125,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.010000000000000002,0.02,0.032291412353515625,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,30,10,20,0.3333333333333333,0.22999999999999998,0.3,0.7427024841308594,0.9687423706054688
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.005999999999999999,0.02,0.019374847412109375,0.06458282470703125
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,24,24,0,1.0,0.011666666666666667,0.02,0.030391216278076175,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,24,24,0,1.0,0.010833333333333334,0.02,0.02822041511535645,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,24,16,8,0.6666666666666666,0.0475,0.36,0.12373566627502441,0.9377861022949219
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,24,24,0,1.0,0.0025,0.02,0.0065124034881591806,0.052099227905273444
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,19,19,0,1.0,0.008421052631578945,0.02,0.01769617984169408,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,19,11,8,0.5789473684210527,0.056363636363636366,0.24000000000000002,0.11844374916770241,0.5043411254882812
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,19,19,0,1.0,0.008421052631578947,0.02,0.01769617984169408,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,19,19,0,1.0,0.00736842105263158,0.02,0.01548415736148232,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,19,19,0,1.0,0.011578947368421052,0.02,0.02433224728232936,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,19,11,8,0.5789473684210527,0.01090909090909091,0.02,0.022924596613103695,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,19,19,0,1.0,0.009473684210526315,0.02,0.01990820232190584,0.04202842712402344
