run_id,abbreviation,color,is_baseline,run,velocity_scope,aggregation,family,metric,source_metric,display_label,unit,lower_is_better,cells,families,value,delta_from_baseline
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,family,trot,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,6,1,0.025932760423681478,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,family,trot,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,6,1,0.022732930407163943,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,family,bound,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,6,1,0.0356742550053824,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,family,bound,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,6,1,0.024623840806015204,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,family,half_bound,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,24,1,0.0347787880006219,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,family,half_bound,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,24,1,0.04370422855709726,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,family,gallop,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,24,1,0.02906198006158971,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,family,gallop,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,24,1,0.051302045913024834,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,overall,all_family_balanced,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,60,4,0.031361945872818875,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,all,overall,all_family_balanced,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,60,4,0.03559076142082531,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,family,trot,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,3,1,0.029385934859366396,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,family,trot,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,3,1,0.02574088221225454,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,family,bound,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,3,1,0.039884802576055416,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,family,bound,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,3,1,0.02536706572281575,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,family,half_bound,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,12,1,0.036165352621956075,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,family,half_bound,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,12,1,0.046495333474637024,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,family,gallop,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,12,1,0.02896934468645784,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,family,gallop,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,12,1,0.050356536790201634,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,overall,all_family_balanced,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,30,4,0.03360135868595893,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,negative,overall,all_family_balanced,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,30,4,0.036989954549977236,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,positive,family,trot,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,3,1,0.02247958598799656,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,positive,family,trot,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,3,1,0.01972497860207335,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,positive,family,bound,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,3,1,0.03146370743470937,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,positive,family,bound,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,3,1,0.02388061588921465,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,positive,family,half_bound,velocity_vx_rmse_mps,velocity_vx_rmse_mps,Forward-velocity RMSE,m/s,True,12,1,0.03339222337928773,0.0
run_00,No TRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/legacy/gait_family_v2_analysis/2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,positive,family,half_bound,velocity_yaw_rmse_radps,velocity_yaw_rmse_radps,Yaw-velocity RMSE,rad/s,True,12,1,0.04091312363955749,0.0
