scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,1,1.0,True,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,3585.2938801067367,3585.2938801067367,3585.2938801067367,3585.2938801067367,373.4681125111184,373.4681125111184,373.4681125111184,373.4681125111184,253.50659493724945,253.50659493724945,253.50659493724945,253.50659493724945,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,34.59823069710221,3.5852938801067364e-15,3.5852938801067364e-15,3.5852938801067364e-15,3.5852938801067364e-15,3.734681125111184e-16,3.734681125111184e-16,3.734681125111184e-16,3.734681125111184e-16,2.5350659493724944e-16,2.5350659493724944e-16,2.5350659493724944e-16,2.5350659493724944e-16,0.3238042893350211,0.3238042893350211,0.3238042893350211,0.3238042893350211,0.3238042893350211,0.3238042893350211,0.3238042893350211,0.3238042893350211,1559.8539272421426,1559.8539272421426,1559.8539272421426,1559.8539272421426,162.4847840877232,162.4847840877232,162.4847840877232,162.4847840877232,110.29312266108553,110.29312266108553,110.29312266108553,110.29312266108553,31.40906003141917,31.40906003141917,31.40906003141917,31.40906003141917,31.40906003141917,31.40906003141917,31.40906003141917,31.40906003141917,1496.0831329049226,1496.0831329049226,1496.0831329049226,1496.0831329049226,155.84199301092946,155.84199301092946,155.84199301092946,155.84199301092946,105.78405939612635,105.78405939612635,105.78405939612635,105.78405939612635
family_velocity,trot,-1.0,1,1,1.0,True,1,1.0,True,31.417225472271795,31.417225472271795,31.417225472271795,31.417225472271795,31.417225472271795,31.417225472271795,31.417225472271795,31.417225472271795,2829.6308794260017,2829.6308794260017,2829.6308794260017,2829.6308794260017,289.92119666250017,289.92119666250017,289.92119666250017,289.92119666250017,297.5225328180631,297.5225328180631,297.5225328180631,297.5225328180631,31.417225472271806,31.417225472271806,31.417225472271806,31.417225472271806,31.417225472271806,31.417225472271806,31.417225472271806,31.417225472271806,2.829630879426002e-15,2.829630879426002e-15,2.829630879426002e-15,2.829630879426002e-15,2.899211966625002e-16,2.899211966625002e-16,2.899211966625002e-16,2.899211966625002e-16,2.9752253281806313e-16,2.9752253281806313e-16,2.9752253281806313e-16,2.9752253281806313e-16,-3.36837143205408,3.36837143205408,-3.36837143205408,3.36837143205408,-3.36837143205408,3.36837143205408,-3.36837143205408,3.36837143205408,881.0114994381578,881.0114994381578,881.0114994381578,881.0114994381578,90.26757166374567,90.26757166374567,90.26757166374567,90.26757166374567,92.6342635926606,92.6342635926606,92.6342635926606,92.6342635926606,29.021345527705122,29.021345527705122,29.021345527705122,29.021345527705122,29.021345527705122,29.021345527705122,29.021345527705122,29.021345527705122,1486.884725248662,1486.884725248662,1486.884725248662,1486.884725248662,152.3447464394121,152.3447464394121,152.3447464394121,152.3447464394121,156.3390167533831,156.3390167533831,156.3390167533831,156.3390167533831
family_velocity,trot,-0.5,1,1,1.0,True,0,0.0,False,19.780868949362322,19.780868949362322,19.780868949362322,19.780868949362322,,,,,2225.104604556471,2225.104604556471,,,230.34209156899283,230.34209156899283,,,477.78779367165447,477.78779367165447,,,19.780868949362322,19.780868949362322,19.780868949362322,19.780868949362322,,,,,2.2251046045564706e-15,2.2251046045564706e-15,,,2.303420915689928e-16,2.303420915689928e-16,,,4.777877936716545e-16,4.777877936716545e-16,,,20.303099544731833,20.303099544731833,20.303099544731833,20.303099544731833,,,,,466.5805631599467,466.5805631599467,,,48.3002653374686,48.3002653374686,,,100.1869743048349,100.1869743048349,,,20.523530169352334,20.523530169352334,20.523530169352334,20.523530169352334,,,,,1449.0354779255567,1449.0354779255567,,,150.0036726631011,150.0036726631011,,,311.14558054137206,311.14558054137206,,
family_velocity,trot,0.5,1,1,1.0,True,0,0.0,False,-20.01284042193388,20.01284042193388,-20.01284042193388,20.01284042193388,,,,,2190.6435874799954,2190.6435874799954,,,226.77469849689393,226.77469849689393,,,459.54271026935726,459.54271026935726,,,-20.012840421933873,20.012840421933873,-20.012840421933873,20.012840421933873,,,,,2.1906435874799947e-15,2.1906435874799947e-15,,,2.2677469849689386e-16,2.2677469849689386e-16,,,4.595427102693571e-16,4.595427102693571e-16,,,-7.600694810098182,7.600694810098182,-7.600694810098182,7.600694810098182,,,,,399.2517135750648,399.2517135750648,,,41.33040513199428,41.33040513199428,,,83.7531105400074,83.7531105400074,,,7.23505036012488,7.23505036012488,7.23505036012488,7.23505036012488,,,,,1484.2245328211784,1484.2245328211784,,,153.64643196906607,153.64643196906607,,,311.35350741629645,311.35350741629645,,
family_velocity,trot,1.0,1,1,1.0,True,0,0.0,False,-22.573438910826656,22.573438910826656,-22.573438910826656,22.573438910826656,,,,,2770.108623914075,2770.108623914075,,,283.822604909229,283.822604909229,,,288.735080158633,288.735080158633,,,-22.573438910826653,22.573438910826653,-22.573438910826653,22.573438910826653,,,,,2.7701086239140748e-15,2.7701086239140748e-15,,,2.83822604909229e-16,2.83822604909229e-16,,,2.88735080158633e-16,2.88735080158633e-16,,,-3.7715014479224505,3.7715014479224505,-3.7715014479224505,3.7715014479224505,,,,,697.4269379709413,697.4269379709413,,,71.45767807079316,71.45767807079316,,,72.69448609394169,72.69448609394169,,,1.627972744241047,1.627972744241047,1.627972744241047,1.627972744241047,,,,,1527.793166589618,1527.793166589618,,,156.5361851013953,156.5361851013953,,,159.24555398761441,159.24555398761441,,
family_velocity,trot,1.5,1,1,1.0,True,0,0.0,False,-15.322255532172493,15.322255532172493,-15.322255532172493,15.322255532172493,,,,,3452.850038756558,3452.850038756558,,,359.6718790371415,359.6718790371415,,,240.67142248888314,240.67142248888314,,,-15.322255532172502,15.322255532172502,-15.322255532172502,15.322255532172502,,,,,3.4528500387565585e-15,3.4528500387565585e-15,,,3.596718790371415e-16,3.596718790371415e-16,,,2.4067142248888314e-16,2.4067142248888314e-16,,,-0.5592968360947008,0.5592968360947008,-0.5592968360947008,0.5592968360947008,,,,,1273.6281953971543,1273.6281953971543,,,132.6696036872036,132.6696036872036,,,88.77475304967734,88.77475304967734,,,-4.360962042417006,4.360962042417006,-4.360962042417006,4.360962042417006,,,,,1541.189003033638,1541.189003033638,,,160.5405211493373,160.5405211493373,,,107.42434380900748,107.42434380900748,,
family,trot,,6,6,1.0,True,2,0.3333333333333333,False,4.647965042300549,23.950809997278228,4.647965042300549,23.950809997278228,33.007728084687,33.007728084687,,,2842.27193570664,2842.27193570664,3207.462379766369,,294.00009719764597,294.00009719764597,331.6946545868093,,336.2943557239734,336.2943557239734,275.51456387765626,,4.647965042300552,23.950809997278228,4.647965042300552,23.950809997278228,33.00772808468701,33.00772808468701,,,2.84227193570664e-15,2.84227193570664e-15,3.2074623797663692e-15,,2.9400009719764596e-16,2.9400009719764596e-16,3.3169465458680927e-16,,3.362943557239734e-16,3.362943557239734e-16,2.755145638776563e-16,,0.8878398846495733,5.987794726706045,0.8878398846495733,5.987794726706045,-1.5222835713595293,1.8460878606945506,,,879.6254727972346,879.6254727972346,1220.4327133401503,,91.08505132982141,91.08505132982141,126.37617787573444,,91.38945170703458,91.38945170703458,101.46369312687307,,14.242666131737591,15.696320145876593,14.242666131737591,15.696320145876593,30.215202779562148,30.215202779562148,,,1497.535006420596,1497.535006420596,1491.4839290767923,,154.81892505554023,154.81892505554023,154.09336972517076,,191.88201031729997,191.88201031729997,131.06153807475474,
family_velocity,bound,-1.5,1,1,1.0,True,0,0.0,False,15.587903248279192,15.587903248279192,15.587903248279192,15.587903248279192,,,,,6672.574234034313,6672.574234034313,,,695.059816045241,695.059816045241,,,485.183128222087,485.183128222087,,,15.587903248279195,15.587903248279195,15.587903248279195,15.587903248279195,,,,,6.672574234034314e-15,6.672574234034314e-15,,,6.95059816045241e-16,6.95059816045241e-16,,,4.85183128222087e-16,4.85183128222087e-16,,,-41.7330308286352,41.7330308286352,-41.7330308286352,41.7330308286352,,,,,3915.889309186452,3915.889309186452,,,407.9051363735888,407.9051363735888,,,284.73619897875534,284.73619897875534,,,42.35968377755799,42.35968377755799,42.35968377755799,42.35968377755799,,,,,1379.422679277139,1379.422679277139,,,143.68986242470197,143.68986242470197,,,100.30201046823352,100.30201046823352,,
family_velocity,bound,-1.0,1,1,1.0,True,0,0.0,False,17.992253873804835,17.992253873804835,17.992253873804835,17.992253873804835,,,,,6180.049700246969,6180.049700246969,,,633.2018135498944,633.2018135498944,,,666.794168379582,666.794168379582,,,17.992253873804852,17.992253873804852,17.992253873804852,17.992253873804852,,,,,6.180049700246969e-15,6.180049700246969e-15,,,6.332018135498944e-16,6.332018135498944e-16,,,6.667941683795819e-16,6.667941683795819e-16,,,-37.8261321323104,37.8261321323104,-37.8261321323104,37.8261321323104,,,,,3235.509299010844,3235.509299010844,,,331.50710030848813,331.50710030848813,,,349.0940747988037,349.0940747988037,,,33.99692310600153,33.99692310600153,33.99692310600153,33.99692310600153,,,,,1417.275478066314,1417.275478066314,,,145.21265144122071,145.21265144122071,,,152.91641161465685,152.91641161465685,,
family_velocity,bound,-0.5,1,1,1.0,True,0,0.0,False,28.833025773109533,28.833025773109533,28.833025773109533,28.833025773109533,,,,,5486.955998362162,5486.955998362162,,,568.0078673252756,568.0078673252756,,,1258.562755008784,1258.562755008784,,,28.833025773109533,28.833025773109533,28.833025773109533,28.833025773109533,,,,,5.486955998362162e-15,5.486955998362162e-15,,,5.680078673252755e-16,5.680078673252755e-16,,,1.258562755008784e-15,1.258562755008784e-15,,,-10.744274636991792,10.744274636991792,-10.744274636991792,10.744274636991792,,,,,2254.835125447558,2254.835125447558,,,233.4197852430184,233.4197852430184,,,517.1996109356344,517.1996109356344,,,31.693617773453905,31.693617773453905,31.693617773453905,31.693617773453905,,,,,1369.5784908407927,1369.5784908407927,,,141.7783116812415,141.7783116812415,,,314.14512511999,314.14512511999,,
