cell_id,gait_index,gait_name,family,velocity_mps,velocity_sign,seed,status,reason,relative_output_dir,sample_count,measurement_start_s,measurement_stop_s,measurement_duration_s,complete_cycles,phase_boundary_trimmed,gait_period_s,effort_limit_source,effort_limit_min_nm,effort_limit_max_nm,command_x_mean_mps,measured_x_mean_mps,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,signed_directed_progress_m,integrated_body_x_progress_m,position_vs_integrated_progress_difference_m,directed_progress_definition,positive_directed_progress,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_total_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_utilization_total_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_utilization_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_total_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_total_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,trot,-1.5,backward,42,valid,,cells/gait_00_trot/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.5480611734092236,0.06605689536067819,0.11830897283904447,0.425,0.05,True,False,False,14.815166473388672,14.861387264728547,-0.04622079133987533,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2876.1674726548094,1730.5191018042515,4606.686574459061,24.86924934729438,24.86924934729438,479.8631848394856,310.9439629135247,2.8761674726548092e-15,1.7305191018042516e-15,4.6066865744590605e-15,24.869249347294378,24.869249347294378,4.798631848394855e-16,3.1094396291352464e-16,1404.5701810420649,1603.644071680344,3008.2142527224087,-6.617676598603939,6.617676598603939,313.3556513252509,203.04964227879785,999.7905561637853,472.70714216109235,1472.4976983248775,35.79519442388985,35.79519442388985,153.38517690884143,99.39123539177304
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,trot,-1.0,backward,42,valid,,cells/gait_00_trot/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-1.0049742671554205,0.04848323103618191,0.09134617411886053,0.3,0.05,True,False,False,9.762874126434326,9.808548847436905,-0.04567472100257852,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2126.6027472444125,1192.5861255664943,3319.188872810907,28.13990578628723,28.13990578628723,340.0808271322651,339.98070955598473,2.1266027472444124e-15,1.1925861255664945e-15,3.3191888728109067e-15,28.13990578628722,28.13990578628722,3.4008082713226504e-16,3.3998070955598473e-16,776.8365372598605,953.193323928077,1730.0298611879375,-10.193857957290971,10.193857957290971,177.25715790860016,177.20497455801907,947.6721635834283,487.80022808886423,1435.4723916722926,32.036278660770606,32.036278660770606,147.07708931068572,147.03379077535718
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,trot,-0.5,backward,42,valid,,cells/gait_00_trot/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.4939788051150107,0.06103145732580776,0.1067036074335901,0.175,0.05,True,False,False,4.751107931137085,4.771835257411003,-0.020727326273918045,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1717.794503064871,1038.223800375699,2756.01830344057,24.657699182941073,24.657699182941073,285.302101805442,580.079077004039,1.7177945030648712e-15,1.038223800375699e-15,2.75601830344057e-15,24.657699182941087,24.657699182941087,2.8530210180544203e-16,5.800790770040391e-16,486.7909461990907,630.1766260825353,1116.967572281626,-12.83704947589044,12.83704947589044,115.62811307263209,235.09623196758267,900.2810517928206,559.8892241121148,1460.1702759049354,23.311789953383972,23.311789953383972,151.15634326138047,307.3325836981085
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,trot,0.5,forward,42,valid,,cells/gait_00_trot/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.4795877537371949,0.03587724038715254,0.08439706847425339,0.175,0.05,True,False,False,4.611046075820923,4.632817701101303,-0.02177162528038057,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1548.8058639171697,1177.355961717245,2726.1618256344145,13.625379781461923,13.625379781461923,282.2113691132934,591.224156255924,1.5488058639171699e-15,1.177355961717245e-15,2.726161825634415e-15,13.625379781461922,13.625379781461922,2.822113691132935e-16,5.912241562559242e-16,377.8820420760708,338.90085736277166,716.7828994388424,5.438353055550969,5.438353055550969,74.20112830629839,155.44908631415717,786.149229855561,690.7578577423187,1476.9070875978796,6.458860744475935,6.458860744475935,152.8889324635486,320.2976208245631
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,trot,1.0,forward,42,valid,,cells/gait_00_trot/vx_pos_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,0.9883765809115816,0.05591171565571034,0.10315294183933285,0.3,0.05,True,False,False,9.617522716522217,9.646555429697036,-0.02903271317481959,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1633.4129651875712,1437.718313405969,3071.13127859354,6.3720705508630315,6.3720705508630315,314.66509001982996,319.3266466964051,1.6334129651875711e-15,1.4377183134059696e-15,3.0711312785935407e-15,6.372070550863007,6.372070550863007,3.1466509001983e-16,3.1932664669640516e-16,665.3355189643405,588.0856650522654,1253.4211840166058,6.163120178368683,6.163120178368683,128.42430164104567,130.32682333708635,781.633693935879,758.0976806592942,1539.7313745951733,1.5285791836756566,1.5285791836756566,157.7593621511448,160.09646350510042
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,trot,1.5,forward,42,valid,,cells/gait_00_trot/vx_pos_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.4919512068231902,0.061324165641416926,0.07854644200939882,0.425,0.05,True,False,False,14.289456844329834,14.322731585502625,-0.03327474117279117,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2032.5129054519311,1891.1646540200918,3923.677559472023,3.6024430980730084,3.6024430980730084,408.7164124450024,274.58549350173297,2.0325129054519308e-15,1.8911646540200917e-15,3.923677559472023e-15,3.602443098073002,3.602443098073002,4.087164124450024e-16,2.745854935017329e-16,1027.9269734109369,890.2423671059727,1918.1693405169094,7.177917162822593,7.177917162822593,199.80930630384475,134.23668662941893,747.3092551303157,770.6602548265457,1517.9695099568614,-1.5383049226656484,1.5383049226656484,158.12182395383974,106.23003564752031
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,bound,-1.5,backward,42,valid,,cells/gait_01_bound/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.4926237478852271,0.041116072206938935,0.06912228494725323,0.425,0.05,True,False,False,14.227638244628906,14.329187979698181,-0.10154973506927512,commanded-sign world-x displacement across the same sample intervals as effort integration,True,4002.822583600837,1951.3276074921685,5954.150191093006,34.45487450379673,34.45487450379673,620.2239782388548,418.49181773656386,4.002822583600836e-15,1.9513276074921687e-15,5.9541501910930045e-15,34.454874503796724,34.454874503796724,6.202239782388546e-16,4.184918177365638e-16,1517.3670133379678,1496.3978352095962,3013.764848547564,0.6957801680671057,0.6957801680671057,313.93383839037125,211.8246750956923,941.0835494676189,487.9996474541741,1429.083196921793,31.70451538366524,31.70451538366524,148.86283301268676,100.44416173297687
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,-1.0,backward,42,valid,,cells/gait_01_bound/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9872642927726761,0.03095783084635293,0.05886147326191043,0.3,0.05,True,False,False,9.512805938720703,9.635699497461319,-0.12289355874061592,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3875.797656778415,2286.423920139514,6162.221576917929,25.792219847989227,25.792219847989227,631.37516156946,647.7816972840124,3.875797656778416e-15,2.286423920139514e-15,6.16222157691793e-15,25.792219847989244,25.792219847989244,6.313751615694601e-16,6.477816972840124e-16,1268.197770476552,1423.6919361211912,2691.8897065977435,-5.7763943769140145,5.7763943769140145,275.8083715776377,282.9753622578107,900.4860107152296,518.7211389535976,1419.2071496688272,26.899869539884786,26.899869539884786,145.41056861360934,149.18912030908984
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,-0.5,backward,42,valid,,cells/gait_01_bound/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.4822446802634877,0.03969882107243893,0.08593321882912627,0.175,0.05,True,False,False,4.5456860065460205,4.658483611345291,-0.1127976047992707,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3778.1784783169646,2095.50512734101,5873.683605657974,28.647667527666574,28.647667527666574,608.0417811240138,1292.1445953811085,3.778178478316964e-15,2.0955051273410103e-15,5.8736836056579744e-15,28.647667527666556,28.647667527666556,6.080417811240139e-16,1.2921445953811085e-15,1616.248028230865,1562.334702542377,3178.582730773242,1.6961435411615866,1.6961435411615866,329.0458313429857,699.2525938210251,854.1330543779641,520.2172485698535,1374.3503029478175,24.29626603144053,24.29626603144053,142.27228808983617,302.34167097522413
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,0.5,forward,42,valid,,cells/gait_01_bound/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.5015239298467064,0.05939005916602697,0.12117881442258131,0.175,0.05,True,False,False,5.060343265533447,4.844721162319184,0.21562210321426356,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2430.7641325492687,2584.00061342515,5014.7647459744185,-3.055706272141502,3.055706272141502,519.1267852975589,990.9929984652485,2.4307641325492692e-15,2.58400061342515e-15,5.014764745974419e-15,-3.055706272141496,3.055706272141496,5.191267852975589e-16,9.909929984652488e-16,1093.8530895815884,1414.3240477586255,2508.177137340214,-12.777046461593985,12.777046461593985,259.6456663913265,495.65355663195487,688.9328201151769,740.20262560606,1429.135445721237,-3.587470008135507,3.587470008135507,147.9436279214531,282.41867611140833
