cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,relative_output_dir
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,-1.5,42,valid,,True,0.06605689536067819,0.11830897283904447,0.425,0.05,True,False,False,cells/gait_00_trot/vx_neg_1p5/seed_0042
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,-1.0,42,valid,,True,0.04848323103618191,0.09134617411886053,0.3,0.05,True,False,False,cells/gait_00_trot/vx_neg_1p0/seed_0042
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,-0.5,42,valid,,True,0.06103145732580776,0.1067036074335901,0.175,0.05,True,False,False,cells/gait_00_trot/vx_neg_0p5/seed_0042
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,0.5,42,valid,,True,0.03587724038715254,0.08439706847425339,0.175,0.05,True,False,False,cells/gait_00_trot/vx_pos_0p5/seed_0042
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,1.0,42,valid,,True,0.05591171565571034,0.10315294183933285,0.3,0.05,True,False,False,cells/gait_00_trot/vx_pos_1p0/seed_0042
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,1.5,42,valid,,True,0.061324165641416926,0.07854644200939882,0.425,0.05,True,False,False,cells/gait_00_trot/vx_pos_1p5/seed_0042
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,-1.5,42,valid,,True,0.041116072206938935,0.06912228494725323,0.425,0.05,True,False,False,cells/gait_01_bound/vx_neg_1p5/seed_0042
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,-1.0,42,valid,,True,0.03095783084635293,0.05886147326191043,0.3,0.05,True,False,False,cells/gait_01_bound/vx_neg_1p0/seed_0042
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,-0.5,42,valid,,True,0.03969882107243893,0.08593321882912627,0.175,0.05,True,False,False,cells/gait_01_bound/vx_neg_0p5/seed_0042
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,0.5,42,valid,,True,0.05939005916602697,0.12117881442258131,0.175,0.05,True,False,False,cells/gait_01_bound/vx_pos_0p5/seed_0042
gait_01_bound__vx_pos_1p0__seed_0042,1,bound,1.0,42,valid,,True,0.059234999284685355,0.06632393177440678,0.3,0.05,True,False,False,cells/gait_01_bound/vx_pos_1p0/seed_0042
gait_01_bound__vx_pos_1p5__seed_0042,1,bound,1.5,42,valid,,True,0.07621087831159215,0.05994833867267717,0.425,0.05,True,False,False,cells/gait_01_bound/vx_pos_1p5/seed_0042
gait_02_half_bound__vx_neg_1p5__seed_0042,2,half_bound,-1.5,42,valid,,True,0.03386953791133018,0.09657051269351782,0.425,0.05,True,False,False,cells/gait_02_half_bound/vx_neg_1p5/seed_0042
gait_02_half_bound__vx_neg_1p0__seed_0042,2,half_bound,-1.0,42,valid,,True,0.035071656481139246,0.09088148058177296,0.3,0.05,True,False,False,cells/gait_02_half_bound/vx_neg_1p0/seed_0042
gait_02_half_bound__vx_neg_0p5__seed_0042,2,half_bound,-0.5,42,valid,,True,0.04968189961895509,0.0838744714677295,0.175,0.05,True,False,False,cells/gait_02_half_bound/vx_neg_0p5/seed_0042
gait_02_half_bound__vx_pos_0p5__seed_0042,2,half_bound,0.5,42,valid,,True,0.06700424625599662,0.07583278731735403,0.175,0.05,True,False,False,cells/gait_02_half_bound/vx_pos_0p5/seed_0042
gait_02_half_bound__vx_pos_1p0__seed_0042,2,half_bound,1.0,42,valid,,True,0.07369124252216445,0.08388541272334268,0.3,0.05,True,False,False,cells/gait_02_half_bound/vx_pos_1p0/seed_0042
