positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_4242,gait_00_trot__vx_neg_0p5__seed_4242,0,0,trot,0.5,0.009845294752476379,0.021095898395739728,0.009845294752476379,-0.021095898395739728,-0.005625301821631674,0.030941193148216105,0.5098452947524764,-0.4789041016042603,0.03094119314821614,0.030941162207053934,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_4242,gait_00_trot__vx_neg_1p0__seed_4242,0,0,trot,1.0,0.016076007827383575,0.014981610242460594,0.016076007827383575,-0.014981610242460594,0.0005471987924614901,0.031057618069844167,1.0160760078273836,-0.9850183897575394,0.031057618069844195,0.015528801270521461,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_4242,gait_00_trot__vx_neg_1p5__seed_4242,0,0,trot,1.5,0.017761368304491043,0.00809276153643926,0.017761368304491043,-0.00809276153643926,0.004834303384025892,0.0258541298409303,1.517761368304491,-1.4919072384635608,0.025854129840930273,0.008618040407629955,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_4242,gait_01_bound__vx_neg_0p5__seed_4242,1,1,bound,0.5,2.4854828358683773e-05,0.016656952491704968,2.4854828358683773e-05,-0.016656952491704968,-0.008316048831673141,0.016681807320063653,0.5000248548283587,-0.48334304750829504,0.016681807320063635,0.016681790638273,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_4242,gait_01_bound__vx_neg_1p0__seed_4242,1,1,bound,1.0,-0.0034090425880228888,0.031983009371601166,-0.0034090425880228888,-0.031983009371601166,-0.017696025979812027,0.028573966783578278,0.9965909574119771,-0.9680169906283989,0.028573966783578264,0.014286976248301006,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_4242,gait_01_bound__vx_neg_1p5__seed_4242,1,1,bound,1.5,-0.0044657068947951,0.020692279934883116,-0.0044657068947951,-0.020692279934883116,-0.012578993414839108,0.016226573040088017,1.495534293105205,-1.4793077200651168,0.01622657304008812,0.005408855877077415,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_4242,gait_03_half_bound__vx_neg_0p5__seed_4242,2,3,half_bound,0.5,0.005733291431490185,0.026529050021438124,0.005733291431490185,-0.026529050021438124,-0.01039787929497397,0.032262341452928306,0.5057332914314902,-0.4734709499785619,0.03226234145292828,0.03226230919061909,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_4242,gait_03_half_bound__vx_neg_1p0__seed_4242,2,3,half_bound,1.0,0.013729784332337926,0.03299104703254387,0.013729784332337926,-0.03299104703254387,-0.009630631350102973,0.046720831364881796,1.0137297843323378,-0.9670089529674561,0.0467208313648817,0.023360404002238846,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_4242,gait_03_half_bound__vx_neg_1p5__seed_4242,2,3,half_bound,1.5,-0.0016949132084846496,0.027563173323869705,-0.0016949132084846496,-0.027563173323869705,-0.014629043266177177,0.025868260115385056,1.4983050867915153,-1.4724368266761303,0.02586826011538501,0.008622750497544837,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_4242,gait_02_half_bound__vx_neg_0p5__seed_4242,3,2,half_bound,0.5,-0.01114993553230728,0.03618721488099661,-0.01114993553230728,-0.03618721488099661,-0.023668575206651946,0.02503727934868933,0.48885006446769275,-0.46381278511900337,0.02503727934868938,0.02503725431143507,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_4242,gait_02_half_bound__vx_neg_1p0__seed_4242,3,2,half_bound,1.0,-0.000391848873896677,0.04378785034183596,-0.000391848873896677,-0.04378785034183596,-0.022089849607866318,0.04339600146793928,0.9996081511261034,-0.956212149658164,0.043396001467939316,0.021697989884974712,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_4242,gait_02_half_bound__vx_neg_1p5__seed_4242,3,2,half_bound,1.5,-0.005090297758579254,0.03641308943430583,-0.005090297758579254,-0.03641308943430583,-0.020751693596442543,0.031322791675726575,1.4949097022414208,-1.4635869105656942,0.0313227916757266,0.010440927078266507,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_4242,gait_05_half_bound__vx_neg_0p5__seed_4242,4,5,half_bound,0.5,-0.007622221241826596,0.023400248269363468,-0.007622221241826596,-0.023400248269363468,-0.015511234755595031,0.015778027027536872,0.4923777787581734,-0.4765997517306365,0.01577802702753689,0.01577801124952564,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p0__seed_4242,gait_05_half_bound__vx_neg_1p0__seed_4242,4,5,half_bound,1.0,-0.0012238030550909824,0.01506186924019798,-0.0012238030550909824,-0.01506186924019798,-0.00814283614764448,0.013838066185106997,0.998776196944909,-0.984938130759802,0.013838066185107079,0.006919029633038722,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p5__seed_4242,gait_05_half_bound__vx_neg_1p5__seed_4242,4,5,half_bound,1.5,0.008399775624275208,0.0018211863934993744,0.008399775624275208,-0.0018211863934993744,0.0032892946153879167,0.010220962017774582,1.5083997756242753,-1.4981788136065006,0.01022096201777467,0.0034069862035961554,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_0p5__seed_4242,gait_04_half_bound__vx_neg_0p5__seed_4242,5,4,half_bound,0.5,-0.011995868529839051,0.03229803112229452,-0.011995868529839051,-0.03229803112229452,-0.022146949826066784,0.02030216259245547,0.488004131470161,-0.4677019688777055,0.020302162592455486,0.020302142290313196,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p0__seed_4242,gait_04_half_bound__vx_neg_1p0__seed_4242,5,4,half_bound,1.0,-0.010193359289990097,0.035690160193404215,-0.010193359289990097,-0.035690160193404215,-0.022941759741697154,0.025496800903414118,0.9898066407100099,-0.9643098398065958,0.025496800903414107,0.012748394077510014,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p5__seed_4242,gait_04_half_bound__vx_neg_1p5__seed_4242,5,4,half_bound,1.5,-0.012423985948165258,0.03199941416581472,-0.012423985948165258,-0.03199941416581472,-0.02221170005698999,0.01957542821764946,1.4875760140518348,-1.4680005858341854,0.01957542821764946,0.006525140564169632,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_0p5__seed_4242,gait_08_gallop__vx_neg_0p5__seed_4242,6,8,gallop,0.5,0.017159531760660016,0.04002538348083417,0.017159531760660016,-0.04002538348083417,-0.011432925860087076,0.05718491524149419,0.51715953176066,-0.4599746165191658,0.05718491524149416,0.05718485805663611,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_1p0__seed_4242,gait_08_gallop__vx_neg_1p0__seed_4242,6,8,gallop,1.0,0.0176830135407995,0.0329793783240631,0.0176830135407995,-0.0329793783240631,-0.0076481823916318,0.0506623918648626,1.0176830135407995,-0.9670206216759369,0.050662391864862544,0.025331183266839637,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_1p5__seed_4242,gait_08_gallop__vx_neg_1p5__seed_4242,6,8,gallop,1.5,0.012380313376585643,0.017974259952704113,0.012380313376585643,-0.017974259952704113,-0.002796973288059235,0.030354573329289758,1.5123803133765856,-1.4820257400472958,0.030354573329289813,0.010118187737034025,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_0p5__seed_4242,gait_09_gallop__vx_neg_0p5__seed_4242,7,9,gallop,0.5,0.003106898155765257,0.019643564401946454,0.003106898155765257,-0.019643564401946454,-0.0082683331230906,0.02275046255771171,0.5031068981557653,-0.4803564355980535,0.022750462557711737,0.02275043980727193,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_1p0__seed_4242,gait_09_gallop__vx_neg_1p0__seed_4242,7,9,gallop,1.0,-5.418355347680264e-05,0.028203442570615987,-5.418355347680264e-05,-0.028203442570615987,-0.014128813062046395,0.028149259017139185,0.9999458164465233,-0.971796557429384,0.028149259017139272,0.014074622471258399,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_1p5__seed_4242,gait_09_gallop__vx_neg_1p5__seed_4242,7,9,gallop,1.5,0.006585134069124857,0.021348884453376134,0.006585134069124857,-0.021348884453376134,-0.007381875192125638,0.027934018522500992,1.5065851340691248,-1.4786511155466238,0.027934018522500992,0.009311336403721528,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_0p5__seed_4242,gait_06_gallop__vx_neg_0p5__seed_4242,8,6,gallop,0.5,0.01580976471150637,0.038605872827040234,0.01580976471150637,-0.038605872827040234,-0.011398054057766931,0.054415637538546606,0.5158097647115064,-0.46139412717295974,0.05441563753854667,0.05441558312296355,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_1p0__seed_4242,gait_06_gallop__vx_neg_1p0__seed_4242,8,6,gallop,1.0,0.02034074861983784,0.029437665690164098,0.02034074861983784,-0.029437665690164098,-0.004548458535163129,0.049778414310001934,1.020340748619838,-0.9705623343098359,0.04977841431000207,0.02488919471040368,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_1p5__seed_4242,gait_06_gallop__vx_neg_1p5__seed_4242,8,6,gallop,1.5,-0.000576034684975942,0.019282894333203633,-0.000576034684975942,-0.019282894333203633,-0.009929464509089788,0.01870685964822769,1.499423965315024,-1.4807171056667963,0.018706859648227825,0.00623561780420334,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_0p5__seed_4242,gait_07_gallop__vx_neg_0p5__seed_4242,9,7,gallop,0.5,-0.011961850813950565,0.027212454357009003,-0.011961850813950565,-0.027212454357009003,-0.019587152585479783,0.015250603543058438,0.48803814918604943,-0.47278754564299097,0.01525060354305846,0.01525058829247017,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_1p0__seed_4242,gait_07_gallop__vx_neg_1p0__seed_4242,9,7,gallop,1.0,-0.009716445549589689,0.035263461045554424,-0.009716445549589689,-0.035263461045554424,-0.022489953297572057,0.025547015495964734,0.9902835544504103,-0.9647365389544456,0.02554701549596472,0.012773501361231678,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_1p5__seed_4242,gait_07_gallop__vx_neg_1p5__seed_4242,9,7,gallop,1.5,-0.005660457909107209,0.04139697179198265,-0.005660457909107209,-0.04139697179198265,-0.02352871485054493,0.035736513882875444,1.4943395420908927,-1.4586030282080173,0.035736513882875354,0.011912167323569343,1e-06,abs(mean_vx_pos + mean_vx_neg)
