positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_4242,gait_00_trot__vx_neg_0p5__seed_4242,0,0,trot,0.5,-0.0037064842926049085,0.011700804991258104,-0.0037064842926049085,-0.011700804991258104,-0.007703644641931506,0.007994320698653195,0.4962935157073951,-0.4882991950087419,0.00799432069865319,0.007994312704340487,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_4242,gait_00_trot__vx_neg_1p0__seed_4242,0,0,trot,1.0,-0.004093671919869595,0.01749919354915619,-0.004093671919869595,-0.01749919354915619,-0.010796432734512891,0.013405521629286595,0.9959063280801304,-0.9825008064508438,0.013405521629286543,0.00670275746326454,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_4242,gait_00_trot__vx_neg_1p5__seed_4242,0,0,trot,1.5,0.0040567837655544284,0.004317955424388249,0.0040567837655544284,-0.004317955424388249,-0.0001305858294169105,0.008374739189942679,1.5040567837655545,-1.4956820445756118,0.008374739189942693,0.002791578799454631,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_4242,gait_01_bound__vx_neg_0p5__seed_4242,1,1,bound,0.5,0.011658989864846935,0.009768770656723907,0.011658989864846935,-0.009768770656723907,0.0009451096040615139,0.021427760521570843,0.5116589898648469,-0.4902312293432761,0.021427760521570804,0.02142773909383171,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_4242,gait_01_bound__vx_neg_1p0__seed_4242,1,1,bound,1.0,-0.007510654750417491,0.013540875838428248,-0.007510654750417491,-0.013540875838428248,-0.01052576529442287,0.006030221088010757,0.9924893452495825,-0.9864591241615718,0.006030221088010768,0.0030151090364508655,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_4242,gait_01_bound__vx_neg_1p5__seed_4242,1,1,bound,1.5,-0.003603770583868027,0.024812362591425576,-0.003603770583868027,-0.024812362591425576,-0.014208066587646801,0.02120859200755755,1.496396229416132,-1.4751876374085744,0.021208592007557536,0.007069528312676408,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_4242,gait_03_half_bound__vx_neg_0p5__seed_4242,2,3,half_bound,0.5,0.012649564084058963,0.012523617433465046,0.012649564084058963,-0.012523617433465046,6.297332529695866e-05,0.02517318151752401,0.5126495640840589,-0.48747638256653497,0.025173181517523957,0.025173156344367616,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_4242,gait_03_half_bound__vx_neg_1p0__seed_4242,2,3,half_bound,1.0,0.012937982062824437,-0.004405747427315009,0.012937982062824437,0.004405747427315009,0.008671864745069723,0.00853223463550943,1.0129379820628244,-1.004405747427315,0.00853223463550945,0.004266115184697133,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_4242,gait_03_half_bound__vx_neg_1p5__seed_4242,2,3,half_bound,1.5,0.013135238240162531,0.01814980333050092,0.013135238240162531,-0.01814980333050092,-0.002507282545169195,0.031285041570663454,1.5131352382401626,-1.481850196669499,0.031285041570663585,0.010428343714106622,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_4242,gait_02_half_bound__vx_neg_0p5__seed_4242,3,2,half_bound,0.5,-0.001275823908562986,0.015040438737928498,-0.001275823908562986,-0.015040438737928498,-0.008158131323245742,0.013764614829365512,0.498724176091437,-0.4849595612620715,0.013764614829365474,0.01376460106476441,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_4242,gait_02_half_bound__vx_neg_1p0__seed_4242,3,2,half_bound,1.0,-0.004683689260091938,0.025358665795599828,-0.004683689260091938,-0.025358665795599828,-0.015021177527845883,0.02067497653550789,0.9953163107399081,-0.9746413342044001,0.020674976535507983,0.01033748309901244,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_4242,gait_02_half_bound__vx_neg_1p5__seed_4242,3,2,half_bound,1.5,-0.019352317104736963,0.03413047268986702,-0.019352317104736963,-0.03413047268986702,-0.02674139489730199,0.014778155585130057,1.480647682895263,-1.465869527310133,0.01477815558513007,0.004926050219693283,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_4242,gait_05_half_bound__vx_neg_0p5__seed_4242,4,5,half_bound,0.5,0.0005862047089799838,0.017139699148095173,0.0005862047089799838,-0.017139699148095173,-0.008276747219557595,0.017725903857075155,0.50058620470898,-0.48286030085190484,0.01772590385707512,0.01772588613118899,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p0__seed_4242,gait_05_half_bound__vx_neg_1p0__seed_4242,4,5,half_bound,1.0,-0.003273284215419019,0.027739491496906906,-0.003273284215419019,-0.027739491496906906,-0.015506387856162963,0.024466207281487885,0.9967267157845809,-0.9722605085030931,0.02446620728148785,0.012233097524195163,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p5__seed_4242,gait_05_half_bound__vx_neg_1p5__seed_4242,4,5,half_bound,1.5,-0.001455911248922348,0.029459814230600994,-0.001455911248922348,-0.029459814230600994,-0.015457862739761671,0.028003902981678645,1.4985440887510777,-1.470540185769399,0.028003902981678763,0.009334631215682515,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_0p5__seed_4242,gait_04_half_bound__vx_neg_0p5__seed_4242,5,4,half_bound,0.5,0.011032334025602162,0.005336159134503477,0.011032334025602162,-0.005336159134503477,0.0028480874455493427,0.01636849316010564,0.5110323340256021,-0.49466384086549653,0.01636849316010558,0.01636847679162879,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p0__seed_4242,gait_04_half_bound__vx_neg_1p0__seed_4242,5,4,half_bound,1.0,-0.001333803915586628,0.00614420764270376,-0.001333803915586628,-0.00614420764270376,-0.0037390057791451938,0.004810403727117132,0.9986661960844134,-0.9938557923572963,0.004810403727117163,0.002405200660958251,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p5__seed_4242,gait_04_half_bound__vx_neg_1p5__seed_4242,5,4,half_bound,1.5,-0.011340880890687306,0.016652636229991913,-0.011340880890687306,-0.016652636229991913,-0.01399675856033961,0.005311755339304607,1.4886591191093126,-1.483347363770008,0.0053117553393045025,0.0017705845229066598,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_0p5__seed_4242,gait_08_gallop__vx_neg_0p5__seed_4242,6,8,gallop,0.5,-0.0146536606192342,0.01739766786557547,-0.0146536606192342,-0.01739766786557547,-0.016025664242404834,0.0027440072463412717,0.4853463393807658,-0.48260233213442455,0.0027440072463412735,0.0027440045023367715,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_1p0__seed_4242,gait_08_gallop__vx_neg_1p0__seed_4242,6,8,gallop,1.0,-0.020156731493160374,0.019474358832249877,-0.020156731493160374,-0.019474358832249877,-0.019815545162705124,-0.000682372660910497,0.9798432685068397,-0.9805256411677501,0.0006823726609104241,0.0003411861598621321,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_1p5__seed_4242,gait_08_gallop__vx_neg_1p5__seed_4242,6,8,gallop,1.5,-0.023555678874254228,0.02393702839811643,-0.023555678874254228,-0.02393702839811643,-0.02374635363618533,0.0003813495238622032,1.4764443211257459,-1.4760629716018836,0.0003813495238622622,0.0001271164655819322,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_0p5__seed_4242,gait_09_gallop__vx_neg_0p5__seed_4242,7,9,gallop,0.5,0.011547567619793657,0.01083359554194022,0.011547567619793657,-0.01083359554194022,0.00035698603892671873,0.02238116316173388,0.5115475676197937,-0.48916640445805976,0.02238116316173394,0.022381140780593164,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_1p0__seed_4242,gait_09_gallop__vx_neg_1p0__seed_4242,7,9,gallop,1.0,0.01450021662673012,0.019274230618945887,0.01450021662673012,-0.019274230618945887,-0.0023870069961078834,0.033774447245676006,1.01450021662673,-0.9807257693810542,0.03377444724567591,0.016887215179230364,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_1p5__seed_4242,gait_09_gallop__vx_neg_1p5__seed_4242,7,9,gallop,1.5,0.011232502510150273,0.019188791513442993,0.011232502510150273,-0.019188791513442993,-0.00397814450164636,0.030421294023593268,1.5112325025101503,-1.480811208486557,0.03042129402359328,0.010140427961055106,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_0p5__seed_4242,gait_06_gallop__vx_neg_0p5__seed_4242,8,6,gallop,0.5,0.00938566081518959,0.008176737258646552,0.00938566081518959,-0.008176737258646552,0.000604461778271519,0.017562398073836142,0.5093856608151895,-0.49182326274135346,0.017562398073836083,0.01756238051145557,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_1p0__seed_4242,gait_06_gallop__vx_neg_1p0__seed_4242,8,6,gallop,1.0,0.011938121597297856,0.012046802361480525,0.011938121597297856,-0.012046802361480525,-5.434038209133421e-05,0.02398492395877838,1.0119381215972978,-0.9879531976385195,0.02398492395877827,0.011992455983161144,1e-06,abs(mean_vx_pos + mean_vx_neg)
