scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_valid_cells,torque_squared_coverage_fraction,torque_squared_complete,torque_squared_tracking_success_cells,torque_squared_tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_valid_cells,normalized_torque_utilization_coverage_fraction,normalized_torque_utilization_complete,normalized_torque_utilization_tracking_success_cells,normalized_torque_utilization_tracking_qualified_complete,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_valid_cells,absolute_work_coverage_fraction,absolute_work_complete,absolute_work_tracking_success_cells,absolute_work_tracking_qualified_complete,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_valid_cells,vertical_grf_impulse_coverage_fraction,vertical_grf_impulse_complete,vertical_grf_impulse_tracking_success_cells,vertical_grf_impulse_tracking_qualified_complete,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,25.46473016582046,25.46473016582046,25.46473016582046,25.46473016582046,25.46473016582046,25.46473016582046,25.46473016582046,25.46473016582046,2935.431130051108,2935.431130051108,2935.431130051108,2935.431130051108,305.7740760469905,305.7740760469905,305.7740760469905,305.7740760469905,205.21316494940055,205.21316494940055,205.21316494940055,205.21316494940055,1,1.0,True,1,True,26.891088088602128,26.891088088602128,26.891088088602128,26.891088088602128,26.891088088602128,26.891088088602128,26.891088088602128,26.891088088602128,3.8548623331434806,3.8548623331434806,3.8548623331434806,3.8548623331434806,0.40154815970244584,0.40154815970244584,0.40154815970244584,0.40154815970244584,0.2694897154050522,0.2694897154050522,0.2694897154050522,0.2694897154050522,1,1.0,True,1,True,7.60589542985623,7.60589542985623,7.60589542985623,7.60589542985623,7.60589542985623,7.60589542985623,7.60589542985623,7.60589542985623,1205.5107568558096,1205.5107568558096,1205.5107568558096,1205.5107568558096,125.5740371724802,125.5740371724802,125.5740371724802,125.5740371724802,84.27609670768217,84.27609670768217,84.27609670768217,84.27609670768217,1,1.0,True,1,True,27.757091963245177,27.757091963245177,27.757091963245177,27.757091963245177,27.757091963245177,27.757091963245177,27.757091963245177,27.757091963245177,1462.7033914905787,1462.7033914905787,1462.7033914905787,1462.7033914905787,152.36493661360197,152.36493661360197,152.36493661360197,152.36493661360197,102.25618624708717,102.25618624708717,102.25618624708717,102.25618624708717
family_velocity,trot,-1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,20.509069292386645,20.509069292386645,20.509069292386645,20.509069292386645,,,,,2441.8753120237297,2441.8753120237297,,,250.19214262538216,250.19214262538216,,,255.6939746484778,255.6939746484778,,,1,1.0,True,0,False,23.221574318107802,23.221574318107802,23.221574318107802,23.221574318107802,,,,,3.0979249472060966,3.0979249472060966,,,0.3174103429514443,0.3174103429514443,,,0.3243903318950893,0.3243903318950893,,,1,1.0,True,0,False,9.039722613447392,9.039722613447392,9.039722613447392,9.039722613447392,,,,,813.2715704688412,813.2715704688412,,,83.32700517098783,83.32700517098783,,,85.15940158690903,85.15940158690903,,,1,1.0,True,0,False,23.685982411515866,23.685982411515866,23.685982411515866,23.685982411515866,,,,,1458.0075222533942,1458.0075222533942,,,149.3860166243232,149.3860166243232,,,152.671078902626,152.671078902626,,
family_velocity,trot,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,6.603330270926151,6.603330270926151,6.603330270926151,6.603330270926151,,,,,1792.7533669584157,1792.7533669584157,,,185.58523467478423,185.58523467478423,,,381.25444821024416,381.25444821024416,,,1,1.0,True,0,False,12.160716222254353,12.160716222254353,12.160716222254353,12.160716222254353,,,,,2.178183696329298,2.178183696329298,,,0.2254848546924739,0.2254848546924739,,,0.46322167820189586,0.46322167820189586,,,1,1.0,True,0,False,4.482244188674216,4.482244188674216,4.482244188674216,4.482244188674216,,,,,468.16186949652274,468.16186949652274,,,48.463961645602765,48.463961645602765,,,99.56126621633243,99.56126621633243,,,1,1.0,True,0,False,18.499057028099696,18.499057028099696,18.499057028099696,18.499057028099696,,,,,1449.116669986844,1449.116669986844,,,150.01207763838966,150.01207763838966,,,308.17522732948015,308.17522732948015,,
family_velocity,trot,0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,-0.6472486975234439,0.6472486975234439,-0.6472486975234439,0.6472486975234439,-0.6472486975234439,0.6472486975234439,-0.6472486975234439,0.6472486975234439,1788.192200429031,1788.192200429031,1788.192200429031,1788.192200429031,185.11306422660775,185.11306422660775,185.11306422660775,185.11306422660775,373.6861619798068,373.6861619798068,373.6861619798068,373.6861619798068,1,1.0,True,1,True,8.12885822611393,8.12885822611393,8.12885822611393,8.12885822611393,8.12885822611393,8.12885822611393,8.12885822611393,8.12885822611393,1.9001675864324432,1.9001675864324432,1.9001675864324432,1.9001675864324432,0.19670471909238543,0.19670471909238543,0.19670471909238543,0.19670471909238543,0.39708613667032566,0.39708613667032566,0.39708613667032566,0.39708613667032566,1,1.0,True,1,True,7.056476060832823,7.056476060832823,7.056476060832823,7.056476060832823,7.056476060832823,7.056476060832823,7.056476060832823,7.056476060832823,487.3621561052798,487.3621561052798,487.3621561052798,487.3621561052798,50.4515689549979,50.4515689549979,50.4515689549979,50.4515689549979,101.84615141789027,101.84615141789027,101.84615141789027,101.84615141789027,1,1.0,True,1,True,8.158921569271898,8.158921569271898,8.158921569271898,8.158921569271898,8.158921569271898,8.158921569271898,8.158921569271898,8.158921569271898,1482.385347636342,1482.385347636342,1482.385347636342,1482.385347636342,153.45604012798574,153.45604012798574,153.45604012798574,153.45604012798574,309.7803977673211,309.7803977673211,309.7803977673211,309.7803977673211
family_velocity,trot,1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,0.13434500633218546,0.13434500633218546,0.13434500633218546,0.13434500633218546,,,,,2274.3715191619576,2274.3715191619576,,,233.02986876659403,233.02986876659403,,,234.6441203474434,234.6441203474434,,,1,1.0,True,0,False,10.736324281159789,10.736324281159789,10.736324281159789,10.736324281159789,,,,,2.5256255704766906,2.5256255704766906,,,0.2587731117291691,0.2587731117291691,,,0.260565692684139,0.260565692684139,,,1,1.0,True,0,False,6.298649104051759,6.298649104051759,6.298649104051759,6.298649104051759,,,,,820.1305117435719,820.1305117435719,,,84.02976554749712,84.02976554749712,,,84.61185909023226,84.61185909023226,,,1,1.0,True,0,False,6.088986668843108,6.088986668843108,6.088986668843108,6.088986668843108,,,,,1521.1874458265304,1521.1874458265304,,,155.85936944943958,155.85936944943958,,,156.93904320480675,156.93904320480675,,
family_velocity,trot,1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,1.8122237653786697,1.8122237653786697,1.8122237653786697,1.8122237653786697,,,,,2809.809911135392,2809.809911135392,,,292.6885324099367,292.6885324099367,,,195.0632194462585,195.0632194462585,,,1,1.0,True,0,False,12.77617120797092,12.77617120797092,12.77617120797092,12.77617120797092,,,,,3.259678147546711,3.259678147546711,,,0.33954980703611576,0.33954980703611576,,,0.22629406754499806,0.22629406754499806,,,1,1.0,True,0,False,10.215441741603998,10.215441741603998,10.215441741603998,10.215441741603998,,,,,1231.4484158634111,1231.4484158634111,,,128.27587665243865,128.27587665243865,,,85.4898730438485,85.4898730438485,,,1,1.0,True,0,False,4.9511693799520495,4.9511693799520495,4.9511693799520495,4.9511693799520495,,,,,1518.4566123890877,1518.4566123890877,,,158.17256379052998,158.17256379052998,,,105.41461692061151,105.41461692061151,,
family,trot,,6,6,1.0,True,2,0.3333333333333333,False,6,1.0,True,2,False,8.979408300553445,9.195157866394593,8.979408300553445,9.195157866394593,12.408740734148507,13.055989431671952,,,2340.4055732932725,2340.4055732932725,2361.8116652400695,,242.0638197917159,242.0638197917159,245.4435701367991,,274.2591815969385,274.2591815969385,289.44966346460365,,6,1.0,True,2,False,15.652455390701485,15.652455390701485,15.652455390701485,15.652455390701485,17.50997315735803,17.50997315735803,,,2.8027403801891198,2.8027403801891198,2.8775149597879617,,0.2899118325340057,0.2899118325340057,0.2991264393974156,,0.32350793706691666,0.32350793706691666,0.3332879260376889,,6,1.0,True,2,False,7.449738189744402,7.449738189744402,7.449738189744402,7.449738189744402,7.331185745344527,7.331185745344527,,,837.6475467555728,837.6475467555728,846.4364564805447,,86.68703585733408,86.68703585733408,88.01280306373906,,90.15744134381578,90.15744134381578,93.06112406278622,,6,1.0,True,2,False,14.856868170154632,14.856868170154632,14.856868170154632,14.856868170154632,17.95800676625854,17.95800676625854,,,1481.9761649304628,1481.9761649304628,1472.5443695634604,,153.20850070737836,153.20850070737836,152.91048837079387,,189.20609172865545,189.20609172865545,206.01829200720414,
family_velocity,bound,-1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,37.03090662492028,37.03090662492028,37.03090662492028,37.03090662492028,,,,,6140.446963826341,6140.446963826341,,,639.6298920652439,639.6298920652439,,,435.5702058176417,435.5702058176417,,,1,1.0,True,0,False,43.97257808698275,43.97257808698275,43.97257808698275,43.97257808698275,,,,,8.006743563808465,8.006743563808465,,,0.8340357878967152,0.8340357878967152,,,0.5679552258267435,0.5679552258267435,,,1,1.0,True,0,False,-20.566071007153774,20.566071007153774,-20.566071007153774,20.566071007153774,,,,,3013.426582364788,3013.426582364788,,,313.89860232966544,313.89860232966544,,,213.75623703442574,213.75623703442574,,,1,1.0,True,0,False,55.84329521615934,55.84329521615934,55.84329521615934,55.84329521615934,,,,,1455.986003180556,1455.986003180556,,,151.66520866464123,151.66520866464123,,,103.27979816599156,103.27979816599156,,
family_velocity,bound,-1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,37.70525534942637,37.70525534942637,37.70525534942637,37.70525534942637,,,,,6228.764744213566,6228.764744213566,,,638.1931090382752,638.1931090382752,,,651.0877670507168,651.0877670507168,,,1,1.0,True,0,False,44.34481693037986,44.34481693037986,44.34481693037986,44.34481693037986,,,,,7.728318272827387,7.728318272827387,,,0.7918358886093634,0.7918358886093634,,,0.8078348908564766,0.8078348908564766,,,1,1.0,True,0,False,-28.531853099054576,28.531853099054576,-28.531853099054576,28.531853099054576,,,,,2869.1670754819024,2869.1670754819024,,,293.972036422326,293.972036422326,,,299.9117258693012,299.9117258693012,,,1,1.0,True,0,False,53.88518842205733,53.88518842205733,53.88518842205733,53.88518842205733,,,,,1435.9629767001375,1435.9629767001375,,,147.12735417009605,147.12735417009605,,,150.10005457915827,150.10005457915827,,
family_velocity,bound,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,48.897383397560944,48.897383397560944,48.897383397560944,48.897383397560944,,,,,5042.6476738332085,5042.6476738332085,,,522.0132167529201,522.0132167529201,,,1090.9078080014249,1090.9078080014249,,,1,1.0,True,0,False,49.93300385278985,49.93300385278985,49.93300385278985,49.93300385278985,,,,,6.2700639204341915,6.2700639204341915,,,0.6490749400035395,0.6490749400035395,,,1.3564425139125689,1.3564425139125689,,,1,1.0,True,0,False,5.496188334832326,5.496188334832326,5.496188334832326,5.496188334832326,,,,,1839.6160697447149,1839.6160697447149,,,190.43644614334522,190.43644614334522,,,397.97575877116145,397.97575877116145,,,1,1.0,True,0,False,43.16026081995649,43.16026081995649,43.16026081995649,43.16026081995649,,,,,1399.687731269598,1399.687731269598,,,144.8952102763559,144.8952102763559,,,302.80328382432805,302.80328382432805,,
