cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_4242,trot,trot,trot,trot,0.02609240472637277,0.1412018808975751,True,
gait_00_trot__vx_neg_1p0__seed_4242,trot,trot,trot,trot,0.021948280589729197,0.14219380815490643,True,
gait_00_trot__vx_neg_0p5__seed_4242,trot,trot,trot,trot,0.01684478090619307,0.14328948597934532,True,
gait_00_trot__vx_pos_0p5__seed_4242,trot,trot,trot,trot,0.03842836607345449,0.10012254478780663,True,
gait_00_trot__vx_pos_1p0__seed_4242,trot,trot,trot,trot,0.03343547712204889,0.11080732869185511,True,
gait_00_trot__vx_pos_1p5__seed_4242,trot,trot,trot,trot,0.030213597690633347,0.13013242710388925,True,
gait_01_bound__vx_neg_1p5__seed_4242,bound,bound,bound,bound,0.013035649095154145,0.10670582069571428,True,
gait_01_bound__vx_neg_1p0__seed_4242,bound,bound,bound,bound,0.012445533418551,0.1096622767370243,True,
gait_01_bound__vx_neg_0p5__seed_4242,bound,bound,bound,bound,0.023909198300636907,0.08218168233334051,True,
gait_01_bound__vx_pos_0p5__seed_4242,bound,bound,bound,bound,0.041654360621388366,0.0651717831352086,True,
gait_01_bound__vx_pos_1p0__seed_4242,bound,bound,bound,bound,0.009176574450234565,0.113603985656295,True,
gait_01_bound__vx_pos_1p5__seed_4242,bound,bound,bound,bound,0.021880621647753878,0.09457493552551445,True,
gait_02_half_bound__vx_neg_1p5__seed_4242,half_bound_front_a,half_bound,bound,bound,0.05702394685302429,0.038626307713638904,True,
gait_02_half_bound__vx_neg_1p0__seed_4242,half_bound_front_a,half_bound,bound,bound,0.059533083776795524,0.03819466723574912,True,
gait_02_half_bound__vx_neg_0p5__seed_4242,half_bound_front_a,half_bound,bound,bound,0.044180261995422354,0.04305325550334105,True,
gait_02_half_bound__vx_pos_0p5__seed_4242,half_bound_front_a,half_bound,unclassified,unclassified,0.06870600415609285,0.00040794141536426576,True,
gait_02_half_bound__vx_pos_1p0__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.0642954683016576,0.01143149471035916,True,
gait_02_half_bound__vx_pos_1p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.055240852558136454,0.026290910020651308,True,
gait_03_half_bound__vx_neg_1p5__seed_4242,half_bound_front_b,half_bound,bound,bound,0.04225212525010876,0.05353801598507483,True,
gait_03_half_bound__vx_neg_1p0__seed_4242,half_bound_front_b,half_bound,bound,bound,0.08381790402963762,0.02471509336820389,True,
gait_03_half_bound__vx_neg_0p5__seed_4242,half_bound_front_b,half_bound,bound,bound,0.0657705731521923,0.038163693667736934,True,
gait_03_half_bound__vx_pos_0p5__seed_4242,half_bound_front_b,half_bound,unclassified,unclassified,0.06600403917984878,0.00015196204987263928,True,
gait_03_half_bound__vx_pos_1p0__seed_4242,half_bound_front_b,half_bound,unclassified,unclassified,0.06707798320575033,0.00702734145161496,True,
gait_03_half_bound__vx_pos_1p5__seed_4242,half_bound_front_b,half_bound,bound,bound,0.05626286881004703,0.03206066991754843,True,
gait_04_half_bound__vx_neg_1p5__seed_4242,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.06186732248341096,0.018769702553486707,True,
gait_04_half_bound__vx_neg_1p0__seed_4242,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.06442977323653624,0.012523574411679561,True,
gait_04_half_bound__vx_neg_0p5__seed_4242,half_bound_hind_a,half_bound,bound,bound,0.04694033314267452,0.04349870006708965,True,
gait_04_half_bound__vx_pos_0p5__seed_4242,half_bound_hind_a,half_bound,bound,bound,0.04013791078922322,0.06448413105752224,True,
gait_04_half_bound__vx_pos_1p0__seed_4242,half_bound_hind_a,half_bound,bound,bound,0.04206721623425186,0.05820711231826582,True,
gait_04_half_bound__vx_pos_1p5__seed_4242,half_bound_hind_a,half_bound,bound,bound,0.04823782081513165,0.04672107203017525,True,
gait_05_half_bound__vx_neg_1p5__seed_4242,half_bound_hind_b,half_bound,bound,bound,0.05704210148806344,0.02425223595416553,True,
gait_05_half_bound__vx_neg_1p0__seed_4242,half_bound_hind_b,half_bound,bound,bound,0.06814217748658315,0.033171236692160516,True,
gait_05_half_bound__vx_neg_0p5__seed_4242,half_bound_hind_b,half_bound,bound,bound,0.06914782949333347,0.019282979809784398,True,
gait_05_half_bound__vx_pos_0p5__seed_4242,half_bound_hind_b,half_bound,bound,bound,0.03861415871852162,0.07131134446606643,True,
gait_05_half_bound__vx_pos_1p0__seed_4242,half_bound_hind_b,half_bound,bound,bound,0.02553683420265519,0.10200369948251296,True,
gait_05_half_bound__vx_pos_1p5__seed_4242,half_bound_hind_b,half_bound,bound,bound,0.014975182888039654,0.10495184810957665,True,
gait_06_gallop__vx_neg_1p5__seed_4242,gallop_a,gallop,bound,bound,0.06780410261748758,0.024884470662853778,True,
gait_06_gallop__vx_neg_1p0__seed_4242,gallop_a,gallop,bound,bound,0.034164226922338725,0.0664592015675312,True,
gait_06_gallop__vx_neg_0p5__seed_4242,gallop_a,gallop,bound,bound,0.04033214130933669,0.0564860429617618,True,
gait_06_gallop__vx_pos_0p5__seed_4242,gallop_a,gallop,bound,bound,0.06178880485249915,0.023361771362766133,True,
gait_06_gallop__vx_pos_1p0__seed_4242,gallop_a,gallop,bound,bound,0.05953508926784479,0.033665402994967716,True,
gait_06_gallop__vx_pos_1p5__seed_4242,gallop_a,gallop,bound,bound,0.05810371472422906,0.038104328694463806,True,
