operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.015970995288017088,30,1.0,0.011333597408191119,30,1.0,0.1089105125685361,30,1.0,0.06329293072184161,30,1.0,0.17608494379889705,30,1.0,4.384458083319362,30,1.0,1.2815489497805195,30,1.0,0.2987971618268184,30,1.0,0.028375500101218223,30,1.0,4.943935324147261,30,1.0,39.15902521727826,30,1.0,33.7056259073041,30,1.0
temporal_reversal,family,bound,3,3,0.016120817316604974,3,1.0,0.006384400186305495,3,1.0,0.094524419440893,3,1.0,0.0715830593952932,3,1.0,0.17484299003418013,3,1.0,4.791065511810247,3,1.0,1.074888722773829,3,1.0,0.2276150708403497,3,1.0,0.022953423990293837,3,1.0,5.044145307706672,3,1.0,46.27832389356646,3,1.0,32.33038665305992,3,1.0
temporal_reversal,family,gallop,12,12,0.015916990016345736,12,1.0,0.014340446911740698,12,1.0,0.1277277664596754,12,1.0,0.0622381003190319,12,1.0,0.1910243573417446,12,1.0,4.378370838724712,12,1.0,1.3549712861448515,12,1.0,0.3254633418487242,12,1.0,0.02574128300357327,12,1.0,5.088926278340072,12,1.0,41.41673830088081,12,1.0,36.22497810712884,12,1.0
temporal_reversal,family,half_bound,12,12,0.017526068253806548,12,1.0,0.011940088286439672,12,1.0,0.1026426905270108,12,1.0,0.057413355328632655,12,1.0,0.18263707305917132,12,1.0,4.582547566564128,12,1.0,1.2011521018919862,12,1.0,0.2618329325569187,12,1.0,0.03712849586971478,12,1.0,5.283526688094618,12,1.0,42.382640841079656,12,1.0,35.83335769579538,12,1.0
temporal_reversal,family,trot,3,3,0.00981690248295676,3,1.0,0.0018294331028842175,3,1.0,0.07309887829772325,3,1.0,0.0827404252324647,3,1.0,0.09136072635112596,3,1.0,3.2098417002280066,3,1.0,1.516107222884016,3,1.0,0.41117144980526293,3,1.0,0.009322461528736172,3,1.0,2.905396068027174,3,1.0,10.114411711374409,3,1.0,16.492529208284225,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.015970995288017088,30,1.0,0.011333597408191119,30,1.0,0.1089105125685361,30,1.0,0.06329293072184161,30,1.0,0.17608494379889705,30,1.0,4.384458083319362,30,1.0,1.2815489497805195,30,1.0,0.2987971618268184,30,1.0,0.028375500101218223,30,1.0,4.943935324147261,30,1.0,39.15902521727826,30,1.0,33.7056259073041,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.015938417254010455,10,1.0,0.012128329110973802,10,1.0,0.0889521484375,10,1.0,0.050611125143970884,10,1.0,0.1698289730439461,10,1.0,4.029710311956427,10,1.0,0.9998551071613239,10,1.0,0.23004972003373414,10,1.0,0.027435690559266247,10,1.0,4.610431615864718,10,1.0,37.115892948859994,10,1.0,29.06321241060749,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.014591556372289868,10,1.0,0.014116006448028236,10,1.0,0.10580601846018148,10,1.0,0.053899487143936956,10,1.0,0.17419157109189876,10,1.0,4.2341909723666635,10,1.0,1.2791238706402508,10,1.0,0.28996032625644763,10,1.0,0.026985892945575934,10,1.0,5.060297967875562,10,1.0,39.56481488051702,10,1.0,35.143245686307594,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.01738301223775093,10,1.0,0.007756456665571324,10,1.0,0.13197337080792684,10,1.0,0.08536817987761701,10,1.0,0.1842342872608461,10,1.0,4.8894729656349964,10,1.0,1.5656678715399839,10,1.0,0.3763814391902735,10,1.0,0.030704916798812477,10,1.0,5.161076388701501,10,1.0,40.79636782245781,10,1.0,36.910419624997225,10,1.0
temporal_reversal,robot,go2,30,30,0.015970995288017088,30,1.0,0.011333597408191119,30,1.0,0.1089105125685361,30,1.0,0.06329293072184161,30,1.0,0.17608494379889705,30,1.0,4.384458083319362,30,1.0,1.2815489497805195,30,1.0,0.2987971618268184,30,1.0,0.028375500101218223,30,1.0,4.943935324147261,30,1.0,39.15902521727826,30,1.0,33.7056259073041,30,1.0
