scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.038856045682436655,0.05157984221696765,6,0.015522033199819187,6,0.9037131023760917,0.12412984070036491,6,0,1.0,1.0,6,2359.893512753877,6,1429.464556096177,6,6.145466770430409,6,3,6,6,6,3
row,gallop_a,6,0,6,0.04522580567155269,0.061406012590571955,6,0.037604424970853874,6,0.815205026172496,0.1539959015224129,6,0,0.0,0.0,6,2128.7475564195074,6,1430.1551226356423,6,5.515310998974138,6,0,6,0,6,0
row,gallop_b,6,0,6,0.04324385409412599,0.06839185868907499,6,0.024649541041925394,6,0.8735733642813818,0.14582569674421955,6,1,0.5,0.5,6,1811.210120309147,6,1442.5181814294745,6,5.171925591028954,6,0,6,2,6,0
row,gallop_c,6,0,6,0.04054244491891075,0.07109195903906558,6,0.013789114041392726,6,0.8283472843292721,0.14377035556929657,6,1,0.0,0.0,6,2304.303520250847,6,1433.5427176169057,6,6.10402718481527,6,1,6,0,6,0
row,gallop_d,6,0,6,0.044633750635856534,0.07982886728320203,6,0.02700329954641534,6,0.8709784443250776,0.1549318211504209,6,1,0.8333333333333334,0.8333333333333334,6,1808.205558253376,6,1453.6802601081818,6,4.74695675211759,6,0,6,4,6,0
row,half_bound_front_a,6,0,6,0.03995217852233665,0.073942838900191,6,0.014372290736128236,6,0.8734357044397921,0.14004167388410205,6,1,0.3333333333333333,0.3333333333333333,6,2239.763004182615,6,1435.9536002258958,6,6.101080309660589,6,0,6,2,6,0
row,half_bound_front_b,6,0,6,0.041058712378884775,0.06234767425075824,6,0.034930502873987815,6,0.8418169110281942,0.15662985484239617,6,2,0.0,0.0,6,2266.9416045150647,6,1433.141941625575,6,5.860704763556079,6,1,6,0,6,0
row,half_bound_hind_a,6,0,6,0.03546702876844989,0.06960200289125765,6,0.019656683895540056,6,0.8604846779055259,0.15201509791562925,6,0,0.3333333333333333,0.3333333333333333,6,2028.1109623127893,6,1427.3779110879543,6,5.742082648007828,6,0,6,2,6,0
row,half_bound_hind_b,6,0,6,0.045392841549432655,0.06732372928706534,6,0.02521958506971329,6,0.8457368943346989,0.16215442167197905,6,0,0.0,0.0,6,2123.05397436495,6,1434.6887308531595,6,5.9389685731616995,6,0,6,0,6,0
row,trot,6,0,6,0.03163831191583231,0.05598757072647493,6,0.017510807971743977,6,0.8567717804154236,0.17198121537651243,6,0,1.0,1.0,6,837.6475467555728,6,1481.9761649304628,6,2.8027403801891198,6,2,6,5,6,2
family,bound,6,0,6,0.038856045682436655,0.05157984221696765,6,0.015522033199819187,6,0.9037131023760917,0.12412984070036491,6,0,1.0,1.0,6,2359.893512753877,6,1429.464556096177,6,6.145466770430409,6,3,6,6,6,3
family,gallop,24,0,24,0.04341146383011149,0.07017967440047863,24,0.025761594900146834,24,0.8470260297770569,0.1496309437465875,24,3,0.3333333333333333,0.3333333333333333,24,2013.1166888082196,24,1439.974070447551,24,5.384555131733989,24,1,24,6,24,0
family,half_bound,24,0,24,0.04046769030477599,0.06830406133231805,24,0.023544765643842346,24,0.8553685469270529,0.15271026207852664,24,3,0.16666666666666666,0.16666666666666666,24,2164.4673863438547,24,1432.7905459481462,24,5.910709073596549,24,1,24,4,24,0
family,trot,6,0,6,0.03163831191583231,0.05598757072647493,6,0.017510807971743977,6,0.8567717804154236,0.17198121537651243,6,0,1.0,1.0,6,837.6475467555728,6,1481.9761649304628,6,2.8027403801891198,6,2,6,5,6,2
velocity,+0.5 m/s,10,0,10,0.0677978837364522,0.07035643072662114,10,0.03818311708647358,10,0.8771374356574586,0.1304858516708911,10,3,0.4,0.4,10,1582.904250211388,10,1429.1525825075062,10,4.210382708110863,10,2,10,4,10,2
velocity,+1 m/s,10,0,10,0.033332247748806686,0.062273826853752004,10,0.025445398958358307,10,0.8425300352647558,0.17722708250655503,10,1,0.5,0.5,10,1875.3149320829384,10,1469.6273991716505,10,4.495687044022887,10,1,10,5,10,1
velocity,+1.5 m/s,10,0,10,0.023034754112095095,0.05647883275026905,10,0.015656614911206897,10,0.7918632974960764,0.22826817949612935,10,0,0.5,0.5,10,2037.5018163788493,10,1454.6916503389032,10,4.455629509640667,10,3,10,2,10,1
velocity,-0.5 m/s,10,0,10,0.055833543229674744,0.0728250669071068,10,0.023830592732883363,10,0.8955508372215375,0.1038347820317523,10,0,0.3,0.3,10,1611.6018263625745,10,1403.6038443636949,10,5.542987719483246,10,0,10,3,10,0
velocity,-1 m/s,10,0,10,0.03720071441236562,0.06991841777455296,10,0.014064675140140221,10,0.8723216688479555,0.12603478575827645,10,0,0.4,0.4,10,2154.581829510509,10,1439.4342203628696,10,6.630778121301451,10,0,10,4,10,0
velocity,-1.5 m/s,10,0,10,0.026407441243296997,0.06504883851247568,10,0.020974571179449564,10,0.8626346392769886,0.13743484616279603,10,2,0.3,0.3,10,2682.821761524389,10,1444.989815221033,10,7.142093280605893,10,1,10,3,10,1
direction,backward,30,0,30,0.03981389962844579,0.06926410773137848,30,0.019623279684157717,30,0.8768357151154939,0.12243480465094159,30,2,0.3333333333333333,0.3333333333333333,30,2149.6684724658244,30,1429.3426266491992,30,6.438619707130197,30,1,30,10,30,1
direction,forward,30,0,30,0.04138829519911799,0.06303636344354739,30,0.026428376985346263,30,0.837176922806097,0.17866037122452516,30,4,0.4666666666666667,0.4666666666666667,30,1831.9069995577252,30,1451.1572106726865,30,4.387233087258139,30,6,30,11,30,4
policy,dff79524d302b278d653b90e80c22316bdcde7a8d1831dcec9874a589e453abd,60,0,60,0.04060109741378189,0.06615023558746294,60,0.023025828334751988,60,0.8570063189607954,0.1505475879377334,60,6,0.4,0.4,60,1990.7877360117748,60,1440.2499186609427,60,5.412926397194168,60,7,60,21,60,5
