cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,vx_relative_tracking_success_threshold,vx_relative_tracking_success,planar_tracking_success,yaw_tracking_success,tracking_success,velocity_metric_valid,velocity_metric_reason,heading_metric_valid,heading_metric_reason,recording_manifest_valid,recording_manifest_reason,gait_metric_valid,gait_metric_reason,load_metric_valid,load_metric_reason,raw_load_metric_valid,raw_load_metric_reason,grf_load_metric_valid,grf_load_metric_reason,normalized_load_metric_valid,normalized_load_metric_reason,velocity_success_domain_valid,gait_success_domain_valid,joint_success_domain_valid,velocity_only_success,gait_only_success,joint_velocity_and_gait_success,gait_row_correct,gait_family_correct,gait_classification_available,success,success_failed_checks,relative_output_dir
gait_00_trot__vx_neg_1p5__seed_4242,0,trot,-1.5,4242,valid,,True,0.04880686671650345,0.05391787382499178,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_00_trot/vx_neg_1p5/seed_4242
gait_00_trot__vx_neg_1p0__seed_4242,0,trot,-1.0,4242,valid,,True,0.04481358653771569,0.0638986283593394,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_00_trot/vx_neg_1p0/seed_4242
gait_00_trot__vx_neg_0p5__seed_4242,0,trot,-0.5,4242,valid,,True,0.04310705282910117,0.06703268152664518,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_00_trot/vx_neg_0p5/seed_4242
gait_00_trot__vx_pos_0p5__seed_4242,0,trot,0.5,4242,valid,,True,0.031538497000118806,0.0578024906018044,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_00_trot/vx_pos_0p5/seed_4242
gait_00_trot__vx_pos_1p0__seed_4242,0,trot,1.0,4242,valid,,True,0.04300705843649989,0.06565623340130702,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_00_trot/vx_pos_1p0/seed_4242
gait_00_trot__vx_pos_1p5__seed_4242,0,trot,1.5,4242,valid,,True,0.05005328326602869,0.06562402923644961,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,True,True,True,False,"[""yaw_rmse"",""gait_agreement""]",cells/gait_00_trot/vx_pos_1p5/seed_4242
gait_01_bound__vx_neg_1p5__seed_4242,1,bound,-1.5,4242,valid,,True,0.048036158473564315,0.05962311756277467,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_01_bound/vx_neg_1p5/seed_4242
gait_01_bound__vx_neg_1p0__seed_4242,1,bound,-1.0,4242,valid,,True,0.04796090395347486,0.062306147979868054,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_01_bound/vx_neg_1p0/seed_4242
gait_01_bound__vx_neg_0p5__seed_4242,1,bound,-0.5,4242,valid,,True,0.04968378137291698,0.05797899193382005,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_01_bound/vx_neg_0p5/seed_4242
gait_01_bound__vx_pos_0p5__seed_4242,1,bound,0.5,4242,valid,,True,0.03324512447466975,0.06177624055221263,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_01_bound/vx_pos_0p5/seed_4242
