level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,bound,3
row,gallop_a,half_bound_hind_a,3
row,gallop_b,gallop_b,6
row,gallop_c,bound,4
row,gallop_c,half_bound_front_a,1
row,gallop_c,unclassified,1
row,gallop_d,gallop_d,3
row,gallop_d,trot,2
row,gallop_d,unclassified,1
row,half_bound_front_a,bound,1
row,half_bound_front_a,half_bound_front_a,2
row,half_bound_front_a,unclassified,3
row,half_bound_front_b,bound,6
row,half_bound_hind_a,half_bound_hind_a,3
row,half_bound_hind_a,unclassified,3
row,half_bound_hind_b,bound,6
row,trot,trot,6
family,bound,bound,6
family,gallop,bound,7
family,gallop,gallop,9
family,gallop,half_bound,4
family,gallop,trot,2
family,gallop,unclassified,2
family,half_bound,bound,13
family,half_bound,half_bound,5
family,half_bound,unclassified,6
family,trot,trot,6
