cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_4242,touchdown,fl,rr,38,38,0,1.0,0.0031578947368421056,0.02,0.01283213966771176,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_4242,touchdown,fr,rl,38,34,4,0.8947368421052632,0.0058823529411764705,0.02,0.023903005263384652,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_4242,liftoff,fl,rr,38,38,0,1.0,0.01473684210526316,0.04,0.05988331844932154,0.16254043579101562
gait_00_trot__vx_neg_1p5__seed_4242,liftoff,fr,rl,38,34,4,0.8947368421052632,0.031764705882352945,0.04,0.12907622842227712,0.16254043579101562
gait_00_trot__vx_neg_1p0__seed_4242,touchdown,fl,rr,30,30,0,1.0,0.005333333333333332,0.02,0.016944376627604167,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_4242,touchdown,fr,rl,30,30,0,1.0,0.010000000000000002,0.02,0.03177070617675781,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_4242,liftoff,fl,rr,30,30,0,1.0,0.025333333333333336,0.04,0.08048578898111979,0.12708282470703125
gait_00_trot__vx_neg_1p0__seed_4242,liftoff,fr,rl,30,30,0,1.0,0.016000000000000004,0.030999999999999944,0.0508331298828125,0.09848918914794905
gait_00_trot__vx_neg_0p5__seed_4242,touchdown,fl,rr,23,23,0,1.0,0.006956521739130433,0.02,0.017279583474864132,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_4242,touchdown,fr,rl,23,14,9,0.6086956521739131,0.0,0.0,0.0,0.0
gait_00_trot__vx_neg_0p5__seed_4242,liftoff,fl,rr,23,23,0,1.0,0.012173913043478262,0.02,0.03023927108101223,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_4242,liftoff,fr,rl,23,23,0,1.0,0.008695652173913044,0.02,0.021599479343580162,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_4242,touchdown,fl,rr,23,23,0,1.0,0.013043478260869568,0.02,0.03239921901537025,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_4242,touchdown,fr,rl,23,17,6,0.7391304347826086,0.15764705882352942,0.38,0.3915858549230239,0.9438972473144531
gait_00_trot__vx_pos_0p5__seed_4242,liftoff,fl,rr,23,23,0,1.0,0.008695652173913044,0.02,0.021599479343580162,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_4242,liftoff,fr,rl,23,23,0,1.0,0.0052173913043478265,0.02,0.012959687606148098,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_4242,touchdown,fl,rr,30,30,0,1.0,0.013333333333333336,0.02,0.042360941569010414,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_4242,touchdown,fr,rl,30,22,8,0.7333333333333333,0.010909090909090908,0.02,0.034658952192826706,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_4242,liftoff,fl,rr,30,30,0,1.0,0.0013333333333333333,0.010999999999999944,0.004236094156901042,0.034947776794433415
gait_00_trot__vx_pos_1p0__seed_4242,liftoff,fr,rl,30,30,0,1.0,0.012000000000000004,0.02,0.03812484741210938,0.06354141235351562
gait_00_trot__vx_pos_1p5__seed_4242,touchdown,fl,rr,38,38,0,1.0,0.005263157894736842,0.02,0.021386899446186266,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_4242,touchdown,fr,rl,38,38,0,1.0,0.016842105263157898,0.02,0.06843807822779606,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_4242,liftoff,fl,rr,38,38,0,1.0,0.008421052631578949,0.02,0.03421903911389803,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_4242,liftoff,fr,rl,38,38,0,1.0,0.014210526315789474,0.02,0.05774462850470292,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_4242,touchdown,fl,fr,38,37,1,0.9736842105263158,0.012432432432432434,0.02,0.0505193246377481,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_4242,touchdown,rl,rr,38,37,1,0.9736842105263158,0.010810810810810811,0.02,0.04392984751108531,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_4242,liftoff,fl,fr,38,37,1,0.9736842105263158,0.02972972972972973,0.04,0.12080708065548458,0.16254043579101562
gait_01_bound__vx_neg_1p5__seed_4242,liftoff,rl,rr,38,37,1,0.9736842105263158,0.01891891891891892,0.02,0.07687723314439929,0.08127021789550781
gait_01_bound__vx_neg_1p0__seed_4242,touchdown,fl,fr,30,30,0,1.0,0.012000000000000004,0.02,0.03812484741210938,0.06354141235351562
gait_01_bound__vx_neg_1p0__seed_4242,touchdown,rl,rr,30,21,9,0.7,0.011428571428571427,0.02,0.03630937848772321,0.06354141235351562
gait_01_bound__vx_neg_1p0__seed_4242,liftoff,fl,fr,30,30,0,1.0,0.03133333333333334,0.06,0.09954821268717448,0.19062423706054685
gait_01_bound__vx_neg_1p0__seed_4242,liftoff,rl,rr,30,21,9,0.7,0.02571428571428572,0.06,0.08169610159737724,0.19062423706054685
gait_01_bound__vx_neg_0p5__seed_4242,touchdown,fl,fr,23,23,0,1.0,0.008695652173913044,0.02,0.021599479343580162,0.049678802490234375
gait_01_bound__vx_neg_0p5__seed_4242,touchdown,rl,rr,23,21,2,0.9130434782608695,0.014285714285714287,0.02,0.03548485892159598,0.049678802490234375
gait_01_bound__vx_neg_0p5__seed_4242,liftoff,fl,fr,23,19,4,0.8260869565217391,0.010526315789473684,0.021999999999999957,0.026146738152754933,0.054646682739257706
gait_01_bound__vx_neg_0p5__seed_4242,liftoff,rl,rr,23,21,2,0.9130434782608695,0.020952380952380955,0.02,0.052044459751674106,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_4242,touchdown,fl,fr,23,23,0,1.0,0.0008695652173913044,0.0,0.0021599479343580165,0.0
gait_01_bound__vx_pos_0p5__seed_4242,touchdown,rl,rr,23,17,6,0.7391304347826086,0.02235294117647059,0.07599999999999973,0.05552336748908548,0.18877944946288996
gait_01_bound__vx_pos_0p5__seed_4242,liftoff,fl,fr,23,11,12,0.4782608695652174,0.17636363636363636,0.38,0.4380767128684304,0.9438972473144531
gait_01_bound__vx_pos_0p5__seed_4242,liftoff,rl,rr,23,23,0,1.0,0.007826086956521738,0.02,0.019439531409222145,0.049678802490234375
gait_01_bound__vx_pos_1p0__seed_4242,touchdown,fl,fr,30,30,0,1.0,0.005333333333333333,0.02,0.016944376627604167,0.06354141235351562
gait_01_bound__vx_pos_1p0__seed_4242,touchdown,rl,rr,30,30,0,1.0,0.0013333333333333333,0.010999999999999944,0.004236094156901042,0.034947776794433415
gait_01_bound__vx_pos_1p0__seed_4242,liftoff,fl,fr,30,30,0,1.0,0.015333333333333336,0.02,0.04871508280436198,0.06354141235351562
