positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_4242,gait_00_trot__vx_neg_0p5__seed_4242,0,0,trot,0.5,0.016035614176566557,0.03413908032403476,0.016035614176566557,-0.03413908032403476,-0.009051733073734101,0.050174694500601316,0.5160356141765665,-0.4658609196759652,0.0501746945006013,0.05017464432595698,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_4242,gait_00_trot__vx_neg_1p0__seed_4242,0,0,trot,1.0,0.0047289429873716635,0.033627366677659455,0.0047289429873716635,-0.033627366677659455,-0.014449211845143896,0.03835630966503112,1.0047289429873716,-0.9663726333223406,0.03835630966503101,0.01917814524344288,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_4242,gait_00_trot__vx_neg_1p5__seed_4242,0,0,trot,1.5,0.010707944879929225,0.01773764987786611,0.010707944879929225,-0.01773764987786611,-0.0035148524989684427,0.028445594757795338,1.5107079448799292,-1.482262350122134,0.02844559475779529,0.00948186175864451,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_4242,gait_01_bound__vx_neg_0p5__seed_4242,1,1,bound,0.5,-0.025545161888466117,0.05384778488990436,-0.025545161888466117,-0.05384778488990436,-0.039696473389185236,0.028302623001438244,0.4744548381115339,-0.4461522151100956,0.028302623001438265,0.02830259469884357,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_4242,gait_01_bound__vx_neg_1p0__seed_4242,1,1,bound,1.0,-0.01946736505774201,0.05262788348510617,-0.01946736505774201,-0.05262788348510617,-0.03604762427142409,0.03316051842736416,0.980532634942258,-0.9473721165148938,0.033160518427364116,0.016580250923556594,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_4242,gait_01_bound__vx_neg_1p5__seed_4242,1,1,bound,1.5,-0.01402391716837883,0.050385543455680214,-0.01402391716837883,-0.050385543455680214,-0.03220473031202952,0.036361626287301385,1.485976082831621,-1.4496144565443199,0.03636162628730122,0.01212053805558772,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_4242,gait_03_half_bound__vx_neg_0p5__seed_4242,2,3,half_bound,0.5,-0.021021307070062768,0.029145649994875827,-0.021021307070062768,-0.029145649994875827,-0.025083478532469297,0.00812434292481306,0.4789786929299372,-0.47085435000512416,0.008124342924813066,0.008124334800478266,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_4242,gait_03_half_bound__vx_neg_1p0__seed_4242,2,3,half_bound,1.0,-0.014569619395693794,0.03788112397076654,-0.014569619395693794,-0.03788112397076654,-0.026225371683230168,0.023311504575072743,0.9854303806043062,-0.9621188760292335,0.023311504575072695,0.011655746459663116,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_4242,gait_03_half_bound__vx_neg_1p5__seed_4242,2,3,half_bound,1.5,-0.0005364534755547841,0.047689713537693024,-0.0005364534755547841,-0.047689713537693024,-0.024113083506623903,0.04715326006213824,1.4994635465244452,-1.452310286462307,0.04715326006213827,0.015717748114796717,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_4242,gait_02_half_bound__vx_neg_0p5__seed_4242,3,2,half_bound,0.5,-0.0231299478691804,0.049456530352803736,-0.0231299478691804,-0.049456530352803736,-0.03629323911099207,0.026326582483623337,0.4768700521308196,-0.45054346964719627,0.02632658248362335,0.026326556157067197,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_4242,gait_02_half_bound__vx_neg_1p0__seed_4242,3,2,half_bound,1.0,-0.010053628780802742,0.05415599182492397,-0.010053628780802742,-0.05415599182492397,-0.03210481030286336,0.044102363044121226,0.9899463712191973,-0.9458440081750761,0.044102363044121184,0.022051170496475342,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_4242,gait_02_half_bound__vx_neg_1p5__seed_4242,3,2,half_bound,1.5,-0.010110090921322505,0.05336693823337555,-0.010110090921322505,-0.05336693823337555,-0.031738514577349025,0.043256847312053044,1.4898899090786775,-1.4466330617666245,0.043256847312052926,0.014418944297702876,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_4242,gait_05_half_bound__vx_neg_0p5__seed_4242,4,5,half_bound,0.5,-0.006813487959697873,0.030638401367649528,-0.006813487959697873,-0.030638401367649528,-0.0187259446636737,0.023824913407951655,0.4931865120403021,-0.4693615986323505,0.02382491340795162,0.023824889583062038,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p0__seed_4242,gait_05_half_bound__vx_neg_1p0__seed_4242,4,5,half_bound,1.0,-0.010298250395743573,0.03565503840075165,-0.010298250395743573,-0.03565503840075165,-0.02297664439824761,0.025356788005008075,0.9897017496042564,-0.9643449615992483,0.02535678800500807,0.012678387663310201,1e-06,abs(mean_vx_pos + mean_vx_neg)
