scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_valid_cells,torque_squared_coverage_fraction,torque_squared_complete,torque_squared_tracking_success_cells,torque_squared_tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_valid_cells,normalized_torque_utilization_coverage_fraction,normalized_torque_utilization_complete,normalized_torque_utilization_tracking_success_cells,normalized_torque_utilization_tracking_qualified_complete,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_valid_cells,absolute_work_coverage_fraction,absolute_work_complete,absolute_work_tracking_success_cells,absolute_work_tracking_qualified_complete,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_valid_cells,vertical_grf_impulse_coverage_fraction,vertical_grf_impulse_complete,vertical_grf_impulse_tracking_success_cells,vertical_grf_impulse_tracking_qualified_complete,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,30.74159021354104,30.74159021354104,30.74159021354104,30.74159021354104,,,,,2966.849889428965,2966.849889428965,,,309.0468634821839,309.0468634821839,,,209.02659544489057,209.02659544489057,,,1,1.0,True,0,False,36.563141767142696,36.563141767142696,36.563141767142696,36.563141767142696,,,,,3.7285500440764334,3.7285500440764334,,,0.38839062959129517,0.38839062959129517,,,0.26269145750720796,0.26269145750720796,,,1,1.0,True,0,False,3.916393581939263,3.916393581939263,3.916393581939263,3.916393581939263,,,,,1340.1341050670444,1340.1341050670444,,,139.59730261115047,139.59730261115047,,,94.41787750025514,94.41787750025514,,,1,1.0,True,0,False,30.94942938810349,30.94942938810349,30.94942938810349,30.94942938810349,,,,,1483.6049414992333,1483.6049414992333,,,154.54218140617013,154.54218140617013,,,104.52597922522085,104.52597922522085,,
family_velocity,trot,-1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,28.019409510973937,28.019409510973937,28.019409510973937,28.019409510973937,,,,,2477.9190164270603,2477.9190164270603,,,253.88514512572345,253.88514512572345,,,263.0934998432064,263.0934998432064,,,1,1.0,True,0,False,32.84486523836657,32.84486523836657,32.84486523836657,32.84486523836657,,,,,3.053856312598276,3.053856312598276,,,0.312895113995725,0.312895113995725,,,0.32424374645554505,0.32424374645554505,,,1,1.0,True,0,False,3.7950806711197154,3.7950806711197154,3.7950806711197154,3.7950806711197154,,,,,857.4731711269897,857.4731711269897,,,87.85585769743746,87.85585769743746,,,91.04236906771118,91.04236906771118,,,1,1.0,True,0,False,26.823649998580855,26.823649998580855,26.823649998580855,26.823649998580855,,,,,1493.208378430903,1493.208378430903,,,152.99266172447776,152.99266172447776,,,158.54166971245294,158.54166971245294,,
family_velocity,trot,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,24.046577524577238,24.046577524577238,24.046577524577238,24.046577524577238,,,,,2074.448814477537,2074.448814477537,,,214.74625408670153,214.74625408670153,,,461.1424017288882,461.1424017288882,,,1,1.0,True,0,False,27.76362013459194,27.76362013459194,27.76362013459194,27.76362013459194,,,,,2.4240848460579114,2.4240848460579114,,,0.25094046025444217,0.25094046025444217,,,0.5388652157162455,0.5388652157162455,,,1,1.0,True,0,False,16.56901284181739,16.56901284181739,16.56901284181739,16.56901284181739,,,,,544.1501185243259,544.1501185243259,,,56.33024001287017,56.33024001287017,,,120.96258572692975,120.96258572692975,,,1,1.0,True,0,False,22.71744232518195,22.71744232518195,22.71744232518195,22.71744232518195,,,,,1460.869200233221,1460.869200233221,,,151.22869567631687,151.22869567631687,,,324.7458924538349,324.7458924538349,,
family_velocity,trot,0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,12.692708554874223,12.692708554874223,12.692708554874223,12.692708554874223,12.692708554874223,12.692708554874223,12.692708554874223,12.692708554874223,1881.5492874944375,1881.5492874944375,1881.5492874944375,1881.5492874944375,194.7773589538755,194.7773589538755,194.7773589538755,194.7773589538755,378.7641871286562,378.7641871286562,378.7641871286562,378.7641871286562,1,1.0,True,1,True,22.913328797695364,22.913328797695364,22.913328797695364,22.913328797695364,22.913328797695364,22.913328797695364,22.913328797695364,22.913328797695364,2.0890549948244264,2.0890549948244264,2.0890549948244264,2.0890549948244264,0.2162582810377253,0.2162582810377253,0.2162582810377253,0.2162582810377253,0.42053600309105493,0.42053600309105493,0.42053600309105493,0.42053600309105493,1,1.0,True,1,True,4.225375539283955,4.225375539283955,4.225375539283955,4.225375539283955,4.225375539283955,4.225375539283955,4.225375539283955,4.225375539283955,497.3966105880352,497.3966105880352,497.3966105880352,497.3966105880352,51.49033235900985,51.49033235900985,51.49033235900985,51.49033235900985,100.12813596863211,100.12813596863211,100.12813596863211,100.12813596863211,1,1.0,True,1,True,16.630649073296226,16.630649073296226,16.630649073296226,16.630649073296226,16.630649073296226,16.630649073296226,16.630649073296226,16.630649073296226,1485.7282554030419,1485.7282554030419,1485.7282554030419,1485.7282554030419,153.80209683261302,153.80209683261302,153.80209683261302,153.80209683261302,299.0836640273094,299.0836640273094,299.0836640273094,299.0836640273094
family_velocity,trot,1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,4.355535541720915,4.355535541720915,4.355535541720915,4.355535541720915,4.355535541720915,4.355535541720915,4.355535541720915,4.355535541720915,2240.335272583436,2240.335272583436,2240.335272583436,2240.335272583436,229.54254842043403,229.54254842043403,229.54254842043403,229.54254842043403,229.20989636400952,229.20989636400952,229.20989636400952,229.20989636400952,1,1.0,True,1,True,12.3593720244657,12.3593720244657,12.3593720244657,12.3593720244657,12.3593720244657,12.3593720244657,12.3593720244657,12.3593720244657,2.4749121299736343,2.4749121299736343,2.4749121299736343,2.4749121299736343,0.2535770624972986,0.2535770624972986,0.2535770624972986,0.2535770624972986,0.253209579728277,0.253209579728277,0.253209579728277,0.253209579728277,1,1.0,True,1,True,3.062974528059184,3.062974528059184,3.062974528059184,3.062974528059184,3.062974528059184,3.062974528059184,3.062974528059184,3.062974528059184,796.9394763518404,796.9394763518404,796.9394763518404,796.9394763518404,81.6536348721148,81.6536348721148,81.6536348721148,81.6536348721148,81.53530278186985,81.53530278186985,81.53530278186985,81.53530278186985,1,1.0,True,1,True,10.223534803737511,10.223534803737511,10.223534803737511,10.223534803737511,10.223534803737511,10.223534803737511,10.223534803737511,10.223534803737511,1494.6704866695404,1494.6704866695404,1494.6704866695404,1494.6704866695404,153.1424678964693,153.1424678964693,153.1424678964693,153.1424678964693,152.92053450232413,152.92053450232413,152.92053450232413,152.92053450232413
family_velocity,trot,1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,4.887472775484403,4.887472775484403,4.887472775484403,4.887472775484403,4.887472775484403,4.887472775484403,4.887472775484403,4.887472775484403,2785.397504744354,2785.397504744354,2785.397504744354,2785.397504744354,290.1455734108702,290.1455734108702,290.1455734108702,290.1455734108702,192.61870198139044,192.61870198139044,192.61870198139044,192.61870198139044,1,1.0,True,1,True,12.198634512536355,12.198634512536355,12.198634512536355,12.198634512536355,12.198634512536355,12.198634512536355,12.198634512536355,12.198634512536355,3.2143742100470725,3.2143742100470725,3.2143742100470725,3.2143742100470725,0.3348306468799035,0.3348306468799035,0.3348306468799035,0.3348306468799035,0.22228374476789461,0.22228374476789461,0.22228374476789461,0.22228374476789461,1,1.0,True,1,True,9.299266734007944,9.299266734007944,9.299266734007944,9.299266734007944,9.299266734007944,9.299266734007944,9.299266734007944,9.299266734007944,1191.74182687348,1191.74182687348,1191.74182687348,1191.74182687348,124.13977363265417,124.13977363265417,124.13977363265417,124.13977363265417,82.41256890562522,82.41256890562522,82.41256890562522,82.41256890562522,1,1.0,True,1,True,8.521647161973197,8.521647161973197,8.521647161973197,8.521647161973197,8.521647161973197,8.521647161973197,8.521647161973197,8.521647161973197,1497.5520152807237,1497.5520152807237,1497.5520152807237,1497.5520152807237,155.99500159174207,155.99500159174207,155.99500159174207,155.99500159174207,103.56027275879359,103.56027275879359,103.56027275879359,103.56027275879359
family,trot,,6,6,1.0,True,3,0.5,False,6,1.0,True,3,False,17.45721568686196,17.45721568686196,17.45721568686196,17.45721568686196,7.311905624026513,7.311905624026513,,,2404.416630859298,2404.416630859298,2302.4273549407426,,248.69062391329808,248.69062391329808,238.1551602617266,,288.97588041517355,288.97588041517355,266.8642618246854,,6,1.0,True,3,False,24.10716041246644,24.10716041246644,24.10716041246644,24.10716041246644,15.823778444899139,15.823778444899139,,,2.8308054229296253,2.8308054229296253,2.5927804449483776,,0.2928153657093983,0.2928153657093983,0.26822199680497577,,0.33697162454437085,0.33697162454437085,0.2986764425290755,,6,1.0,True,3,False,6.811350649371242,6.811350649371242,6.811350649371242,6.811350649371242,5.529205600450361,5.529205600450361,,,871.305884755286,871.305884755286,828.6926379377852,,90.17785686420615,90.17785686420615,85.76124695459293,,95.0831399918372,95.0831399918372,88.02533588537572,,6,1.0,True,3,False,19.311058791812204,19.311058791812204,19.311058791812204,19.311058791812204,11.791943679668977,11.791943679668977,,,1485.9388795861105,1485.9388795861105,1492.6502524511022,,153.61718418796485,153.61718418796485,154.31318877360812,,190.56300211332265,190.56300211332265,185.18815709614236,
family_velocity,bound,-1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,41.56176170061752,41.56176170061752,41.56176170061752,41.56176170061752,,,,,5531.727928198607,5531.727928198607,,,576.2216591873549,576.2216591873549,,,398.38527003446376,398.38527003446376,,,1,1.0,True,0,False,46.86917048860624,46.86917048860624,46.86917048860624,46.86917048860624,,,,,6.893329401727503,6.893329401727503,,,0.7180551460132816,0.7180551460132816,,,0.49644540201347404,0.49644540201347404,,,1,1.0,True,0,False,-5.063671492548814,5.063671492548814,-5.063671492548814,5.063671492548814,,,,,2586.3159289662294,2586.3159289662294,,,269.4079092673156,269.4079092673156,,,186.26190281400503,186.26190281400503,,,1,1.0,True,0,False,45.35407136948462,45.35407136948462,45.35407136948462,45.35407136948462,,,,,1463.5917853097526,1463.5917853097526,,,152.45747763643257,152.45747763643257,,,105.40529400200003,105.40529400200003,,
family_velocity,bound,-1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,42.276539897304524,42.276539897304524,42.276539897304524,42.276539897304524,,,,,5441.644129925468,5441.644129925468,,,557.5455051153144,557.5455051153144,,,589.2717353476531,589.2717353476531,,,1,1.0,True,0,False,48.13594258166782,48.13594258166782,48.13594258166782,48.13594258166782,,,,,6.483150285992685,6.483150285992685,,,0.6642572014336767,0.6642572014336767,,,0.7020556891137364,0.7020556891137364,,,1,1.0,True,0,False,-10.221238840953928,10.221238840953928,-10.221238840953928,10.221238840953928,,,,,2362.7941041627223,2362.7941041627223,,,242.08955985273795,242.08955985273795,,,255.86527688796897,255.86527688796897,,,1,1.0,True,0,False,44.46276246041056,44.46276246041056,44.46276246041056,44.46276246041056,,,,,1424.4622685932368,1424.4622685932368,,,145.94900292963493,145.94900292963493,,,154.25399620218977,154.25399620218977,,
family_velocity,bound,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,40.26588230012453,40.26588230012453,40.26588230012453,40.26588230012453,,,,,4805.8866814288995,4805.8866814288995,,,497.50379724936846,497.50379724936846,,,1137.1019679902047,1137.1019679902047,,,1,1.0,True,0,False,43.30900094275789,43.30900094275789,43.30900094275789,43.30900094275789,,,,,5.613056698453814,5.613056698453814,,,0.5810617700262749,0.5810617700262749,,,1.3280832947885357,1.3280832947885357,,,1,1.0,True,0,False,12.216864918210543,12.216864918210543,12.216864918210543,12.216864918210543,,,,,2057.4666266534996,2057.4666266534996,,,212.98826362872666,212.98826362872666,,,486.8090958703714,486.8090958703714,,,1,1.0,True,0,False,37.63991336251145,37.63991336251145,37.63991336251145,37.63991336251145,,,,,1377.2125146859885,1377.2125146859885,,,142.56858330082696,142.56858330082696,,,325.85684278443273,325.85684278443273,,
