cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_4242,fl,97.67331897636329,525.6748974943162,131.75661010742186,251.43376037597622,346.2684631347656,39,152.53245290120444,291.18240661621104,346.2684631347656,7.329733918018833,10.235298706054689,11.415404815673828,0.775,0.7945823927765236,0.30132450331125826,0.0,0.6077586206896551,1.0,0.7560321715817694,0.5604166666666667,0.333658903837204,0.33541666666666664,0.33541666666666664,0.2267577628294627,0.2267577628294627,39,0.03237257630397112,0.007966651780260701,0.03110244870185852,0.007654082764204746,0.06692207455635071,0.016469027963575772,0,0,0.0,0.0,0.0,39,21,0.17688678559802828,0.04353053066141851,0.1761016845703125,0.04333732310075336,0.19384765625,0.04770447558027647,17,18,0.625,0.4473684210526316,0.46153846153846156,39
gait_00_trot__vx_neg_1p5__seed_4242,fr,82.56249959761325,445.71120513916014,114.6605438232422,117.14784606933594,142.0785369873047,39,113.17604025816306,118.9123474121094,142.0785369873047,6.228206998384916,6.626464828491212,7.1710585021972655,0.7708333333333334,0.7986425339366516,0.2966666666666667,0.0,0.6147186147186147,1.0,0.7613941018766757,0.5604166666666667,0.333658903837204,0.33125,0.33125,0.2267577628294627,0.2267577628294627,39,0.04789826732415419,0.01178740959836943,0.04720810055732727,0.011617564657701425,0.0829825222492218,0.020421385446736606,0,0,0.0,0.0,0.0,39,30,0.15965073903401691,0.039288866984283445,0.15485095977783203,0.03810767678190054,0.1972893714904785,0.04855145626510831,9,9,0.375,0.23076923076923078,0.23076923076923078,39
gait_00_trot__vx_neg_1p5__seed_4242,rl,55.195214548281264,249.55433899641037,105.2187629699707,156.76997772216822,214.9995574951172,39,107.93389266576523,163.22940368652345,214.9995574951172,4.9199997906807145,6.332393188476563,7.265503845214844,0.8645833333333334,0.8981900452488688,0.15,0.0,0.7593582887700535,1.0,0.8632218844984804,0.4666666666666667,0.333658903837204,0.33125,0.33125,0.1330077628294627,0.1330077628294627,39,0.026540342813883074,0.006531382221223276,0.023321837186813354,0.005739331772630195,0.058859366178512576,0.014484855018892724,0,0,0.0,0.0,0.0,39,26,0.1173105239868164,0.02886925297472365,0.07522010803222656,0.018511112675725788,0.19794511795043945,0.04871283062263841,13,13,0.5,0.3333333333333333,0.3333333333333333,39
gait_00_trot__vx_neg_1p5__seed_4242,rr,61.947770374081145,262.6644998693466,98.58502197265625,102.22438735961914,105.05899047851562,39,96.58399024376503,102.43387222290039,105.05899047851562,5.004848595643655,5.265615173339844,5.388601837158204,0.8958333333333334,0.9255079006772009,0.10927152317880795,0.0,0.8103448275862069,1.0,0.8952380952380952,0.4395833333333333,0.333658903837204,0.33541666666666664,0.33541666666666664,0.10592442949612935,0.10592442949612935,39,0.026711363822985917,0.006573469227640002,0.02081802487373352,0.005123162066699524,0.05917823910713196,0.014563327290009153,0,0,0.0,0.0,0.0,39,38,0.08391094207763672,0.020649862705062312,0.08386802673339844,0.020639301556009296,0.11920108795166015,0.029334506794339223,0,0,0.0,0.0,0.0,38
gait_00_trot__vx_neg_1p0__seed_4242,fl,89.56838775292421,489.0524430960417,122.16978912353515,177.53269470214786,229.0001220703125,31,133.7320076727098,195.2742462158203,229.0001220703125,6.808443532143871,8.240192260742187,8.815083770751952,0.8360655737704918,0.8677130044843049,0.21532846715328466,0.0,0.7445887445887446,1.0,0.8535980148883374,0.5594262295081968,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.16319019726065342,0.16319019726065342,31,0.018817387280925628,0.0059228734722590725,0.016516119241714478,0.005198537026475356,0.04213467240333557,0.013262113901062618,0,0,0.0,0.0,0.0,31,30,0.1497166951497396,0.04712413199655801,0.15015220642089844,0.047261211502671555,0.17676095962524413,0.055636459146304856,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_1p0__seed_4242,fr,79.10089401390313,457.8182407093048,108.91003875732422,112.34416107177735,113.20091247558594,31,109.00360476586127,112.67789840698242,113.20091247558594,5.885879261878228,6.277974472045899,6.294071960449219,0.805327868852459,0.8296460176991151,0.27898550724637683,0.0,0.6956521739130435,1.0,0.8205128205128205,0.5922131147540983,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.195977082506555,0.195977082506555,31,0.05071647993979916,0.015963283805413595,0.051998525857925415,0.016366814627483944,0.0776161253452301,0.024430091327970225,0,0,0.0,0.0,0.0,31,31,0.14541213743148312,0.045769249390452925,0.1464385986328125,0.04609233355346101,0.1782093048095703,0.056092333553461014,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_4242,rl,53.489346977308685,273.477818300426,93.20289001464843,96.08644119262695,96.66221618652344,32,89.40371856093407,96.20231399536132,96.66221618652344,4.587434388995171,4.981937103271484,5.056628570556641,0.875,0.9048672566371682,0.15579710144927536,0.0,0.8036529680365296,1.0,0.8911392405063291,0.5225409836065574,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.1263049513590141,0.1263049513590141,31,0.018585596353776993,0.005849916035978287,0.01561775803565979,0.004915773023353546,0.03959903120994568,0.01246400724920454,0,1,0.03125,0.0,0.03125,32,31,0.13721312246014994,0.043188565497020534,0.1507892608642578,0.047461727802125236,0.18038463592529297,0.056777030677793126,0,1,0.03125,0.0,0.03125,32
gait_00_trot__vx_neg_1p0__seed_4242,rr,56.67428187529246,272.8598763251305,93.60235900878907,95.70608726501465,97.21707153320312,31,92.7878897882277,96.38726806640625,97.21707153320312,4.85048207682948,5.281982269287109,5.309061431884766,0.9036885245901639,0.9394618834080718,0.09854014598540146,0.0,0.864321608040201,1.0,0.9272237196765498,0.4918032786885246,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.09556724644098125,0.09556724644098125,31,0.02633329072306233,0.008288544351691724,0.027019888162612915,0.0085046545746533,0.0526374876499176,0.016567931275139582,0,0,0.0,0.0,0.0,31,30,0.07134984334309896,0.02245774549238559,0.06995677947998047,0.022019271177282827,0.09807748794555664,0.030870414840607555,0,0,0.0,0.0,0.0,30
gait_00_trot__vx_neg_0p5__seed_4242,fl,83.72800345639236,438.8965163087845,103.9795597076416,138.93416931152237,202.6080322265625,24,113.49112796783447,188.02682189941405,202.6080322265625,5.793115177154541,7.637619171142578,7.908958435058594,0.9233954451345756,0.9414414414414415,0.11016949152542373,0.0,0.8888888888888888,1.0,0.9411764705882353,0.5424430641821946,0.4705493450164795,0.4699792960662526,0.4699792960662526,0.07189371916571508,0.07189371916571508,24,0.02745234966278076,0.01105193695769024,0.028075456619262695,0.011302791215541733,0.04862542152404785,0.019575923366351836,0,0,0.0,0.0,0.0,24,23,0.09875251935875934,0.0397564008827192,0.09912490844726562,0.03990631958842049,0.11987457275390624,0.048259847961299236,0,1,0.041666666666666664,0.0,0.041666666666666664,24
gait_00_trot__vx_neg_0p5__seed_4242,fr,78.56949077520993,457.47414281249047,99.95485305786133,101.96721267700195,103.04988861083984,23,100.34748608133067,102.72067565917969,103.04988861083984,5.532306302941365,5.742210693359374,5.794503326416016,0.8695652173913043,0.9009009009009009,0.1864406779661017,0.0,0.8253968253968254,1.0,0.9043478260869565,0.6024844720496895,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.13193512703320998,0.13193512703320998,20,0.032203960418701175,0.012964869845657683,0.03205990791320801,0.01290687629578438,0.05377421379089355,0.02164875604699378,4,3,0.25925925925925924,0.16666666666666666,0.13043478260869565,23,24,0.10037251313527425,0.040408588010954975,0.10078811645507812,0.040575904169546186,0.12299985885620117,0.049518044997312445,0,0,0.0,0.0,0.0,24
