cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_4242,trot,trot,trot,trot,0.03681599412274491,0.11554346630608597,True,
gait_00_trot__vx_neg_1p0__seed_4242,trot,trot,trot,trot,0.03352623183648649,0.10983300089687781,True,
gait_00_trot__vx_neg_0p5__seed_4242,trot,trot,trot,trot,0.036629362411601585,0.09459654829134298,True,
gait_00_trot__vx_pos_0p5__seed_4242,trot,trot,trot,trot,0.043540377331200995,0.12298227527200864,True,
gait_00_trot__vx_pos_1p0__seed_4242,trot,trot,trot,trot,0.0537383742095055,0.11942402910081915,True,
gait_00_trot__vx_pos_1p5__seed_4242,trot,trot,trot,trot,0.04020270915088773,0.12461854509558104,True,
gait_01_bound__vx_neg_1p5__seed_4242,bound,bound,bound,bound,0.06696592310422546,0.03250494229594644,True,
gait_01_bound__vx_neg_1p0__seed_4242,bound,bound,bound,bound,0.049826309304906426,0.06193783239895035,True,
gait_01_bound__vx_neg_0p5__seed_4242,bound,bound,bound,bound,0.03201457973812113,0.07620935622186079,True,
gait_01_bound__vx_pos_0p5__seed_4242,bound,bound,bound,bound,0.032697482124189846,0.0848267234663238,True,
gait_01_bound__vx_pos_1p0__seed_4242,bound,bound,bound,bound,0.01780633159592304,0.09511295097316996,True,
gait_01_bound__vx_pos_1p5__seed_4242,bound,bound,bound,bound,0.02179341572385048,0.09623934708046694,True,
gait_02_half_bound__vx_neg_1p5__seed_4242,half_bound_front_a,half_bound,unclassified,unclassified,0.09294525294292222,0.007478277346586737,True,
gait_02_half_bound__vx_neg_1p0__seed_4242,half_bound_front_a,half_bound,unclassified,unclassified,0.0815649667421182,0.004677801180848817,True,
gait_02_half_bound__vx_neg_0p5__seed_4242,half_bound_front_a,half_bound,bound,bound,0.07641711246643647,0.011597352833641966,True,
gait_02_half_bound__vx_pos_0p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05456684057760478,0.03646232304959147,True,
gait_02_half_bound__vx_pos_1p0__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.04693117600181578,0.046275198036764546,True,
gait_02_half_bound__vx_pos_1p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.04523340130171135,0.06203468714401255,True,
gait_03_half_bound__vx_neg_1p5__seed_4242,half_bound_front_b,half_bound,bound,bound,0.0759167589222184,0.03262985814357933,True,
gait_03_half_bound__vx_neg_1p0__seed_4242,half_bound_front_b,half_bound,bound,bound,0.041452257006366455,0.054161862213062115,True,
gait_03_half_bound__vx_neg_0p5__seed_4242,half_bound_front_b,half_bound,bound,bound,0.04757474349861979,0.04725965668144548,True,
gait_03_half_bound__vx_pos_0p5__seed_4242,half_bound_front_b,half_bound,bound,bound,0.046259336888507,0.03892133399749227,True,
gait_03_half_bound__vx_pos_1p0__seed_4242,half_bound_front_b,half_bound,bound,bound,0.0437276668965354,0.04391090216140847,True,
gait_03_half_bound__vx_pos_1p5__seed_4242,half_bound_front_b,half_bound,bound,bound,0.04202407816174893,0.048729585464041734,True,
gait_04_half_bound__vx_neg_1p5__seed_4242,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.08695729016376515,0.013472595278162178,True,
gait_04_half_bound__vx_neg_1p0__seed_4242,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.07510410847969397,0.019579537691952975,True,
gait_04_half_bound__vx_neg_0p5__seed_4242,half_bound_hind_a,half_bound,unclassified,unclassified,0.08261865005586257,0.005250272131397976,True,
gait_04_half_bound__vx_pos_0p5__seed_4242,half_bound_hind_a,half_bound,bound,bound,0.05148001620674014,0.03840299792375444,True,
gait_04_half_bound__vx_pos_1p0__seed_4242,half_bound_hind_a,half_bound,bound,bound,0.054672089198645246,0.04392862400798893,True,
gait_04_half_bound__vx_pos_1p5__seed_4242,half_bound_hind_a,half_bound,bound,bound,0.06482875058439273,0.03372750962442392,True,
gait_05_half_bound__vx_neg_1p5__seed_4242,half_bound_hind_b,half_bound,bound,bound,0.06861257160277735,0.04131667981371992,True,
gait_05_half_bound__vx_neg_1p0__seed_4242,half_bound_hind_b,half_bound,bound,bound,0.037120096751577326,0.07522321259720835,True,
