cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_4242,touchdown,fl,rr,38,38,0,1.0,0.002105263157894737,0.02,0.008554759778474507,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_4242,touchdown,fr,rl,38,38,0,1.0,0.01736842105263158,0.02,0.07057676817241468,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_4242,liftoff,fl,rr,38,38,0,1.0,0.02736842105263158,0.04,0.11121187712016858,0.16254043579101562
gait_00_trot__vx_neg_1p5__seed_4242,liftoff,fr,rl,38,38,0,1.0,0.013157894736842108,0.04,0.053467248615465666,0.16254043579101562
gait_00_trot__vx_neg_1p0__seed_4242,touchdown,fl,rr,30,30,0,1.0,0.004,0.02,0.012708282470703125,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_4242,touchdown,fr,rl,30,29,1,0.9666666666666667,0.020000000000000004,0.02,0.06354141235351562,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_4242,liftoff,fl,rr,30,30,0,1.0,0.024666666666666674,0.04,0.07836774190266928,0.12708282470703125
gait_00_trot__vx_neg_1p0__seed_4242,liftoff,fr,rl,30,29,1,0.9666666666666667,0.006206896551724137,0.02,0.019719748661435884,0.06354141235351562
gait_00_trot__vx_neg_0p5__seed_4242,touchdown,fl,rr,23,23,0,1.0,0.014782608695652177,0.02,0.03671911488408628,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_4242,touchdown,fr,rl,23,17,6,0.7391304347826086,0.22705882352941179,0.38,0.5640005223891315,0.9438972473144531
gait_00_trot__vx_neg_0p5__seed_4242,liftoff,fl,rr,23,23,0,1.0,0.02086956521739131,0.02,0.05183875042459239,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_4242,liftoff,fr,rl,23,23,0,1.0,0.006956521739130435,0.02,0.017279583474864132,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_4242,touchdown,fl,rr,23,23,0,1.0,0.013913043478260872,0.02,0.034559166949728264,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_4242,touchdown,fr,rl,23,18,5,0.782608695652174,0.33444444444444454,0.38,0.8307399749755859,0.9438972473144531
gait_00_trot__vx_pos_0p5__seed_4242,liftoff,fl,rr,23,23,0,1.0,0.012173913043478262,0.02,0.03023927108101223,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_4242,liftoff,fr,rl,23,23,0,1.0,0.004347826086956522,0.02,0.010799739671790081,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_4242,touchdown,fl,rr,30,30,0,1.0,0.009333333333333334,0.02,0.02965265909830729,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_4242,touchdown,fr,rl,30,30,0,1.0,0.016000000000000004,0.02,0.0508331298828125,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_4242,liftoff,fl,rr,30,30,0,1.0,0.008666666666666666,0.02,0.027534612019856772,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_4242,liftoff,fr,rl,30,30,0,1.0,0.006,0.02,0.01906242370605469,0.06354141235351562
gait_00_trot__vx_pos_1p5__seed_4242,touchdown,fl,rr,38,38,0,1.0,0.002105263157894737,0.02,0.008554759778474507,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_4242,touchdown,fr,rl,38,38,0,1.0,0.010526315789473684,0.02,0.04277379889237253,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_4242,liftoff,fl,rr,38,38,0,1.0,0.006842105263157895,0.02,0.027802969280042146,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_4242,liftoff,fr,rl,38,38,0,1.0,0.0010526315789473684,0.0029999999999999714,0.004277379889237254,0.012190532684326056
gait_01_bound__vx_neg_1p5__seed_4242,touchdown,fl,fr,38,38,0,1.0,0.002631578947368421,0.02,0.010693449723093133,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_4242,touchdown,rl,rr,38,31,7,0.8157894736842105,0.014193548387096777,0.02,0.057675638506489414,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_4242,liftoff,fl,fr,38,38,0,1.0,0.024210526315789477,0.04,0.09837973745245683,0.16254043579101562
gait_01_bound__vx_neg_1p5__seed_4242,liftoff,rl,rr,38,31,7,0.8157894736842105,0.005806451612903225,0.02,0.0235945793890184,0.08127021789550781
gait_01_bound__vx_neg_1p0__seed_4242,touchdown,fl,fr,30,30,0,1.0,0.009333333333333334,0.02,0.02965265909830729,0.06354141235351562
gait_01_bound__vx_neg_1p0__seed_4242,touchdown,rl,rr,30,25,5,0.8333333333333334,0.0128,0.02,0.04066650390625,0.06354141235351562
gait_01_bound__vx_neg_1p0__seed_4242,liftoff,fl,fr,30,30,0,1.0,0.028666666666666674,0.04,0.0910760243733724,0.12708282470703125
gait_01_bound__vx_neg_1p0__seed_4242,liftoff,rl,rr,30,25,5,0.8333333333333334,0.011200000000000002,0.02,0.03558319091796875,0.06354141235351562
gait_01_bound__vx_neg_0p5__seed_4242,touchdown,fl,fr,23,23,0,1.0,0.006956521739130433,0.02,0.017279583474864132,0.049678802490234375
gait_01_bound__vx_neg_0p5__seed_4242,touchdown,rl,rr,23,19,4,0.8260869565217391,0.011578947368421052,0.02,0.028761411968030427,0.049678802490234375
gait_01_bound__vx_neg_0p5__seed_4242,liftoff,fl,fr,23,19,4,0.8260869565217391,0.020000000000000004,0.02,0.049678802490234375,0.049678802490234375
gait_01_bound__vx_neg_0p5__seed_4242,liftoff,rl,rr,23,19,4,0.8260869565217391,0.008421052631578945,0.02,0.020917390522203948,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_4242,touchdown,fl,fr,23,23,0,1.0,0.006956521739130433,0.02,0.017279583474864132,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_4242,touchdown,rl,rr,23,10,13,0.43478260869565216,0.0,0.0,0.0,0.0
gait_01_bound__vx_pos_0p5__seed_4242,liftoff,fl,fr,23,12,11,0.5217391304347826,0.12833333333333333,0.38,0.3187723159790039,0.9438972473144531
