operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.01764533708367934,30,1.0,0.009994023905215754,30,1.0,0.10587175031945947,30,1.0,0.06526459530766333,30,1.0,0.17181413201937715,30,1.0,4.316368252972867,30,1.0,1.233515378723673,30,1.0,0.2698577737071685,30,1.0,0.030816764578685738,30,1.0,4.658528016784444,30,1.0,33.01333220900573,30,1.0,32.27756919451779,30,1.0
temporal_reversal,family,bound,3,3,0.013206119250716955,3,1.0,0.008308440825730878,3,1.0,0.06956759641153619,3,1.0,0.05700555080225844,3,1.0,0.18844529078444913,3,1.0,4.664793807311753,3,1.0,1.1432798708383176,3,1.0,0.22381287530244243,3,1.0,0.020462264571450946,3,1.0,4.652738861482669,3,1.0,37.03770367634777,3,1.0,33.628130160491935,3,1.0
temporal_reversal,family,gallop,12,12,0.01948205041117196,12,1.0,0.012962875266109328,12,1.0,0.1173224823507607,12,1.0,0.06416087130272145,12,1.0,0.17687245332376975,12,1.0,4.193247801375876,12,1.0,1.2704263962464424,12,1.0,0.2828456732165579,12,1.0,0.04473208122800062,12,1.0,4.8394307721811,12,1.0,34.20101122840541,12,1.0,33.204025666611116,12,1.0
temporal_reversal,family,half_bound,12,12,0.018482063761433628,12,1.0,0.009825926091035189,12,1.0,0.10304682580477832,12,1.0,0.05831568288024291,12,1.0,0.1873726086362737,12,1.0,4.541050626763673,12,1.0,1.2133531484441176,12,1.0,0.2525296305750195,12,1.0,0.024894332600001668,12,1.0,4.873473364562788,12,1.0,35.281037967616875,12,1.0,34.65986047920314,12,1.0
temporal_reversal,family,trot,3,3,0.0113907948956541,3,1.0,0.00047659279784858675,3,1.0,0.10767267416090238,3,1.0,0.10573418554251757,3,1.0,0.07271578156914861,3,1.0,3.5616950098587234,3,1.0,1.256755737636175,3,1.0,0.33326364660293334,3,1.0,0.009199725903397233,3,1.0,3.080924759386216,3,1.0,15.1674216296204,3,1.0,17.692017201428847,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.01764533708367934,30,1.0,0.009994023905215754,30,1.0,0.10587175031945947,30,1.0,0.06526459530766333,30,1.0,0.17181413201937715,30,1.0,4.316368252972867,30,1.0,1.233515378723673,30,1.0,0.2698577737071685,30,1.0,0.030816764578685738,30,1.0,4.658528016784444,30,1.0,33.01333220900573,30,1.0,32.27756919451779,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.021976353762219278,10,1.0,0.01281611285055241,10,1.0,0.09820963541666668,10,1.0,0.055006348389043294,10,1.0,0.1910628848206885,10,1.0,3.949649903728832,10,1.0,1.0804737622904448,10,1.0,0.23653324239144088,10,1.0,0.024077944626996882,10,1.0,4.6814394689519885,10,1.0,39.286738517516916,10,1.0,30.540989554911924,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.018648244301472154,10,1.0,0.00926950160761782,10,1.0,0.10155167118195566,10,1.0,0.05688686345844409,10,1.0,0.16589174981249732,10,1.0,4.351836830663025,10,1.0,1.1882628409995988,10,1.0,0.2441722140817375,10,1.0,0.030906934495985378,10,1.0,4.724676185496518,10,1.0,33.40339866929415,10,1.0,33.23491213421128,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.012311413187346581,10,1.0,0.007896457257477027,10,1.0,0.11785394435975612,10,1.0,0.08390057407550265,10,1.0,0.1584877614249456,10,1.0,4.647618024526745,10,1.0,1.4318095328809768,10,1.0,0.32886786464832707,10,1.0,0.037465414613074934,10,1.0,4.569468395904823,10,1.0,26.34985944020615,10,1.0,33.05680589443014,10,1.0
temporal_reversal,robot,go2,30,30,0.01764533708367934,30,1.0,0.009994023905215754,30,1.0,0.10587175031945947,30,1.0,0.06526459530766333,30,1.0,0.17181413201937715,30,1.0,4.316368252972867,30,1.0,1.233515378723673,30,1.0,0.2698577737071685,30,1.0,0.030816764578685738,30,1.0,4.658528016784444,30,1.0,33.01333220900573,30,1.0,32.27756919451779,30,1.0
