scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.03922558592591122,0.040452235848847745,6,0.014809563093346773,6,0.9104698159145896,0.11730446332026105,6,1,0.8333333333333334,0.8333333333333334,6,2008.312019319481,6,1417.169295046969,6,5.4292436524030405,6,6,6,5,6,5
row,gallop_a,6,0,6,0.04577845507852637,0.07070350723536316,6,0.01265922671094122,6,0.84560834575304,0.12755064523517515,6,0,0.0,0.0,6,2006.172816887276,6,1423.5981641814578,6,5.077093507102288,6,0,6,0,6,0
row,gallop_b,6,0,6,0.0298097549143627,0.057898650690625116,6,0.01868641245016873,6,0.8846139698990902,0.14066686913433293,6,2,0.6666666666666666,0.6666666666666666,6,1613.0832843221676,6,1439.4634451143181,6,5.018674951476661,6,1,6,4,6,0
row,gallop_c,6,0,6,0.044449228226498876,0.06739427869940649,6,0.022134726063329432,6,0.8521964015769635,0.13703885045333342,6,1,0.0,0.0,6,1726.1490782818544,6,1422.7183967464346,6,5.10615462681008,6,0,6,0,6,0
row,gallop_d,6,0,6,0.059180710072301086,0.06964330371537066,6,0.02054873289060623,6,0.8914509468128938,0.13523542758051968,6,1,0.8333333333333334,0.8333333333333334,6,1785.3942311639005,6,1441.9350940853358,6,4.7332272827387305,6,0,6,5,6,0
row,half_bound_front_a,6,0,6,0.031595204300426706,0.05133266648063108,6,0.010677392238579603,6,0.8823037281716996,0.12625705421737646,6,2,0.16666666666666666,0.16666666666666666,6,1759.5668760109468,6,1429.7029122931233,6,5.384646848897311,6,3,6,1,6,1
row,half_bound_front_b,6,0,6,0.04959996263708932,0.05535249698206162,6,0.023371593899492445,6,0.8726924690234236,0.12386918538692093,6,1,0.0,0.0,6,1915.086932077321,6,1417.2634636345522,6,5.274612004820985,6,2,6,0,6,0
row,half_bound_hind_a,6,0,6,0.03589829760864611,0.0647924469647732,6,0.01611495194401488,6,0.8870950774944556,0.13092680143642935,6,1,0.3333333333333333,0.3333333333333333,6,1990.298427560536,6,1430.415460059866,6,5.30722425789602,6,0,6,2,6,0
row,half_bound_hind_b,6,0,6,0.05831770785499108,0.07446255123324517,6,0.02171618634947385,6,0.874602947120709,0.13003097899874067,6,0,0.16666666666666666,0.16666666666666666,6,2037.9489998573827,6,1422.2895792675579,6,5.261609023648646,6,0,6,1,6,0
row,trot,6,0,6,0.034266924948166515,0.05283368972142508,6,0.010688486945054374,6,0.8548647315259089,0.17201992034828492,6,0,1.0,1.0,6,879.042011932963,6,1473.4663383207596,6,3.0486586907051065,6,2,6,5,6,1
family,bound,6,0,6,0.03922558592591122,0.040452235848847745,6,0.014809563093346773,6,0.9104698159145896,0.11730446332026105,6,1,0.8333333333333334,0.8333333333333334,6,2008.312019319481,6,1417.169295046969,6,5.4292436524030405,6,6,6,5,6,5
family,gallop,24,0,24,0.04480453707292226,0.06640993508519136,24,0.018507274528761403,24,0.8684674160104969,0.1351229481008403,24,4,0.375,0.375,24,1782.6998526637997,24,1431.9287750318865,24,4.98378759203194,24,1,24,9,24,0
family,half_bound,24,0,24,0.043852793100288306,0.06148504041517777,24,0.017970031107890194,24,0.879173555452572,0.12777100500986685,24,4,0.16666666666666666,0.16666666666666666,24,1925.7253088765467,24,1424.9178538137749,24,5.30702303381574,24,5,24,4,24,1
family,trot,6,0,6,0.034266924948166515,0.05283368972142508,6,0.010688486945054374,6,0.8548647315259089,0.17201992034828492,6,0,1.0,1.0,6,879.042011932963,6,1473.4663383207596,6,3.0486586907051065,6,2,6,5,6,1
velocity,+0.5 m/s,10,0,10,0.06406145183209343,0.07120879130477412,10,0.0268284039487874,10,0.8975774204281084,0.10856818434614572,10,3,0.3,0.3,10,1609.2002064549847,10,1438.2658106298782,10,4.35039224958769,10,2,10,3,10,1
velocity,+1 m/s,10,0,10,0.02858106630652863,0.059632430522763034,10,0.014850545383074454,10,0.855781211612802,0.16539306611311239,10,0,0.5,0.5,10,1859.5563058176456,10,1465.0693992804586,10,4.48832102660882,10,2,10,5,10,2
velocity,+1.5 m/s,10,0,10,0.022705536776584784,0.052955185085061675,10,0.01374280369476177,10,0.7978043247786623,0.22441401282946266,10,1,0.4,0.4,10,2010.8243734891334,10,1451.1628181800693,10,4.43759464771267,10,4,10,3,10,1
velocity,-0.5 m/s,10,0,10,0.07803054496773987,0.06002737598455671,10,0.02014581536349036,10,0.9273049035823175,0.06253043420566536,10,2,0.4,0.4,10,1524.5974852696359,10,1395.5440358918263,10,5.271759187126017,10,2,10,4,10,1
