scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_valid_cells,torque_squared_coverage_fraction,torque_squared_complete,torque_squared_tracking_success_cells,torque_squared_tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_valid_cells,normalized_torque_utilization_coverage_fraction,normalized_torque_utilization_complete,normalized_torque_utilization_tracking_success_cells,normalized_torque_utilization_tracking_qualified_complete,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_valid_cells,absolute_work_coverage_fraction,absolute_work_complete,absolute_work_tracking_success_cells,absolute_work_tracking_qualified_complete,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_valid_cells,vertical_grf_impulse_coverage_fraction,vertical_grf_impulse_complete,vertical_grf_impulse_tracking_success_cells,vertical_grf_impulse_tracking_qualified_complete,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,36.478312138744904,36.478312138744904,36.478312138744904,36.478312138744904,36.478312138744904,36.478312138744904,36.478312138744904,36.478312138744904,3434.8877951324034,3434.8877951324034,3434.8877951324034,3434.8877951324034,357.80081199295864,357.80081199295864,357.80081199295864,357.80081199295864,242.50185825997414,242.50185825997414,242.50185825997414,242.50185825997414,1,1.0,True,1,True,41.892473837894066,41.892473837894066,41.892473837894066,41.892473837894066,41.892473837894066,41.892473837894066,41.892473837894066,41.892473837894066,4.527642926525881,4.527642926525881,4.527642926525881,4.527642926525881,0.47162947151311263,0.47162947151311263,0.47162947151311263,0.47162947151311263,0.3196499823883857,0.3196499823883857,0.3196499823883857,0.3196499823883857,1,1.0,True,1,True,6.155228328753538,6.155228328753538,6.155228328753538,6.155228328753538,6.155228328753538,6.155228328753538,6.155228328753538,6.155228328753538,1255.9590771347694,1255.9590771347694,1255.9590771347694,1255.9590771347694,130.82907053487182,130.82907053487182,130.82907053487182,130.82907053487182,88.6702647275043,88.6702647275043,88.6702647275043,88.6702647275043,1,1.0,True,1,True,31.241628032444595,31.241628032444595,31.241628032444595,31.241628032444595,31.241628032444595,31.241628032444595,31.241628032444595,31.241628032444595,1462.022713367194,1462.022713367194,1462.022713367194,1462.022713367194,152.29403264241606,152.29403264241606,152.29403264241606,152.29403264241606,103.21828425145621,103.21828425145621,103.21828425145621,103.21828425145621
family_velocity,trot,-1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,32.583888271206185,32.583888271206185,32.583888271206185,32.583888271206185,,,,,2852.6248557086515,2852.6248557086515,,,292.27713685539464,292.27713685539464,,,301.96650233555135,301.96650233555135,,,1,1.0,True,0,False,38.36678316300442,38.36678316300442,38.36678316300442,38.36678316300442,,,,,3.7418157410077537,3.7418157410077537,,,0.3833827603491551,0.3833827603491551,,,0.3960923951970296,0.3960923951970296,,,1,1.0,True,0,False,-0.08901168405195684,0.08901168405195684,-0.08901168405195684,0.08901168405195684,,,,,764.3885608839337,764.3885608839337,,,78.31850009056697,78.31850009056697,,,80.91485976275933,80.91485976275933,,,1,1.0,True,0,False,27.67569812264242,27.67569812264242,27.67569812264242,27.67569812264242,,,,,1459.0018793532251,1459.0018793532251,,,149.4878974747157,149.4878974747157,,,154.443614808875,154.443614808875,,
family_velocity,trot,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,15.53705801248791,15.53705801248791,15.53705801248791,15.53705801248791,,,,,2415.850786080827,2415.850786080827,,,250.08807309325334,250.08807309325334,,,533.5046716593665,533.5046716593665,,,1,1.0,True,0,False,21.13460300818715,21.13460300818715,21.13460300818715,21.13460300818715,,,,,3.1443580165241474,3.1443580165241474,,,0.3255029002612989,0.3255029002612989,,,0.6943846452978272,0.6943846452978272,,,1,1.0,True,0,False,-3.9946178225018496,3.9946178225018496,-3.9946178225018496,3.9946178225018496,,,,,390.39614912485166,390.39614912485166,,,40.41368003362854,40.41368003362854,,,86.21317614314226,86.21317614314226,,,1,1.0,True,0,False,17.710405930565727,17.710405930565727,17.710405930565727,17.710405930565727,,,,,1447.0669651835412,1447.0669651835412,,,149.799892876143,149.799892876143,,,319.563190979102,319.563190979102,,
family_velocity,trot,0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,-11.302149017949791,11.302149017949791,-11.302149017949791,11.302149017949791,,,,,2106.3302451674936,2106.3302451674936,,,218.04660923058938,218.04660923058938,,,434.2751572705587,434.2751572705587,,,1,1.0,True,0,False,-5.473828588772816,5.473828588772816,-5.473828588772816,5.473828588772816,,,,,2.382868270048119,2.382868270048119,,,0.24667373395943262,0.24667373395943262,,,0.4912907152638275,0.4912907152638275,,,1,1.0,True,0,False,2.598165153211503,2.598165153211503,2.598165153211503,2.598165153211503,,,,,362.67726859194374,362.67726859194374,,,37.544230703099764,37.544230703099764,,,74.77541957989527,74.77541957989527,,,1,1.0,True,0,False,3.265812027490518,3.265812027490518,3.265812027490518,3.265812027490518,,,,,1481.3092752093075,1481.3092752093075,,,153.344645466802,153.344645466802,,,305.4107113230504,305.4107113230504,,
family_velocity,trot,1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,1.0205518282750203,1.0205518282750203,1.0205518282750203,1.0205518282750203,,,,,2356.332659406966,2356.332659406966,,,241.42752657858256,241.42752657858256,,,242.31013044015012,242.31013044015012,,,1,1.0,True,0,False,6.835539880456149,6.835539880456149,6.835539880456149,6.835539880456149,,,,,2.7089722866163743,2.7089722866163743,,,0.2775586359238089,0.2775586359238089,,,0.2785733268637753,0.2785733268637753,,,1,1.0,True,0,False,8.781586121938021,8.781586121938021,8.781586121938021,8.781586121938021,,,,,685.2210340575402,685.2210340575402,,,70.20707316163322,70.20707316163322,,,70.46373417605837,70.46373417605837,,,1,1.0,True,0,False,4.0977930751783385,4.0977930751783385,4.0977930751783385,4.0977930751783385,,,,,1525.301395225525,1525.301395225525,,,156.28088065835297,156.28088065835297,,,156.85220784176488,156.85220784176488,,
family_velocity,trot,1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,5.9067512527758455,5.9067512527758455,5.9067512527758455,5.9067512527758455,,,,,3069.521629102457,3069.521629102457,,,319.7418363648393,319.7418363648393,,,214.75961410165726,214.75961410165726,,,1,1.0,True,0,False,11.166015574375843,11.166015574375843,11.166015574375843,11.166015574375843,,,,,3.5612902958143122,3.5612902958143122,,,0.3709677391473241,0.3709677391473241,,,0.24916629431169568,0.24916629431169568,,,1,1.0,True,0,False,10.758687857249475,10.758687857249475,10.758687857249475,10.758687857249475,,,,,1268.4642955934455,1268.4642955934455,,,132.13169745765057,132.13169745765057,,,88.74832483361074,88.74832483361074,,,1,1.0,True,0,False,1.7698613622036692,1.7698613622036692,1.7698613622036692,1.7698613622036692,,,,,1521.6514560031892,1521.6514560031892,,,158.50536000033222,158.50536000033222,,,106.46260850229767,106.46260850229767,,
family,trot,,6,6,1.0,True,1,0.16666666666666666,False,6,1.0,True,1,False,13.370735414256679,17.138118420239945,13.370735414256679,17.138118420239945,36.478312138744904,36.478312138744904,,,2705.924661766466,2705.924661766466,3434.8877951324034,,279.89699901926963,279.89699901926963,357.80081199295864,,328.21965567787635,328.21965567787635,242.50185825997414,,6,1.0,True,1,False,18.98693114585747,20.81154067544841,18.98693114585747,20.81154067544841,41.892473837894066,41.892473837894066,,,3.3444912560894315,3.3444912560894315,4.527642926525881,,0.3459525401923554,0.3459525401923554,0.47162947151311263,,0.40485955988709016,0.40485955988709016,0.3196499823883857,,6,1.0,True,1,False,4.035006325766456,5.39621616128439,4.035006325766456,5.39621616128439,6.155228328753538,6.155228328753538,,,787.8510642310807,787.8510642310807,1255.9590771347694,,81.57404199690848,81.57404199690848,130.82907053487182,,81.63096320382839,81.63096320382839,88.6702647275043,,6,1.0,True,1,False,14.293533091754211,14.293533091754211,14.293533091754211,14.293533091754211,31.241628032444595,31.241628032444595,,,1482.725614056997,1482.725614056997,1462.022713367194,,153.28545151979367,153.28545151979367,152.29403264241606,,190.99176961775768,190.99176961775768,103.21828425145621,
family_velocity,bound,-1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,39.00929474597559,39.00929474597559,39.00929474597559,39.00929474597559,39.00929474597559,39.00929474597559,39.00929474597559,39.00929474597559,4891.764204160614,4891.764204160614,4891.764204160614,4891.764204160614,509.5587712667307,509.5587712667307,509.5587712667307,509.5587712667307,348.39440029564224,348.39440029564224,348.39440029564224,348.39440029564224,1,1.0,True,1,True,45.30180995195398,45.30180995195398,45.30180995195398,45.30180995195398,45.30180995195398,45.30180995195398,45.30180995195398,45.30180995195398,5.719147602656218,5.719147602656218,5.719147602656218,5.719147602656218,0.5957445419433561,0.5957445419433561,0.5957445419433561,0.5957445419433561,0.4073211455153474,0.4073211455153474,0.4073211455153474,0.4073211455153474,1,1.0,True,1,True,0.6721479431894121,0.6721479431894121,0.6721479431894121,0.6721479431894121,0.6721479431894121,0.6721479431894121,0.6721479431894121,0.6721479431894121,2190.15777459457,2190.15777459457,2190.15777459457,2190.15777459457,228.14143485360106,228.14143485360106,228.14143485360106,228.14143485360106,155.98435913646918,155.98435913646918,155.98435913646918,155.98435913646918,1,1.0,True,1,True,37.48927595159096,37.48927595159096,37.48927595159096,37.48927595159096,37.48927595159096,37.48927595159096,37.48927595159096,37.48927595159096,1424.4414485266805,1424.4414485266805,1424.4414485266805,1424.4414485266805,148.37931755486255,148.37931755486255,148.37931755486255,148.37931755486255,101.44958004999837,101.44958004999837,101.44958004999837,101.44958004999837
family_velocity,bound,-1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,34.83940281233831,34.83940281233831,34.83940281233831,34.83940281233831,34.83940281233831,34.83940281233831,34.83940281233831,34.83940281233831,5299.130139739029,5299.130139739029,5299.130139739029,5299.130139739029,542.9436618585071,542.9436618585071,542.9436618585071,542.9436618585071,572.0960518615963,572.0960518615963,572.0960518615963,572.0960518615963,1,1.0,True,1,True,41.56328152866166,41.56328152866166,41.56328152866166,41.56328152866166,41.56328152866166,41.56328152866166,41.56328152866166,41.56328152866166,5.84693874555515,5.84693874555515,5.84693874555515,5.84693874555515,0.5990715927822898,0.5990715927822898,0.5990715927822898,0.5990715927822898,0.6312376717687914,0.6312376717687914,0.6312376717687914,0.6312376717687914,1,1.0,True,1,True,-12.141287659915124,12.141287659915124,-12.141287659915124,12.141287659915124,-12.141287659915124,12.141287659915124,-12.141287659915124,12.141287659915124,2272.68708014039,2272.68708014039,2272.68708014039,2272.68708014039,232.8572828012695,232.8572828012695,232.8572828012695,232.8572828012695,245.36013862252653,245.36013862252653,245.36013862252653,245.36013862252653,1,1.0,True,1,True,36.497884867171486,36.497884867171486,36.497884867171486,36.497884867171486,36.497884867171486,36.497884867171486,36.497884867171486,36.497884867171486,1403.8451071995496,1403.8451071995496,1403.8451071995496,1403.8451071995496,143.8365888524129,143.8365888524129,143.8365888524129,143.8365888524129,151.55963753961223,151.55963753961223,151.55963753961223,151.55963753961223
family_velocity,bound,-0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,38.448460380808626,38.448460380808626,38.448460380808626,38.448460380808626,38.448460380808626,38.448460380808626,38.448460380808626,38.448460380808626,5070.09536691137,5070.09536691137,5070.09536691137,5070.09536691137,524.8545928479679,524.8545928479679,524.8545928479679,524.8545928479679,1170.7647352293784,1170.7647352293784,1170.7647352293784,1170.7647352293784,1,1.0,True,1,True,43.038408186290766,43.038408186290766,43.038408186290766,43.038408186290766,43.038408186290766,43.038408186290766,43.038408186290766,43.038408186290766,5.6335357216913335,5.6335357216913335,5.6335357216913335,5.6335357216913335,0.5831817517278812,0.5831817517278812,0.5831817517278812,0.5831817517278812,1.3008719718874067,1.3008719718874067,1.3008719718874067,1.3008719718874067,1,1.0,True,1,True,11.323282279396043,11.323282279396043,11.323282279396043,11.323282279396043,11.323282279396043,11.323282279396043,11.323282279396043,11.323282279396043,1876.337013209689,1876.337013209689,1876.337013209689,1876.337013209689,194.23778604655166,194.23778604655166,194.23778604655166,194.23778604655166,433.27571721984253,433.27571721984253,433.27571721984253,433.27571721984253,1,1.0,True,1,True,29.980876845878367,29.980876845878367,29.980876845878367,29.980876845878367,29.980876845878367,29.980876845878367,29.980876845878367,29.980876845878367,1387.6240247402714,1387.6240247402714,1387.6240247402714,1387.6240247402714,143.6463793726989,143.6463793726989,143.6463793726989,143.6463793726989,320.4242043503494,320.4242043503494,320.4242043503494,320.4242043503494
