cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_0042,fl,83.21058395709372,461.5744054377079,126.77512817382812,128.65078491210937,130.69805908203125,39,123.7208744929387,128.79682006835938,130.69805908203125,6.545037098419972,6.956443649291993,7.216488494873047,0.7583333333333333,0.7765237020316027,0.32781456953642385,0.0,0.5875,1.0,0.7401574803149606,0.5770833333333333,0.333658903837204,0.33541666666666664,0.33541666666666664,0.2434244294961293,0.2434244294961293,39,0.03947114715209374,0.009713557604298116,0.04138496518135071,0.010184534077307612,0.0739331066608429,0.018194391149757096,0,0,0.0,0.0,0.0,39,17,0.17984435137580423,0.044258365741565234,0.18265533447265625,0.04495012790724964,0.19450302124023439,0.0478657560609261,21,22,0.7166666666666667,0.5526315789473685,0.5641025641025641,39
gait_00_trot__vx_neg_1p5__seed_0042,fr,95.93644325705569,497.81680017590526,130.3954086303711,139.17222076415996,300.5281677246094,39,134.539668352176,148.91688385009766,300.5281677246094,7.234212771684695,7.814286880493164,10.846738586425781,0.7916666666666666,0.8212669683257918,0.2633333333333333,0.0,0.6425339366515838,1.0,0.7823691460055098,0.5395833333333333,0.333658903837204,0.33125,0.33125,0.20592442949612932,0.20592442949612932,39,0.06248547404240339,0.015377213365600504,0.061227113008499146,0.015067540015020302,0.09704673886299134,0.02388248521439133,0,0,0.0,0.0,0.0,39,38,0.141741953398052,0.03488164719339008,0.14388465881347656,0.03540895116055293,0.17735233306884765,0.0436450984533784,1,1,0.05,0.02564102564102564,0.02564102564102564,39
gait_00_trot__vx_neg_1p5__seed_0042,rl,57.85617384341879,253.5796091620624,100.62961463928222,103.6879369354248,118.18920135498047,39,99.53256460336539,103.70921783447265,118.18920135498047,4.806453970884666,5.2059521484374995,5.689719696044922,0.8770833333333333,0.9140271493212669,0.12666666666666668,0.0,0.7888888888888889,1.0,0.8819875776397516,0.45416666666666666,0.333658903837204,0.33125,0.33125,0.12050776282946268,0.12050776282946268,39,0.02035861672499241,0.005010105116530696,0.020500868558883667,0.0050451122415452136,0.038119047880172736,0.009380815966110448,0,0,0.0,0.0,0.0,39,35,0.11312680925641741,0.02783967169913801,0.11048507690429688,0.027189560890891598,0.15055465698242188,0.03705038841559295,4,4,0.18604651162790697,0.10256410256410256,0.10256410256410256,39
gait_00_trot__vx_neg_1p5__seed_0042,rr,59.4808452186402,249.0518985915184,102.37054443359375,107.0103985595703,109.03286743164062,39,98.10407120142227,107.14030151367187,109.03286743164062,4.735803782145182,5.146717895507813,5.24389877319336,0.9,0.9300225733634312,0.10264900662251655,0.0,0.8197674418604651,1.0,0.9009584664536741,0.4354166666666667,0.333658903837204,0.33541666666666664,0.33541666666666664,0.1017577628294627,0.1017577628294627,39,0.023650908317321386,0.0058203137458620454,0.020364075899124146,0.005011448578938722,0.05217064023017883,0.012838808995752071,0,0,0.0,0.0,0.0,39,38,0.08604948144210012,0.02117614143787265,0.08573341369628906,0.021098359501513765,0.1340930938720703,0.032999319392616584,0,0,0.0,0.0,0.0,38
gait_00_trot__vx_neg_1p0__seed_0042,fl,79.27890841507997,442.529116435051,115.52146987915039,119.73476348876952,122.3785400390625,31,115.475584460843,120.3506965637207,122.3785400390625,6.0774999926167155,6.388650131225586,6.420836639404297,0.8237704918032787,0.8542600896860987,0.23722627737226276,0.0,0.7257383966244726,1.0,0.8410757946210269,0.5717213114754098,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.1754852792278665,0.1754852792278665,31,0.02468943884295802,0.007771133164493472,0.023943334817886353,0.007536292924896441,0.05046120285987854,0.015882933976706492,0,0,0.0,0.0,0.0,31,30,0.1518347422281901,0.04779079866322467,0.153228759765625,0.048229573152428415,0.17827215194702148,0.0561121150267155,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_1p0__seed_0042,fr,93.56731920863477,488.8663011083007,128.114501953125,158.82446289062494,228.23129272460938,31,134.96855606571322,177.48662567138672,228.23129272460938,7.195544920890562,8.394788818359377,9.46854476928711,0.8627049180327869,0.8915929203539823,0.17753623188405798,0.0,0.7822222222222223,1.0,0.8778054862842892,0.5348360655737705,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.13860003332622717,0.13860003332622717,31,0.03636866519528051,0.011447232237439653,0.036617666482925415,0.011525606726901604,0.06403961777687073,0.020156812826439337,0,0,0.0,0.0,0.0,31,31,0.10236857014317666,0.03222105595438903,0.10262680053710938,0.032302335354505614,0.13132286071777344,0.04133457405295071,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rl,54.38097214995578,262.3829779946804,94.42924499511719,99.42433319091796,100.13616943359375,31,94.22617758474043,99.5925407409668,100.13616943359375,4.720506397370371,5.105792999267578,5.144408416748047,0.9036885245901639,0.9336283185840708,0.10869565217391304,0.0,0.8543689320388349,1.0,0.9214659685863874,0.49385245901639346,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.09761642676885013,0.09761642676885013,31,0.019429419309862198,0.0061155138327003864,0.01561775803565979,0.004915773023353546,0.04113730788230896,0.01294818807408297,0,0,0.0,0.0,0.0,31,31,0.11261718503890498,0.035446862406001936,0.11313247680664062,0.035609053250885515,0.1396493911743164,0.04395539412859459,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rr,52.73003093749878,265.22348381519316,85.82779693603516,87.09023666381836,91.02550506591797,31,85.25017793716923,87.09023666381836,91.02550506591797,4.2959741752378395,4.584011535644532,4.934484100341797,0.8811475409836066,0.9170403587443946,0.13503649635036497,0.0,0.8229665071770335,1.0,0.9028871391076115,0.514344262295082,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.11810823004753868,0.11810823004753868,31,0.0423896110826923,0.01334235721637905,0.04367294907569885,0.013746294725941048,0.06929054856300354,0.02180957142642733,0,0,0.0,0.0,0.0,31,30,0.0755859375,0.02379107882571892,0.07610893249511719,0.023955694302695566,0.11427097320556634,0.03596740109263371,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_0p5__seed_0042,fl,69.39387728439436,399.7765486621857,96.02104568481445,98.81479568481446,99.7465591430664,24,96.77089214324951,99.31164932250977,99.7465591430664,4.885561033884684,5.548545036315918,5.568268737792969,0.8737060041407867,0.9076576576576577,0.17372881355932204,0.0,0.8353413654618473,1.0,0.9102844638949672,0.5962732919254659,0.4705493450164795,0.4699792960662526,0.4699792960662526,0.12572394690898636,0.12572394690898636,24,0.02890630563100179,0.011637279556681767,0.025643587112426758,0.010323754127313215,0.05189509391784668,0.02089224832987791,0,0,0.0,0.0,0.0,24,23,0.09875243643055791,0.039756367496970244,0.09912490844726562,0.03990631958842049,0.11987457275390624,0.048259847961299236,0,1,0.041666666666666664,0.0,0.041666666666666664,24
gait_00_trot__vx_neg_0p5__seed_0042,fr,88.90370646048719,451.8976507401467,116.64971847534179,121.90127113342285,122.45621490478516,23,118.07230211340863,122.3311782836914,122.45621490478516,6.4436107867697014,6.675232269287109,6.707509155273438,0.9461697722567288,0.9819819819819819,0.03389830508474576,0.0,0.9629629629629629,1.0,0.9811320754716981,0.525879917184265,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.055330572167785474,0.055330572167785474,23,0.013216360755588697,0.005320724370595168,0.012093782424926758,0.004868789833371727,0.02791037559509277,0.011236331874376103,1,0,0.041666666666666664,0.041666666666666664,0.0,23,24,0.061042984326680504,0.02457506270956513,0.06156635284423828,0.02478576364892882,0.08261651992797851,0.033260270291023575,0,0,0.0,0.0,0.0,24
