robot,protocol,positive_cell_id,negative_cell_id,gait_index,partner_gait_index,gait_name,partner_gait_name,family,direction,speed_mps,seed,phase_alignment,phase_samples,operator,status,reason,paired_velocity_bias,paired_velocity_bias_valid,paired_velocity_bias_reason,paired_yaw_bias,paired_yaw_bias_valid,paired_yaw_bias_reason,paired_contact_pattern_error,paired_contact_pattern_error_valid,paired_contact_pattern_error_reason,paired_touchdown_phase_error,paired_touchdown_phase_error_valid,paired_touchdown_phase_error_reason,paired_joint_position_error,paired_joint_position_error_valid,paired_joint_position_error_reason,paired_joint_velocity_error,paired_joint_velocity_error_valid,paired_joint_velocity_error_reason,paired_actor_mean_consistency_error,paired_actor_mean_consistency_error_valid,paired_actor_mean_consistency_error_reason,paired_normalized_target_consistency_error,paired_normalized_target_consistency_error_valid,paired_normalized_target_consistency_error_reason,paired_torque_pattern_error,paired_torque_pattern_error_valid,paired_torque_pattern_error_reason,paired_work_pattern_error,paired_work_pattern_error_valid,paired_work_pattern_error_reason,paired_value_consistency_error,paired_value_consistency_error_valid,paired_value_consistency_error_reason,paired_grf_pattern_error,paired_grf_pattern_error_valid,paired_grf_pattern_error_reason
go2,full,gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.03288544421054157,True,,0.002577335706197877,True,,0.02420247395833333,True,,0.030912141799926757,True,,0.10618913928865409,True,,1.6728301454563914,True,,1.4131670830323675,True,,0.38125619902895785,True,,2.4672720128503163,True,,4.146609320483873,True,,0.008613131655366296,True,,13.973050578952462,True,
go2,full,gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.03288544421054157,True,,0.002577335706197877,True,,0.8570475260416667,True,,0.4176953649520874,True,,0.2706872232572339,True,,2.9422342869774316,True,,2.497578399316043,True,,0.7667417194131319,True,,5.970166119981737,True,,5.375087836287002,True,,0.008613131655366296,True,,64.96836332506331,True,
go2,full,gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.02730611535725748,True,,0.003527772756547644,True,,0.0577392578125,True,,0.05706343799829483,True,,0.14811224266947878,True,,2.605012883571583,True,,1.8243889325971825,True,,0.48896461390631163,True,,2.920021122215971,True,,7.699629973614556,True,,0.016428980471214806,True,,19.548122141544706,True,
go2,full,gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.02730611535725748,True,,0.003527772756547644,True,,0.877685546875,True,,0.37878479808568954,True,,0.27970276525791127,True,,4.642729251276077,True,,2.3515126712430976,True,,0.7176185629554169,True,,6.620428621634767,True,,8.376079483058492,True,,0.016428980471214806,True,,67.75991394413853,True,
go2,full,gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.011159931952867946,True,,0.0010776036909469783,True,,0.089990234375,True,,0.08461652257275291,True,,0.16748482963973058,True,,4.042813744731554,True,,2.0422138729399264,True,,0.5487850880536169,True,,3.4602266523920973,True,,11.260458863147791,True,,0.03675721624038107,True,,22.816323754391302,True,
go2,full,gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.011159931952867946,True,,0.0010776036909469783,True,,0.8759920445884146,True,,0.3331009735421437,True,,0.2828999742065491,True,,6.2909286977115135,True,,2.276867038643251,True,,0.6867226877243158,True,,7.704015432631854,True,,12.042384952337434,True,,0.03675721624038107,True,,70.2752180510582,True,
go2,full,gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,bound,bound,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.05628508109174237,True,,0.0066122491121517355,True,,0.0275,True,,0.035553614634733936,True,,0.19706819909536052,True,,4.558036570060418,True,,0.9534140222924405,True,,0.20070795184428916,True,,4.543941800341249,True,,50.72894500069033,True,,0.013085716618330093,True,,30.288132602826696,True,
go2,full,gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,bound,bound,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.05628508109174237,True,,0.0066122491121517355,True,,0.936875,True,,0.3795071723827949,True,,0.3353592161745466,True,,6.051463583315088,True,,1.8210277653130689,True,,0.581170097832706,True,,8.44324541844248,True,,42.299065030688425,True,,0.013085716618330093,True,,71.6884685972723,True,
go2,full,gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,bound,bound,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.039780641977342136,True,,0.013262380199976465,True,,0.09259033203125,True,,0.05445379135198891,True,,0.16879069657607232,True,,4.55914766171392,True,,1.0979782337205382,True,,0.2107162369078451,True,,4.8377052525653665,True,,43.19046729504224,True,,0.006238264462086522,True,,35.579261042653975,True,
go2,full,gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,bound,bound,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.039780641977342136,True,,0.013262380199976465,True,,0.89935302734375,True,,0.3734861984848976,True,,0.27871028463760134,True,,6.676497012019699,True,,1.9957433494190795,True,,0.6225840486818004,True,,8.440545907729025,True,,36.036174720037096,True,,0.006238264462086522,True,,69.83494209509446,True,
