scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.05402559083467567,0.03958524049477602,6,0.023177124214621685,6,0.9156907650827756,0.11303118341552178,6,0,1.0,1.0,6,2108.605036759876,6,1423.763449577534,6,5.274051006390416,6,6,6,6,6,6
row,gallop_a,6,0,6,0.05271445379661597,0.08153526056898845,6,0.020003425530745085,6,0.8326827445808425,0.13360189666352032,6,0,0.0,0.0,6,2030.9201351140684,6,1439.4651380679509,6,4.801804688938922,6,0,6,0,6,0
row,gallop_b,6,0,6,0.03944272974205607,0.06185474564043022,6,0.034440516334709195,6,0.8910767697754833,0.13575669401356,6,0,1.0,1.0,6,1484.9493657497303,6,1441.363560009996,6,4.71366200705857,6,0,6,5,6,0
row,gallop_c,6,1,6,0.057025969075535816,0.10306969764645695,6,0.028858328350968177,6,0.8311633743163207,0.146583952761,6,4,0.0,0.0,6,2083.9664880478554,6,1408.798692067812,6,5.710569796369222,6,1,6,0,6,0
row,gallop_d,6,0,6,0.03963872361747454,0.06696222285240272,6,0.029580066756609725,6,0.8990549443017056,0.12471288129365142,6,0,1.0,1.0,6,2030.3203957779579,6,1444.4604212779552,6,5.146236164322235,6,0,6,6,6,0
row,half_bound_front_a,6,0,6,0.04474996813354575,0.063168572912271,6,0.01660886814417696,6,0.8695350146640966,0.13007567212452403,6,3,0.0,0.0,6,1999.819153801346,6,1428.6381962240487,6,5.381266691128,6,1,6,0,6,0
row,half_bound_front_b,6,0,6,0.05250849879542898,0.05643103257357396,6,0.02698518144971508,6,0.8728654650805313,0.12426443491771483,6,0,0.0,0.0,6,1965.4782930128074,6,1430.4867633682104,6,5.111656233820622,6,2,6,0,6,0
row,half_bound_hind_a,6,0,6,0.05251489999965963,0.07255421615623182,6,0.010090703996422657,6,0.8954178759858529,0.12525019009338892,6,0,0.5,0.5,6,1974.24947026734,6,1430.8788169863385,6,5.104192190376527,6,0,6,3,6,0
row,half_bound_hind_b,6,0,6,0.05666620313996984,0.0808096523751138,6,0.04805813188833873,6,0.8869488755720413,0.12327779843014286,6,0,0.5,0.5,6,2217.9218651643773,6,1433.5303568670215,6,5.612878861256761,6,0,6,3,6,0
row,trot,6,0,6,0.036796427695511356,0.05627594400887401,6,0.017316403392550386,6,0.8737902500855013,0.15615320651794404,6,0,1.0,1.0,6,787.8510642310807,6,1482.725614056997,6,3.3444912560894315,6,1,6,5,6,1
family,bound,6,0,6,0.05402559083467567,0.03958524049477602,6,0.023177124214621685,6,0.9156907650827756,0.11303118341552178,6,0,1.0,1.0,6,2108.605036759876,6,1423.763449577534,6,5.274051006390416,6,6,6,6,6,6
family,gallop,24,1,24,0.047205469057920606,0.07835548167706959,24,0.028220584243258046,24,0.8634944582435881,0.13516385618293295,24,4,0.5,0.5,24,1907.539096172403,24,1433.5219528559285,24,5.093068164172237,24,1,24,11,24,0
family,half_bound,24,0,24,0.051609892517151056,0.06824086850429766,24,0.025435721369663353,24,0.8811918078256306,0.12571702389144265,24,3,0.25,0.25,24,2039.3671955614675,24,1430.883533361405,24,5.302498494145477,24,3,24,6,24,0
family,trot,6,0,6,0.036796427695511356,0.05627594400887401,6,0.017316403392550386,6,0.8737902500855013,0.15615320651794404,6,0,1.0,1.0,6,787.8510642310807,6,1482.725614056997,6,3.3444912560894315,6,1,6,5,6,1
velocity,+0.5 m/s,10,0,10,0.06932063930061656,0.06739563369033799,10,0.024541621680306373,10,0.9172270248741533,0.08390200073921408,10,2,0.4,0.4,10,1545.7972490126997,10,1438.4541641908884,10,4.555160752783227,10,1,10,4,10,1
velocity,+1 m/s,10,0,10,0.03215594262499608,0.057923087635315375,10,0.022831890939118134,10,0.8507895811849966,0.16477831201475174,10,2,0.4,0.4,10,1756.0627386183435,10,1475.9992965020836,10,4.39326228805608,10,2,10,4,10,1
velocity,+1.5 m/s,10,0,10,0.02509378433340227,0.056725200648226545,10,0.016101671839574783,10,0.7942945281384409,0.2255077628294627,10,1,0.4,0.4,10,2040.2192196727938,10,1470.8062802706436,10,4.389964291980029,10,4,10,2,10,1
velocity,-0.5 m/s,10,1,10,0.0870578254046805,0.07671984990152582,10,0.038358621173588126,10,0.925784488986847,0.06798517038200316,10,1,0.6,0.6,10,1694.4085243015604,10,1387.6223980238094,10,5.337774630957798,10,1,10,6,10,1
velocity,-1 m/s,10,0,10,0.05375320963168195,0.08110161515982789,10,0.03002565581418326,10,0.8980959277951623,0.10541248734368654,10,1,0.6,0.6,10,1938.179150869164,10,1425.62029025843,10,5.7630190538567385,10,1,10,6,10,1
velocity,-1.5 m/s,10,0,10,0.024268677602906817,0.06948256410223776,10,0.02121178858854393,10,0.8747440966874909,0.14003901282946268,10,0,0.6,0.6,10,2235.781878281302,10,1419.9641758564635,10,5.681304319816554,10,2,10,6,10,2
direction,backward,30,1,30,0.05502657087975642,0.07576800972119715,30,0.029865355192105106,30,0.8995415044898333,0.1044788901850508,30,2,0.6,0.6,30,1956.1231844840088,30,1411.068954712901,30,5.594032668210363,30,4,30,18,30,4
