positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,0.015795444973260474,0.044826953245739515,0.015795444973260474,-0.044826953245739515,-0.01451575413623952,0.06062239821899999,0.5157954449732605,-0.4551730467542605,0.06062239821899995,0.06062233759666236,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,0.004949223066939682,0.042657309135452647,0.004949223066939682,-0.042657309135452647,-0.01885404303425648,0.04760653220239233,1.0049492230669397,-0.9573426908645474,0.047606532202392304,0.02380325419956905,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,-0.0016495861113071443,0.024897503356138866,-0.0016495861113071443,-0.024897503356138866,-0.013273544733723006,0.02324791724483172,1.498350413888693,-1.475102496643861,0.023247917244831884,0.007749303165176239,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,0.0014592305473659349,0.06146326648769418,0.0014592305473659349,-0.06146326648769418,-0.03000201797016412,0.06292249703506012,0.501459230547366,-0.4385367335123058,0.06292249703506014,0.06292243411262603,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,0.005026815856089358,0.03169010042167101,0.005026815856089358,-0.03169010042167101,-0.013331642282790827,0.036716916277760366,1.0050268158560893,-0.968309899578329,0.0367169162777603,0.01835844895965567,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,-0.016547322273254395,0.03640251532196999,-0.016547322273254395,-0.03640251532196999,-0.02647491879761219,0.019855193048715594,1.4834526777267456,-1.46359748467803,0.019855193048715636,0.006618395476773386,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,0.0036374194158036765,0.0280973223919207,0.0036374194158036765,-0.0280973223919207,-0.012229951488058513,0.03173474180772438,0.5036374194158036,-0.4719026776080793,0.03173474180772434,0.031734710073014274,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,0.01611456360484733,0.025174125784733256,0.01611456360484733,-0.025174125784733256,-0.004529781089942963,0.041288689389580586,1.0161145636048474,-0.9748258742152668,0.041288689389580635,0.02064433437262313,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,-0.0019346987207730611,0.004059212654829026,-0.0019346987207730611,-0.004059212654829026,-0.0029969556878010435,0.0021245139340559643,1.4980653012792269,-1.4959407873451709,0.0021245139340559938,0.0007081710752949728,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,0.0010358463533176399,0.029469946032972316,0.0010358463533176399,-0.029469946032972316,-0.014217049839827339,0.030505792386289955,0.5010358463533177,-0.4705300539670277,0.030505792386289976,0.030505761880528098,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_0042,gait_02_half_bound__vx_neg_1p0__seed_0042,3,2,half_bound,1.0,0.00350490859786018,0.02349991876570905,0.00350490859786018,-0.02349991876570905,-0.009997505083924435,0.02700482736356923,1.0035049085978602,-0.976500081234291,0.02700482736356924,0.013502406930581154,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_0042,gait_02_half_bound__vx_neg_1p5__seed_0042,3,2,half_bound,1.5,-0.006976486990849177,0.024040215462446213,-0.006976486990849177,-0.024040215462446213,-0.015508351226647695,0.017063728471597036,1.493023513009151,-1.4759597845375538,0.017063728471597095,0.005687907594563167,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_0042,gait_05_half_bound__vx_neg_0p5__seed_0042,4,5,half_bound,0.5,0.0002753435331348553,0.040540828467896264,0.0002753435331348553,-0.040540828467896264,-0.020132742467380706,0.04081617200103112,0.5002753435331349,-0.45945917153210375,0.040816172001031104,0.04081613118489992,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p0__seed_0042,gait_05_half_bound__vx_neg_1p0__seed_0042,4,5,half_bound,1.0,0.0045397444093813666,0.02693334869185432,0.0045397444093813666,-0.02693334869185432,-0.011196802141236476,0.03147309310123569,1.0045397444093813,-0.9730666513081456,0.031473093101235694,0.015736538682348505,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p5__seed_0042,gait_05_half_bound__vx_neg_1p5__seed_0042,4,5,half_bound,1.5,-0.016893221934636434,0.022480642547210057,-0.016893221934636434,-0.022480642547210057,-0.019686932240923244,0.005587420612573623,1.4831067780653635,-1.4775193574527898,0.005587420612573668,0.0018624729167002504,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_0p5__seed_0042,gait_04_half_bound__vx_neg_0p5__seed_0042,5,4,half_bound,0.5,0.004863366392088233,0.04523301223296803,0.004863366392088233,-0.04523301223296803,-0.0201848229204399,0.05009637862505626,0.5048633663920883,-0.45476698776703195,0.05009637862505634,0.050096328528727814,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p0__seed_0042,gait_04_half_bound__vx_neg_1p0__seed_0042,5,4,half_bound,1.0,0.0031514172671271152,0.028660988343543695,0.0031514172671271152,-0.028660988343543695,-0.01275478553820829,0.03181240561067081,1.0031514172671272,-0.9713390116564563,0.03181240561067089,0.015906194852238018,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p5__seed_0042,gait_04_half_bound__vx_neg_1p5__seed_0042,5,4,half_bound,1.5,-0.007739352434873581,0.024611881375312804,-0.007739352434873581,-0.024611881375312804,-0.01617561690509319,0.016872528940439224,1.4922606475651263,-1.475388118624687,0.016872528940439224,0.005624174438754928,1e-06,abs(mean_vx_pos + mean_vx_neg)
