cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_0042,fl,98.48909428865292,510.5518370008469,133.80021057128906,168.4023284912107,295.35125732421875,39,139.07891063201123,179.38793029785157,295.35125732421875,7.185028940836589,8.074505905151367,10.480599212646485,0.7958333333333333,0.8171557562076749,0.2682119205298013,0.0,0.6351351351351351,1.0,0.7768595041322314,0.5395833333333333,0.333658903837204,0.33541666666666664,0.33541666666666664,0.20592442949612932,0.20592442949612932,39,0.023650908317321386,0.0058203137458620454,0.020364075899124146,0.005011448578938722,0.05217064023017883,0.012838808995752071,0,0,0.0,0.0,0.0,39,24,0.1738119920094808,0.04277384668340805,0.1740093231201172,0.042822408411368494,0.1937795639038086,0.04768771855711235,14,15,0.5471698113207547,0.3684210526315789,0.38461538461538464,39
gait_00_trot__vx_neg_1p5__seed_0042,fr,83.74562074684421,414.00519928693774,119.13650665283203,123.66328872680664,124.05872344970703,39,116.783324608436,123.82204360961914,124.05872344970703,6.248677532489483,6.469929244995117,6.528148651123047,0.8166666666666667,0.8484162895927602,0.22333333333333333,0.0,0.6794258373205742,1.0,0.8091168091168092,0.5145833333333333,0.333658903837204,0.33125,0.33125,0.1809244294961293,0.1809244294961293,39,0.04789826732415419,0.01178740959836943,0.04720810055732727,0.011617564657701425,0.0829825222492218,0.020421385446736606,0,0,0.0,0.0,0.0,39,39,0.13315562712840545,0.03276861575530871,0.13196182250976562,0.03247482926142364,0.1703258514404297,0.04191593325353799,0,0,0.0,0.0,0.0,39
gait_00_trot__vx_neg_1p5__seed_0042,rl,56.731526843397134,263.4362439823151,92.66680526733398,94.50812911987305,94.58016967773438,39,91.13910538110977,94.54901351928712,94.58016967773438,4.667517449305608,5.02378498840332,5.084730224609375,0.85,0.8846153846153846,0.17,0.0,0.7357512953367875,1.0,0.8477611940298507,0.48125,0.333658903837204,0.33125,0.33125,0.14759109616279603,0.14759109616279603,39,0.03663218861971146,0.009014910890680974,0.03601768612861633,0.008863686369076956,0.07299354672431947,0.01796317239315638,0,0,0.0,0.0,0.0,39,39,0.11231696300017528,0.02764037452061109,0.11376190185546875,0.027995963294139736,0.18507347106933594,0.04554521345255697,0,0,0.0,0.0,0.0,39
gait_00_trot__vx_neg_1p5__seed_0042,rr,51.96532317263181,255.1891674232483,100.02064208984375,104.54182556152344,108.28075408935547,40,94.10797867774963,104.64061203002929,108.28075408935547,4.498428643226624,4.95335633468628,5.055519027709961,0.8270833333333333,0.8510158013544018,0.2185430463576159,0.0,0.6811594202898551,1.0,0.810344827586207,0.5083333333333333,0.333658903837204,0.33541666666666664,0.33541666666666664,0.17467442949612932,0.17467442949612932,39,0.026711363822985917,0.006573469227640002,0.02081802487373352,0.005123162066699524,0.05917823910713196,0.014563327290009153,0,1,0.025,0.0,0.025,40,32,0.1394290328025818,0.03431245452838602,0.16513633728027344,0.04063883217160694,0.19359798431396485,0.04764303316200803,6,7,0.28888888888888886,0.15789473684210525,0.1794871794871795,39
gait_00_trot__vx_neg_1p0__seed_0042,fl,91.69131152821284,502.55839337348937,126.85539131164549,130.15128570556638,186.3106231689453,31,127.95423495384955,145.50447845458984,186.3106231689453,6.553296208535471,7.521412353515625,8.479107208251953,0.8340163934426229,0.8654708520179372,0.21897810218978103,0.0,0.7413793103448276,1.0,0.8514851485148515,0.5614754098360656,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.16523937758852225,0.16523937758852225,31,0.0301001081543584,0.009474170321205655,0.030094534158706665,0.009472415876208201,0.05878773331642151,0.018503754052350364,0,0,0.0,0.0,0.0,31,30,0.134890619913737,0.042457545376318274,0.1334981918334961,0.04201927117728283,0.16388244628906248,0.051582878069280184,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_1p0__seed_0042,fr,76.53808245292076,398.33145336389543,111.29212608337403,115.1205950164795,117.24996948242188,31,111.07705860753214,115.69774627685547,117.24996948242188,5.633681772293583,6.202747116088867,6.301397705078125,0.8647540983606558,0.8938053097345132,0.17391304347826086,0.0,0.7857142857142857,1.0,0.88,0.5327868852459017,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.13655085299835834,0.13655085299835834,31,0.038418203592300415,0.01209233542954914,0.03842201828956604,0.012093536125953054,0.06711617112159729,0.021125174476196197,0,0,0.0,0.0,0.0,31,31,0.09826900113013483,0.030930694641601808,0.09955215454101562,0.03133457405295072,0.12517070770263672,0.03939815092753798,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rl,54.06622344322924,287.2329156398773,82.60280456542968,86.71904785156251,88.73553466796875,31,82.22183301371913,87.68388748168945,88.73553466796875,4.346044422272714,4.760813980102539,4.770856018066406,0.8545081967213115,0.8827433628318584,0.19202898550724637,0.0,0.7685589519650655,1.0,0.8691358024691358,0.5430327868852459,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.1467967546377026,0.1467967546377026,31,0.042517711077967,0.013382677376265332,0.04149666428565979,0.013061297427507956,0.07390633225440979,0.023262414075163596,0,0,0.0,0.0,0.0,31,31,0.10441829312232233,0.032866217244711615,0.10390090942382812,0.032703367953412985,0.1343994140625,0.04230293570270757,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rr,50.9989941890702,268.64973675966263,91.35735549926757,94.97370819091796,100.46388244628906,31,91.64303318146736,97.7838249206543,100.46388244628906,4.510086811434838,5.0039747619628905,5.065515594482422,0.8565573770491803,0.8901345291479821,0.17883211678832117,0.0,0.7782805429864253,1.0,0.8753180661577609,0.5389344262295082,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.14269839398196482,0.14269839398196482,31,0.02673026534818834,0.00841349424198293,0.027019888162612915,0.0085046545746533,0.0526374876499176,0.016567931275139582,0,0,0.0,0.0,0.0,31,30,0.11582832336425782,0.036457585399531735,0.12914657592773438,0.04064957675451762,0.16010808944702148,0.05039487902983731,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_0p5__seed_0042,fl,87.12976426002116,447.8469882965088,106.72334442138671,108.99525817871094,110.5171890258789,24,107.19282468159993,109.35304374694825,110.5171890258789,5.885183486938477,6.127473831176758,6.1298583984375,0.937888198757764,0.9774774774774775,0.0423728813559322,0.0,0.9541284403669725,1.0,0.9765258215962441,0.5320910973084886,0.4705493450164795,0.4699792960662526,0.4699792960662526,0.06154175229200909,0.06154175229200909,24,0.013902525107065836,0.00559696466507973,0.012835502624511719,0.005167396145281425,0.030523419380187978,0.012288307225677643,0,0,0.0,0.0,0.0,24,23,0.05987329068391219,0.024104160198177807,0.0591888427734375,0.023828610919143053,0.08136901855468749,0.03275804346156799,0,1,0.041666666666666664,0.0,0.041666666666666664,24
gait_00_trot__vx_neg_0p5__seed_0042,fr,78.41411243554757,412.5613181884587,99.92125701904297,117.95393249511709,175.07029724121094,23,106.9386570142663,154.07555389404294,175.07029724121094,5.738505819569463,7.116027877807617,7.524785461425782,0.927536231884058,0.9617117117117117,0.07203389830508475,0.0,0.9244444444444444,1.0,0.9607390300230947,0.5445134575569358,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.07396411254045632,0.07396411254045632,23,0.013216360755588697,0.005320724370595168,0.012093782424926758,0.004868789833371727,0.02791037559509277,0.011236331874376103,1,0,0.041666666666666664,0.041666666666666664,0.0,23,24,0.07967277367909749,0.032075158693593384,0.07915687561035156,0.03186746525378177,0.10187091827392578,0.04101182523228135,0,0,0.0,0.0,0.0,24
