operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.028054961757677722,30,1.0,0.021470337417472816,30,1.0,0.10613711470217022,30,1.0,0.053513548629477076,30,1.0,0.19201886772436996,30,1.0,4.306285328459832,30,1.0,1.4131294251953443,30,1.0,0.334286379787939,30,1.0,0.03664506945429012,30,1.0,5.175320242718318,30,1.0,51.72446046689684,30,1.0,37.095414268643374,30,1.0
temporal_reversal,family,bound,3,3,0.04025034878519222,3,1.0,0.021643378337096952,3,1.0,0.08491678110691768,3,1.0,0.055896965279385556,3,1.0,0.1896141029688271,3,1.0,4.345897113812366,3,1.0,1.2719965767265613,3,1.0,0.2783107029035603,3,1.0,0.04478755878850743,3,1.0,5.4575437892404,3,1.0,69.21344918056388,3,1.0,38.559482342881886,3,1.0
temporal_reversal,family,gallop,12,12,0.02189733188711754,12,1.0,0.022134244208186396,12,1.0,0.1313759820796214,12,1.0,0.06084819113496804,12,1.0,0.20627691623280006,12,1.0,4.779294308347317,12,1.0,1.442811737352833,12,1.0,0.34706349049386037,12,1.0,0.02752819816313445,12,1.0,5.493931600696171,12,1.0,53.716251657451664,12,1.0,38.64826268517904,12,1.0
temporal_reversal,family,half_bound,12,12,0.02723224392844743,12,1.0,0.025300251733111095,12,1.0,0.09919673108316739,12,1.0,0.04818893628617941,12,1.0,0.1927574432202169,12,1.0,4.2116271458209384,12,1.0,1.3164745552313333,12,1.0,0.29352804827181006,12,1.0,0.04820686667733871,12,1.0,5.40725106826626,12,1.0,56.224407848223024,12,1.0,39.745018129259975,12,1.0
temporal_reversal,family,trot,3,3,0.04378096552932511,3,1.0,0.0033220120724411907,3,1.0,0.05416351326362936,3,1.0,0.04309001133079545,3,1.0,0.13443713646280506,3,1.0,2.75327035411293,3,1.0,1.822152504890214,3,1.0,0.5021869399131476,3,1.0,0.018722876392501125,3,1.0,2.6909279620930584,3,1.0,8.268517465705747,3,1.0,18.82153708579584,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.028054961757677722,30,1.0,0.021470337417472816,30,1.0,0.10613711470217022,30,1.0,0.053513548629477076,30,1.0,0.19201886772436996,30,1.0,4.306285328459832,30,1.0,1.4131294251953443,30,1.0,0.334286379787939,30,1.0,0.03664506945429012,30,1.0,5.175320242718318,30,1.0,51.72446046689684,30,1.0,37.095414268643374,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.038962338437804625,10,1.0,0.0192595436649024,10,1.0,0.085349609375,10,1.0,0.04111775136919778,10,1.0,0.1756393870505006,10,1.0,3.7492764830734417,10,1.0,1.0838801377232985,10,1.0,0.24514920246103591,10,1.0,0.02896539547343554,10,1.0,4.751950147649724,10,1.0,41.39486589818775,10,1.0,32.80324692169056,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.03072728544951951,10,1.0,0.02305813784014369,10,1.0,0.10619959677419355,10,1.0,0.043025738599282506,10,1.0,0.19274137745073266,10,1.0,4.4448955660525415,10,1.0,1.4376101523357936,10,1.0,0.33420573790948394,10,1.0,0.039292533672469473,10,1.0,5.388720119732345,10,1.0,51.783426806208865,10,1.0,39.52421200760891,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.014475261385709034,10,1.0,0.02209333074737235,10,1.0,0.12686213795731707,10,1.0,0.07639715591995097,10,1.0,0.20767583867187667,10,1.0,4.724683936253512,10,1.0,1.7178979855269403,10,1.0,0.423504198993297,10,1.0,0.04167727921696536,10,1.0,5.385290460772887,10,1.0,61.9950886962939,10,1.0,38.95878387663066,10,1.0
temporal_reversal,robot,go2,30,30,0.028054961757677722,30,1.0,0.021470337417472816,30,1.0,0.10613711470217022,30,1.0,0.053513548629477076,30,1.0,0.19201886772436996,30,1.0,4.306285328459832,30,1.0,1.4131294251953443,30,1.0,0.334286379787939,30,1.0,0.03664506945429012,30,1.0,5.175320242718318,30,1.0,51.72446046689684,30,1.0,37.095414268643374,30,1.0
