cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,38,37,1,0.9736842105263158,0.0016216216216216215,0.02,0.0065894771266627955,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.003157894736842105,0.02,0.01283213966771176,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,38,37,1,0.9736842105263158,0.009189189189189189,0.04,0.037340370384422505,0.16254043579101562
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.01368421052631579,0.02,0.05560593856008429,0.08127021789550781
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.0026666666666666666,0.02,0.008472188313802084,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.004,0.02,0.012708282470703125,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.007333333333333333,0.02,0.02329851786295573,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.002,0.02,0.006354141235351563,0.06354141235351562
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.011304347826086957,0.02,0.028079323146654213,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,23,15,8,0.6521739130434783,0.07866666666666668,0.38,0.19540328979492189,0.9438972473144531
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.006956521739130433,0.02,0.017279583474864132,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.0008695652173913044,0.0,0.0021599479343580165,0.0
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.011304347826086955,0.02,0.028079323146654213,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,23,11,12,0.4782608695652174,0.10363636363636365,0.38,0.25742652199485083,0.9438972473144531
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.010434782608695651,0.02,0.025919375212296196,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.006086956521739131,0.02,0.015119635540506115,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.008666666666666666,0.02,0.027534612019856772,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,30,12,18,0.4,0.006666666666666667,0.02,0.021180470784505207,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.022000000000000006,0.04,0.06989555358886719,0.12708282470703125
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.004666666666666666,0.02,0.014826329549153645,0.06354141235351562
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.009473684210526316,0.02,0.03849641900313528,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.00736842105263158,0.02,0.02994165922466077,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.03210526315789474,0.04,0.13046008662173622,0.16254043579101562
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.0005263157894736842,0.0,0.002138689944618627,0.0
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,38,38,0,1.0,0.0,0.0,0.0,0.0
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,38,0,1.0,0.004736842105263157,0.02,0.01924820950156764,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,38,38,0,1.0,0.005263157894736842,0.02,0.021386899446186266,0.08127021789550781
