cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.04373372772216316,0.10650183172774705,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.030268301012406906,0.12830185313348572,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.003257817264269195,0.15750318682109674,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.014224780475331508,0.13622835592783264,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.02678684548705414,0.12542541380588296,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.04222539462142769,0.08795636787451305,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.027055804386730258,0.08822056780731559,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.03682375755028123,0.08219555868721035,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.02730767360345256,0.09569973231920657,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.07024334202861386,0.03331734130811721,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.03466447624099948,0.07497235244904646,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.04303140690776453,0.04456100976741665,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.06702477945408582,0.014916960315800865,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,bound,bound,0.06097924216085099,0.013165243983493294,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.07840284090565791,0.01487945168719075,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.08850758787579661,0.004276182511710885,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.056104469228624505,0.029572996776291584,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05571453722252375,0.03466986280239825,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.04289613431677234,0.050813148534380494,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.06500522915313868,0.02549940816776855,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.06620444628041332,0.011715924245666004,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.10206449407317436,0.0015580230606199869,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.032767022402358126,0.08210408084317433,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.030142373526689803,0.0814588250130714,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.04764987658747163,0.0578834385648228,True,
