level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,bound,4
row,gallop_a,half_bound_hind_a,1
row,gallop_a,unclassified,1
row,gallop_b,gallop_b,6
row,gallop_c,bound,3
row,gallop_c,half_bound_front_a,3
row,gallop_d,gallop_d,5
row,gallop_d,trot,1
row,half_bound_front_a,bound,2
row,half_bound_front_a,half_bound_front_a,3
row,half_bound_front_a,unclassified,1
row,half_bound_front_b,bound,5
row,half_bound_front_b,unclassified,1
row,half_bound_hind_a,bound,5
row,half_bound_hind_a,half_bound_hind_a,1
row,half_bound_hind_b,bound,3
row,half_bound_hind_b,half_bound_hind_b,1
row,half_bound_hind_b,unclassified,2
row,trot,trot,6
family,bound,bound,6
family,gallop,bound,7
family,gallop,gallop,11
family,gallop,half_bound,4
family,gallop,trot,1
family,gallop,unclassified,1
family,half_bound,bound,15
family,half_bound,half_bound,5
family,half_bound,unclassified,4
family,trot,trot,6
